player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Alex Lewis,10764,T,NEBRASKA,12,100.0,1,238,77.5,82.1,74.9,5,15,473,100.2,100.2,97.9,8,20,0,898,0,0,898,898,502,501,0,0,396,0
Isaac Asiata,11919,G,UTAH,12,100.0,0,328,87.1,71.4,89.5,4,10,394,100.0,100.0,97.7,2,16,2,885,0,885,0,885,419,419,0,0,466,0
Michael Deiter,38554,G,WISCONSIN,12,100.0,1,349,73.7,66.0,75.4,8,14,420,100.0,100.0,96.7,5,25,3,882,415,467,0,882,441,441,0,0,441,0
Germain Ifedi,10665,T,TEXAS A&M,12,100.0,1,312,71.2,70.5,77.0,2,17,483,100.0,100.0,97.2,11,23,4,881,0,0,4,881,500,500,0,877,381,0
Will Holden,11912,T,VANDERBILT,12,100.0,2,333,74.0,73.7,73.6,7,19,413,100.0,100.0,96.6,8,27,1,872,0,0,871,872,427,427,0,0,445,1
Austin Corbett,46290,T,NEVADA,12,100.0,1,239,85.6,78.0,85.1,4,7,353,100.0,100.0,97.3,6,15,4,862,0,0,862,862,371,371,0,0,491,0
Max Scharping,46961,G,N ILLINOIS,12,100.0,0,254,90.6,86.8,89.8,1,5,383,100.0,100.0,98.4,2,9,3,857,0,0,0,857,394,394,489,368,463,0
Wes Schweitzer,10829,T,S JOSE ST,12,100.0,0,285,88.5,81.8,86.3,4,8,441,100.0,100.0,97.7,0,16,4,856,0,0,825,856,457,457,0,0,399,30
Wyatt Teller,46131,G,VA TECH,12,100.0,0,337,87.5,68.0,93.6,3,13,404,100.0,100.0,97.3,8,19,3,853,0,853,0,853,430,430,0,0,423,0
Dalton Risner,47008,C,KANSAS ST,12,99.9,0,199,87.2,84.6,86.8,1,6,373,100.0,100.0,99.1,2,7,0,851,852,0,0,852,399,399,0,0,452,0
Ted Karras,10855,G,ILLINOIS,12,100.0,0,187,78.5,81.4,78.9,3,5,505,99.8,99.8,98.8,2,10,2,849,29,0,0,849,528,529,820,0,321,0
Tyrell Crosby,38897,T,OREGON,12,100.0,3,264,90.3,76.9,91.8,0,13,386,100.0,100.0,97.5,10,16,3,849,0,0,21,849,398,398,0,825,451,3
Taylor Moton,11819,G,W MICHIGAN,12,100.0,1,347,91.7,77.5,94.6,3,6,419,100.0,100.0,98.7,3,10,1,848,0,0,2,848,443,443,822,2,405,22
Cody Whitehair,10690,T,KANSAS ST,12,100.0,1,199,93.9,84.6,93.9,1,9,371,100.0,100.0,98.1,3,12,2,847,0,0,847,847,397,397,0,0,450,0
Chukwuma Okorafor,46302,T,W MICHIGAN,12,100.0,3,347,69.4,61.1,78.3,8,12,419,100.0,100.0,97.1,14,22,2,845,0,0,0,845,443,443,0,845,402,0
Justin Herron,46271,T,WAKE,12,100.0,0,339,61.0,63.7,60.7,8,15,501,100.0,100.0,96.7,6,28,5,843,0,0,843,843,525,525,0,0,318,0
Will Hernandez,46180,G,UTEP,12,100.0,1,330,90.3,86.7,90.3,3,4,422,100.0,100.0,98.9,3,8,1,842,0,840,1,842,438,438,1,0,404,0
Ross Pierschbacher,46815,G,ALABAMA,12,100.0,2,103,80.4,71.2,85.6,4,9,393,100.0,100.0,98.3,7,13,0,841,0,828,12,841,412,412,0,1,429,0
Joe Thuney,10712,T,NC STATE,12,100.0,2,248,91.5,91.1,91.9,1,4,431,100.0,100.0,99.0,7,7,2,841,0,29,808,841,444,444,0,0,397,4
Donavon Clark,10858,G,MICH STATE,12,100.0,1,223,82.1,79.2,82.2,2,9,380,100.0,100.0,98.6,4,11,0,837,0,0,0,837,401,401,473,353,436,11
Forrest Lamp,11793,T,W KENTUCKY,12,100.0,0,346,91.9,87.6,91.2,6,6,472,100.0,100.0,98.5,4,13,1,835,0,0,834,835,489,489,0,0,346,0
Graham Glasgow,10729,C,MICHIGAN,12,100.0,0,222,78.7,74.4,83.3,3,7,432,100.2,100.2,98.8,8,10,0,832,832,0,0,832,456,455,0,0,376,0
Mason Cole,45547,T,MICHIGAN,12,100.0,0,222,80.5,67.0,85.8,8,16,432,100.2,100.2,96.3,4,28,4,832,0,0,797,832,456,455,0,0,376,31
Geron Christian,46375,T,LOUISVILLE,12,100.0,2,210,62.6,53.9,70.4,3,30,457,100.0,100.0,95.3,9,38,5,830,0,0,469,830,473,473,0,359,357,2
Cam Robinson,11789,T,ALABAMA,12,100.0,2,103,73.3,73.3,74.3,2,4,390,100.0,100.0,97.4,11,13,7,830,0,0,824,830,409,409,0,5,421,1
Dorian Johnson,11870,G,PITTSBURGH,12,100.0,0,268,72.4,84.1,67.8,0,6,380,100.0,100.0,99.2,0,6,0,828,0,828,0,828,395,395,0,0,433,0
Braden Smith,46794,G,AUBURN,12,100.0,1,115,86.9,80.2,88.2,5,5,316,100.0,100.0,98.4,5,10,0,827,0,0,0,827,328,328,754,72,499,0
Chase Roullier,11954,G,WYOMING,12,100.0,0,351,94.3,87.7,94.2,1,4,369,100.0,100.0,99.1,2,6,1,825,0,825,0,825,391,391,0,0,434,0
Frank Ragnow,39137,G,ARKANSAS,12,100.0,1,111,77.5,65.3,81.5,4,14,381,100.0,100.0,97.6,5,18,0,822,0,2,0,822,392,392,820,0,430,0
Sebastian Tretola,10827,G,ARKANSAS,12,100.0,0,111,90.2,75.0,91.6,4,6,381,100.0,100.0,97.9,2,13,3,822,0,820,0,822,392,392,2,0,430,0
Kofi Amichia,11967,T,USF,12,100.0,1,327,71.8,63.4,70.5,5,17,327,100.0,100.0,94.8,4,28,6,821,0,0,812,821,342,342,0,0,479,8
Dion Dawkins,11818,T,TEMPLE,12,100.0,2,306,77.4,70.9,77.4,6,7,385,100.0,100.0,97.8,4,15,2,819,0,0,819,819,416,416,0,0,403,0
Austin Blythe,10882,C,IOWA,12,100.0,0,192,93.9,76.2,94.6,2,10,359,100.0,100.0,97.8,2,14,2,815,815,0,0,815,384,384,0,0,431,0
Joshua Garnett,10662,G,STANFORD,12,100.0,0,300,96.1,77.4,97.0,7,4,317,100.0,100.0,97.3,2,14,3,815,0,815,0,815,339,339,0,0,476,0
Joey Hunt,10849,C,TCU,10,100.0,0,305,90.2,91.3,89.9,0,3,444,100.0,100.0,99.7,5,3,0,814,814,0,0,814,471,471,0,0,343,0
Brian O'Neill,46854,T,PITTSBURGH,12,100.0,0,268,75.6,74.6,74.0,1,18,375,100.0,100.0,96.1,3,24,5,814,0,0,125,814,390,390,0,686,424,3
Danny Isidora,11933,G,MIAMI FL,12,100.0,0,220,71.0,55.9,75.9,2,20,433,100.0,100.0,97.0,2,24,2,813,0,13,0,813,453,453,720,80,360,0
Isaac Seumalo,10713,G,OREGON ST,12,100.0,0,265,94.0,92.6,94.4,0,4,382,100.0,100.0,99.5,4,4,0,807,0,0,187,807,405,405,618,0,402,1
Willie Beavers,10755,T,W MICHIGAN,12,100.0,1,347,57.6,31.4,70.9,9,24,400,100.0,100.0,94.6,7,38,5,803,0,0,802,803,423,423,0,0,380,1
Fahn Cooper,10808,T,OLE MISS,12,100.0,0,226,67.2,67.2,64.0,3,12,456,100.0,100.0,97.9,3,17,2,802,0,0,449,802,480,480,0,349,322,4
Connor McGovern,10778,T,MISSOURI,12,100.0,1,229,78.3,74.4,78.7,2,15,430,100.0,100.0,97.1,4,21,4,795,0,0,793,795,453,453,1,0,342,1
Mike McGlinchey,46275,T,NOTRE DAME,12,100.0,0,258,88.6,78.3,90.4,2,15,391,100.0,100.0,97.8,4,17,0,794,0,0,0,794,415,415,0,793,379,1
Billy Price,46795,G,OHIO STATE,12,100.0,0,260,79.5,72.6,80.4,2,8,326,100.0,100.0,98.2,4,11,1,794,0,794,0,794,340,340,0,0,454,0
Nico Siragusa,11877,G,S DIEGO ST,12,100.0,0,284,82.7,76.0,81.2,2,6,247,100.0,100.0,98.0,1,9,1,794,0,794,0,794,253,253,0,0,541,0
Antonio Garcia,11840,T,TROY,12,100.0,1,318,74.8,89.1,68.7,3,2,440,100.2,100.2,98.7,7,8,3,792,0,0,790,792,459,458,0,1,333,1
Taylor Decker,10650,T,OHIO STATE,12,100.0,2,260,86.4,77.2,86.5,3,9,327,100.0,100.0,97.6,4,14,2,790,0,0,786,790,341,341,0,0,449,4
Josh Robinson,18332,G,LA TECH,12,100.0,2,208,73.1,69.9,76.2,3,12,452,100.0,100.0,98.1,7,16,1,790,0,0,1,790,474,474,776,0,316,13
Pat Elflein,11825,G,OHIO STATE,12,100.0,0,260,87.3,82.4,88.0,1,5,325,100.0,100.0,98.8,2,7,1,786,14,1,0,786,339,339,771,0,447,0
Ryan Kelly,10652,C,ALABAMA,12,100.0,0,103,81.5,85.4,77.5,3,2,371,100.0,100.0,99.3,0,5,0,785,785,0,0,785,390,390,0,0,395,0
Kyle Murphy,10834,T,STANFORD,12,99.9,1,300,89.4,82.5,88.6,3,7,311,99.7,99.7,97.4,3,13,3,784,0,0,779,785,333,334,0,0,451,5
Nick Martin,10684,C,NOTRE DAME,12,100.0,1,258,86.9,85.0,89.0,0,5,389,100.0,100.0,99.4,7,5,0,782,782,0,0,782,413,413,0,0,369,0
Ronnie Stanley,10640,T,NOTRE DAME,12,100.0,2,258,86.5,87.7,87.4,4,6,389,100.0,100.0,97.9,10,13,3,780,0,0,779,780,413,413,0,0,367,1
Brandon Shell,10792,T,S CAROLINA,12,99.9,0,289,76.9,86.4,73.9,1,6,396,100.0,100.0,99.1,7,7,0,780,0,0,778,781,411,411,0,0,369,3
Roderick Johnson,11915,T,FLORIDA ST,12,100.0,1,167,81.3,70.9,87.4,5,10,393,100.0,100.0,97.8,9,16,1,773,0,0,773,773,412,412,0,0,361,0
Colby Gossett,46673,G,APP STATE,12,100.0,0,108,96.1,79.2,96.5,2,6,277,100.0,100.0,98.6,4,8,0,769,0,0,0,769,296,296,407,352,473,10
Connor Williams,46216,T,TEXAS,12,100.0,0,311,81.6,84.5,76.5,2,14,329,100.0,100.0,97.6,5,16,0,768,0,0,751,768,344,344,0,0,424,17
Evan Boehm,10762,C,MISSOURI,12,100.0,1,229,75.0,64.9,77.0,1,14,414,100.0,100.0,97.7,2,17,2,761,761,0,0,761,435,435,0,0,326,0
Shon Coleman,10710,T,AUBURN,11,100.0,1,115,88.6,81.4,84.2,0,8,294,100.0,100.0,98.0,2,10,2,760,0,0,655,760,305,305,0,0,455,102
Brian Allen,46104,G,MICH STATE,12,100.0,1,223,80.5,59.2,84.2,2,16,345,100.0,100.0,96.8,2,20,2,756,196,560,0,756,362,362,0,0,394,0
John Theus,10779,T,GEORGIA,12,100.0,1,173,80.3,73.3,80.7,1,10,317,100.0,100.0,97.3,5,14,3,743,0,0,494,743,326,326,0,248,417,1
Vadal Alexander,10868,T,LSU,11,100.0,2,211,79.8,68.6,83.9,0,18,286,100.0,100.0,96.5,11,19,1,734,0,0,92,734,302,302,0,642,432,0
Ethan Pocic,11813,C,LSU,11,100.0,2,211,76.6,76.8,76.0,1,9,286,100.0,100.0,97.9,6,11,1,734,734,0,0,734,302,302,0,0,432,0
Conor McDermott,11966,T,UCLA,11,100.0,0,324,81.7,76.6,85.3,2,13,384,100.0,100.0,97.5,6,17,2,729,0,0,727,729,401,401,0,1,328,1
Will Clapp,39386,G,LSU,11,100.0,0,211,90.2,82.0,90.7,3,7,284,100.0,100.0,98.2,3,10,0,729,0,93,0,729,300,300,636,0,429,0
Isaiah Wynn,46048,G,GEORGIA,12,100.0,0,173,89.2,90.8,90.1,2,4,318,100.0,100.0,98.4,5,8,2,728,0,477,248,728,327,327,0,0,401,3
Adam Bisnowaty,11955,T,PITTSBURGH,11,100.0,1,268,82.8,77.4,82.7,3,7,334,100.0,100.0,97.9,5,12,2,704,0,0,703,704,344,344,0,0,360,1
David Sharpe,11884,T,FLORIDA,12,100.0,1,163,61.5,58.9,63.9,6,20,366,100.0,100.0,95.9,6,28,2,702,0,2,690,702,380,380,0,0,322,8
Halapoulivaati Vaitai,10798,T,TCU,11,100.0,0,305,70.0,75.0,64.8,5,11,372,100.0,100.0,97.6,2,17,1,697,0,0,685,697,396,396,0,0,301,10
Jack Conklin,10642,T,MICH STATE,10,100.0,0,223,91.7,88.2,90.2,3,5,310,100.0,100.0,98.4,2,9,1,683,0,10,661,683,329,329,0,0,354,12
Justin Senior,11965,T,MISS STATE,11,100.0,0,227,74.0,69.9,72.9,3,15,397,100.0,100.0,96.5,2,23,5,679,0,0,0,679,408,408,0,676,271,3
Chris Lindstrom,46692,G,BOSTON COL,12,100.0,0,121,65.0,42.3,69.8,2,17,269,100.0,100.0,95.7,2,21,2,677,0,0,0,677,290,290,674,0,387,0
Sam Tevi,11945,T,UTAH,12,100.0,1,328,68.1,66.4,67.0,1,11,289,100.0,100.0,97.6,5,13,1,676,0,0,676,676,308,308,0,0,368,0
Joe Dahl,10785,T,WASH STATE,8,100.0,0,341,83.2,90.5,78.4,3,12,501,100.0,100.0,97.9,6,18,3,674,0,0,674,674,517,517,0,0,157,0
Quenton Nelson,12954,G,NOTRE DAME,11,100.0,1,258,83.6,78.7,84.8,1,5,328,100.0,100.0,98.5,2,8,2,672,0,672,0,672,345,345,0,0,327,0
Phil Haynes,29244,T,WAKE,12,100.0,0,339,52.2,41.9,62.9,3,29,394,100.0,100.0,93.1,2,43,11,666,0,0,0,666,413,413,0,665,253,0
Zach Banner,11892,T,USC,12,100.0,0,326,87.6,85.7,91.0,2,6,325,100.0,100.0,98.5,11,9,1,664,0,0,76,664,342,342,0,588,322,0
Nate Davis,46808,G,CHARLOTTE,12,100.0,0,136,67.9,40.3,72.3,6,10,302,100.0,100.0,96.4,2,19,3,653,0,0,0,653,310,310,649,4,343,0
Dru Samia,45376,T,OKLAHOMA,10,100.0,0,261,75.0,64.1,77.2,2,15,300,100.0,100.0,96.8,2,18,1,623,0,0,0,623,310,310,0,623,313,0
Jerald Hawkins,10757,T,LSU,10,100.0,2,211,82.0,75.2,80.4,4,5,197,100.0,100.0,95.7,5,13,4,593,0,0,570,593,209,209,0,0,384,23
Wes Martin,46087,G,INDIANA,10,100.0,0,190,81.2,79.3,80.5,0,3,252,100.0,100.0,99.4,0,3,0,570,0,570,0,570,262,262,0,0,308,0
Rees Odhiambo,10731,T,BOISE ST,8,100.0,0,120,79.4,78.0,74.7,3,6,304,100.0,100.0,98.2,1,10,1,563,0,0,557,563,315,315,0,0,248,6
Kolton Miller,47013,T,UCLA,10,100.0,0,324,82.2,70.4,86.5,2,17,296,100.0,100.0,96.5,3,20,1,545,0,0,220,545,315,315,0,312,230,12
Javon Patterson,46040,G,OLE MISS,11,100.0,0,226,62.8,55.6,65.3,3,13,293,100.0,100.0,96.9,2,17,1,517,0,441,0,517,305,305,76,0,212,0
Sean Harlow,11891,T,OREGON ST,7,100.0,1,265,82.4,76.9,87.1,0,7,209,100.0,100.0,96.4,6,11,4,472,0,0,467,472,220,220,0,0,252,5
Kaleb McGary,46912,T,WASHINGTON,10,100.0,0,340,67.0,59.1,69.0,0,16,235,100.0,100.0,95.7,2,18,2,455,0,0,0,455,240,240,0,447,215,8
Matt Pryor,46647,G,TCU,10,100.0,0,305,68.3,72.3,63.8,1,8,220,100.0,100.0,97.0,1,11,2,431,0,0,0,431,235,235,119,311,196,0
Yodny Cajuste,46297,T,W VIRGINIA,6,100.0,1,343,55.1,63.4,55.3,2,9,209,100.0,100.0,95.9,4,14,3,430,0,0,430,430,223,223,0,0,207,0
Elgton Jenkins,46298,T,MISS STATE,10,100.0,0,227,71.0,61.1,77.4,2,10,227,100.0,100.0,96.9,3,13,1,398,0,0,229,398,231,231,0,169,167,0
George Asafo-Adjei,46614,T,KENTUCKY,11,100.0,0,202,70.6,66.8,71.1,0,8,198,100.0,100.0,97.0,3,10,2,372,0,0,0,372,214,214,0,372,158,0
Laremy Tunsil,10647,T,OLE MISS,5,100.0,0,226,90.4,82.7,90.7,0,4,196,100.0,100.0,99.0,4,4,0,363,0,0,362,363,205,205,0,0,158,1
Ryan Anderson,46883,T,WAKE,7,100.0,1,339,54.3,35.4,65.0,4,9,177,100.0,100.0,94.6,2,16,3,311,23,0,0,311,187,187,118,170,124,0
Sam Jones,38935,T,ARIZONA ST,10,100.0,1,110,67.3,78.3,61.6,0,4,143,100.0,100.0,97.9,1,5,1,307,0,3,162,307,147,147,0,128,160,14
Chuma Edoga,46232,T,USC,12,100.0,1,326,58.1,43.1,64.2,0,12,144,100.0,100.0,93.7,2,15,3,293,0,0,0,293,149,149,0,293,144,0
Max Tuerk,10700,C,USC,5,100.0,0,326,88.8,87.6,88.1,0,0,145,100.0,100.0,99.3,3,1,1,251,251,0,0,251,152,152,0,0,99,0
James Daniels,45576,G,IOWA,7,100.0,1,192,74.6,51.6,79.1,2,4,93,100.0,100.0,95.7,2,7,1,236,0,186,0,236,98,98,19,31,138,0
Justin Skule,38951,T,VANDERBILT,6,100.0,0,333,42.0,27.5,54.5,3,15,130,100.0,100.0,92.3,1,19,1,233,0,0,0,233,136,136,0,232,97,1
Jackson Barton,46978,T,UTAH,10,100.0,0,328,71.8,81.8,66.1,1,4,106,100.0,100.0,97.6,3,5,0,223,0,0,219,223,112,112,0,4,111,0
Andre Dillard,29250,T,WASH STATE,3,100.0,0,341,57.0,62.6,51.3,1,10,156,100.0,100.0,94.6,2,14,3,195,0,0,195,195,161,161,0,0,34,0
Rod Taylor,46195,G,OLE MISS,9,100.0,0,226,51.4,26.1,56.7,3,6,129,100.0,100.0,95.7,0,10,1,186,0,0,0,186,134,134,186,0,52,0
Korey Cunningham,38555,T,CINCINNATI,4,100.0,0,138,89.7,84.8,84.6,0,0,19,100.0,100.0,100.0,0,0,0,75,0,0,75,75,20,20,0,0,55,0
Bradley Bozeman,27934,G,ALABAMA,8,100.0,0,103,74.0,84.4,71.6,0,0,24,100.0,100.0,100.0,1,0,0,71,3,7,0,71,25,25,61,0,46,0
Nick Allegretti,39268,C,ILLINOIS,4,100.0,0,187,64.2,84.0,58.3,0,0,31,100.0,100.0,100.0,0,0,0,56,44,12,0,56,32,32,0,0,24,0
Jamarco Jones,46226,T,OHIO STATE,7,100.0,0,260,86.4,78.7,82.4,0,0,14,100.0,100.0,100.0,0,0,0,51,0,0,31,51,15,15,0,20,36,0
Jermaine Eluemunor,11914,G,TEXAS A&M,3,100.0,0,312,71.2,65.6,71.2,0,2,17,100.0,100.0,94.1,0,2,0,49,0,0,0,49,19,19,49,0,30,0
Garrett Bradbury,46013,G,NC STATE,3,100.0,0,248,83.4,77.2,82.4,0,0,9,100.0,100.0,100.0,0,0,0,36,0,35,0,36,9,9,1,0,27,0
Isaiah Prince,47019,T,OHIO STATE,5,100.0,0,260,52.2,75.2,49.9,0,0,7,100.0,100.0,100.0,0,0,0,35,0,0,8,35,7,7,0,27,28,0
Derwin Gray,46335,T,MARYLAND,2,100.0,0,215,82.9,41.1,91.4,0,0,13,100.0,100.0,92.3,0,1,1,27,0,0,0,27,14,14,0,27,13,0
Lamont Gaillard,46618,G,GEORGIA,2,100.0,0,173,82.1,,80.8,0,0,0,,,,0,0,0,12,0,0,0,12,0,0,12,0,12,0
Josh Allen,37029,G,ARKANSAS,2,100.0,0,111,56.6,,56.4,0,0,0,,,,0,0,0,6,0,3,0,6,0,0,0,0,6,0
Andre Dillard,29250,T,WASH STATE,12,100.0,0,341,81.7,93.1,76.2,3,14,665,100.0,100.0,97.7,13,24,7,996,0,0,996,996,707,707,0,0,289,0
Kyle Fuller,11998,C,BAYLOR,12,100.0,1,118,66.8,84.1,68.2,2,3,465,100.0,100.0,99.2,15,6,1,967,967,0,0,967,491,491,0,0,476,0
Max Scharping,46961,T,N ILLINOIS,12,100.0,0,254,77.9,87.2,73.3,2,4,428,100.0,100.0,99.3,6,6,0,966,0,0,0,966,442,442,0,966,524,0
Connor Williams,46216,T,TEXAS,11,100.0,0,311,91.3,87.1,90.1,0,3,421,100.0,100.0,99.4,3,4,1,956,0,0,939,956,445,445,0,0,511,17
Cole Madison,46953,T,WASH STATE,12,100.0,1,341,86.3,93.5,75.4,3,6,644,100.0,100.0,99.0,10,11,2,955,0,0,0,955,686,686,0,954,269,0
Josh Jones,26634,T,HOUSTON,12,100.0,1,182,66.6,73.2,58.7,4,16,552,100.0,100.0,97.3,3,25,5,947,0,0,947,947,573,573,0,0,374,0
Wes Martin,46087,G,INDIANA,12,100.0,1,190,73.3,82.7,69.7,4,7,447,100.0,100.0,98.3,3,13,2,946,0,944,0,946,465,465,0,0,481,0
Matt Pryor,46647,G,TCU,12,100.0,1,305,68.0,80.6,65.0,4,9,536,100.0,100.0,98.4,4,15,2,937,0,1,0,937,563,563,935,0,374,0
Isaac Asiata,11919,G,UTAH,12,100.0,0,328,77.9,76.5,81.0,2,8,430,100.0,100.0,98.1,7,13,3,923,0,923,0,923,464,464,0,0,459,0
Justin Senior,11965,T,MISS STATE,12,99.9,0,227,82.5,83.0,81.0,1,10,417,99.8,99.8,98.0,7,14,3,912,0,0,0,913,442,443,0,912,470,0
Jake Hanson,28148,C,OREGON,12,100.0,0,264,74.6,78.3,73.9,1,11,455,100.0,100.0,98.7,4,12,0,900,900,0,0,900,473,473,0,0,427,0
Chase Roullier,11954,C,WYOMING,12,100.0,0,351,84.5,78.8,84.2,1,7,379,100.0,100.0,98.9,1,8,0,894,894,0,0,894,408,408,0,0,486,0
Javon Patterson,46040,G,OLE MISS,12,100.0,0,226,65.3,78.4,57.6,2,14,558,100.0,100.0,98.2,1,18,2,892,127,765,0,892,587,587,0,0,305,0
Hakeem Adeniji,45419,T,KANSAS,12,99.9,2,198,54.9,59.7,53.1,4,30,536,99.8,99.8,95.9,5,39,5,882,0,0,632,883,558,559,0,248,324,0
Garett Bolles,11775,T,UTAH,12,100.0,1,328,84.8,74.2,91.7,1,14,409,100.0,100.0,97.4,14,18,3,881,0,0,881,881,440,440,0,0,441,0
Frank Ragnow,39137,C,ARKANSAS,12,100.0,0,111,92.8,83.8,93.5,3,8,419,100.0,100.0,98.7,3,11,0,881,817,0,0,881,447,447,64,0,434,0
Isaiah Prince,47019,T,OHIO STATE,12,100.0,1,260,63.2,45.9,73.1,5,31,405,100.0,100.0,94.1,8,42,6,879,0,0,12,879,426,426,0,867,453,0
Michael Jordan,28021,G,OHIO STATE,12,100.0,1,260,71.5,64.3,73.5,1,20,407,100.0,100.0,95.7,3,28,7,879,0,879,0,879,428,428,0,0,451,0
Roderick Johnson,11915,T,FLORIDA ST,12,100.0,2,167,78.4,84.0,73.6,3,8,438,100.0,100.0,98.3,8,13,2,873,0,0,866,873,465,465,0,0,408,7
Billy Price,46795,G,OHIO STATE,12,100.0,0,260,78.1,77.9,80.4,2,13,403,100.0,100.0,97.9,7,16,1,873,0,0,0,873,424,424,873,0,449,0
Korey Cunningham,38555,T,CINCINNATI,12,99.8,1,138,67.2,77.3,57.6,1,13,502,99.6,99.6,97.4,3,20,6,872,0,0,0,874,516,518,0,872,356,0
Chukwuma Okorafor,46302,T,W MICHIGAN,12,100.0,1,347,79.8,69.2,81.7,4,13,353,100.0,100.0,96.5,7,21,4,872,0,0,871,872,369,369,0,0,503,1
Jamarco Jones,46226,T,OHIO STATE,12,100.0,0,260,78.2,73.8,78.6,5,15,402,100.0,100.0,97.3,5,21,1,869,0,0,864,869,423,423,0,0,446,5
Taylor Moton,11819,T,W MICHIGAN,12,99.9,1,347,84.5,81.9,82.4,2,5,353,99.7,99.7,99.0,5,7,0,867,0,0,0,868,369,370,0,855,498,13
Conor McDermott,11966,T,UCLA,12,100.0,0,324,79.6,82.2,75.0,7,9,535,100.0,100.0,98.1,4,18,2,865,0,0,865,865,563,563,0,0,302,0
Orlando Brown Jr.,46227,T,OKLAHOMA,12,100.0,0,261,83.1,93.9,76.2,2,3,384,100.0,100.0,99.1,7,6,1,863,0,0,862,863,402,402,0,1,461,0
Scott Quessenberry,23918,C,UCLA,12,100.0,0,324,68.3,78.4,63.1,2,17,534,100.0,100.0,97.8,2,21,2,862,862,0,0,862,562,562,0,0,300,0
Erik McCoy,37347,C,TEXAS A&M,12,100.0,1,312,71.0,69.7,69.8,1,4,454,100.0,100.0,99.4,3,5,0,859,859,0,0,859,473,473,0,0,386,0
Geron Christian,46375,T,LOUISVILLE,12,99.9,1,210,64.8,65.1,65.8,4,23,478,99.8,99.8,96.3,7,31,4,859,0,0,525,860,499,500,0,324,360,11
Michael Deiter,38554,C,WISCONSIN,12,100.0,0,349,83.2,71.3,83.6,5,8,323,100.0,100.0,97.7,1,14,1,858,646,212,0,858,330,330,0,0,528,0
Pat Elflein,11825,C,OHIO STATE,12,100.0,1,260,84.3,67.7,90.2,2,11,395,100.0,100.0,97.8,6,15,2,857,857,0,0,857,416,416,0,0,441,0
Austin Corbett,46290,T,NEVADA,12,100.0,0,239,83.3,89.8,78.7,2,6,398,100.0,100.0,99.0,5,8,0,856,0,0,852,856,430,430,0,0,426,4
Ryan Ramczyk,11787,T,WISCONSIN,12,100.0,0,349,91.5,85.9,90.3,3,7,323,100.0,100.0,98.5,2,10,0,853,0,0,853,853,330,330,0,0,523,0
Robert Hunt,46139,G,LA LAFAYET,12,100.0,0,207,69.6,74.6,70.8,1,7,362,100.0,100.0,97.8,8,12,4,853,0,853,0,853,382,382,0,0,471,0
Antonio Garcia,11840,T,TROY,12,100.0,1,318,71.2,91.9,63.9,0,6,432,100.0,100.0,99.3,9,6,0,848,0,0,844,848,462,462,0,0,386,4
Colby Gossett,46673,G,APP STATE,12,100.0,0,108,83.9,80.4,85.7,1,5,332,100.0,100.0,98.8,6,7,1,848,0,0,0,848,351,351,678,167,497,1
Justin Skule,38951,T,VANDERBILT,12,100.0,2,333,66.9,68.1,62.3,6,14,387,99.7,99.8,96.1,5,25,5,836,0,0,10,836,412,413,0,822,424,4
Will Holden,11912,T,VANDERBILT,12,99.9,0,333,79.1,59.6,84.4,8,11,386,99.5,99.5,96.2,2,24,5,832,0,0,820,833,411,413,0,2,421,11
Kofi Amichia,11967,T,USF,12,100.0,0,327,71.3,81.3,65.6,1,6,366,100.0,100.0,98.5,4,9,2,832,0,0,832,832,378,378,0,0,454,0
Jonah Williams,41651,T,ALABAMA,12,100.0,0,103,78.1,77.0,76.9,3,4,409,100.0,100.0,98.2,5,11,4,830,0,0,4,830,424,424,0,825,406,1
Mike McGlinchey,46275,T,NOTRE DAME,12,100.0,1,258,80.9,78.7,85.8,2,13,438,100.0,100.2,97.8,12,17,2,827,0,0,827,827,457,456,0,0,370,0
Adam Bisnowaty,11955,T,PITTSBURGH,12,100.0,1,268,77.2,77.3,76.0,1,7,340,100.0,100.0,98.5,5,9,1,827,0,2,796,827,367,367,0,27,460,2
Quenton Nelson,12954,G,NOTRE DAME,12,100.0,0,258,85.4,86.2,86.2,1,10,438,100.0,100.2,98.7,4,11,0,826,0,826,0,826,457,456,0,0,369,0
Bradley Bozeman,27934,C,ALABAMA,12,100.0,0,103,79.9,81.7,76.1,0,5,409,100.0,100.0,99.4,0,5,0,826,822,0,0,826,424,424,4,0,402,0
Brian Allen,46104,G,MICH STATE,12,100.0,0,223,86.4,81.9,86.7,1,7,415,100.0,100.0,98.6,1,10,2,825,181,305,0,825,438,438,339,0,387,0
Dalton Risner,47008,T,KANSAS ST,12,100.0,0,199,89.1,85.3,87.4,1,8,342,100.0,100.0,98.4,5,10,1,823,0,0,0,823,362,362,0,823,461,0
