player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jamon Brown,9505,T,LOUISVILLE,12,100.0,0,210,84.4,80.8,85.1,3,12,435,100.0,100.0,97.8,2,17,2,843,0,0,428,843,448,448,0,405,395,10
Laken Tomlinson,9461,G,DUKE,12,100.0,0,154,88.3,91.1,89.6,0,4,441,100.0,100.0,99.5,4,4,0,841,0,0,0,841,455,455,841,0,386,0
John Miller,9514,G,LOUISVILLE,12,100.0,0,210,84.4,73.2,89.7,3,15,434,100.0,100.0,97.5,5,20,2,840,0,339,0,840,447,447,501,0,393,0
Connor McGovern,10778,G,MISSOURI,12,100.0,0,229,69.6,72.5,69.5,3,12,416,100.0,100.0,98.0,4,16,1,840,0,0,0,840,442,442,515,325,398,0
Billy Price,46795,G,OHIO STATE,12,100.0,0,260,66.6,58.8,69.4,4,10,394,100.0,100.0,96.7,5,20,6,838,42,636,0,838,404,404,160,0,434,0
Chase Roullier,11954,G,WYOMING,12,100.0,0,351,78.5,72.1,79.7,2,7,442,100.0,100.0,97.9,0,14,5,834,10,772,0,834,455,455,52,0,379,0
Daryl Williams,9535,T,OKLAHOMA,12,100.0,0,261,85.2,83.0,80.8,1,7,358,100.0,100.0,98.9,5,8,0,827,0,0,0,827,376,376,0,824,451,3
Nico Siragusa,11877,G,S DIEGO ST,12,100.0,2,284,81.1,65.4,83.9,4,7,357,100.0,100.0,97.9,4,13,2,824,0,824,0,824,369,369,0,0,455,0
Parker Ehinger,10739,G,CINCINNATI,12,100.0,0,138,72.6,78.3,71.2,2,9,451,100.0,100.0,98.6,3,12,1,823,0,0,0,823,477,477,823,0,346,0
Tyrus Thompson,9618,T,OKLAHOMA,12,100.0,2,261,81.0,76.6,79.5,0,12,346,100.0,100.0,98.3,4,12,0,820,0,0,820,820,363,363,0,0,457,0
Shaq Mason,9564,G,GA TECH,12,100.0,0,176,91.3,70.5,90.4,1,2,201,100.0,100.0,98.8,1,4,1,819,0,0,0,819,215,215,819,0,604,0
Ian Silberman,9623,T,BOSTON COL,12,100.0,1,121,64.9,58.1,64.5,3,10,275,100.0,100.0,96.5,2,16,3,819,0,0,13,819,293,293,0,762,526,43
Andy Gallik,9641,C,BOSTON COL,12,100.0,0,121,70.8,80.1,68.6,0,5,274,100.0,100.0,98.4,5,7,2,816,816,0,0,816,292,292,0,0,524,0
Cameron Erving,9452,T,FLORIDA ST,12,100.0,0,167,74.2,81.7,74.2,2,15,473,100.0,100.0,97.1,7,22,5,815,194,0,621,815,494,494,0,0,321,0
Bobby Hart,9659,T,FLORIDA ST,12,100.0,0,167,78.8,78.7,78.4,2,21,473,100.0,100.0,97.6,6,23,0,815,0,0,0,815,494,494,0,815,321,0
Cedric Ogbuehi,9454,T,TEXAS A&M,12,100.0,0,312,78.3,80.5,73.3,4,14,508,100.0,100.0,97.0,3,24,6,813,0,0,649,813,526,526,0,163,287,0
Alex Lewis,10764,T,NEBRASKA,12,100.0,0,238,69.8,76.6,69.7,4,11,323,100.0,100.0,97.7,11,15,0,813,0,0,813,813,343,343,0,0,470,0
Will Hernandez,46180,G,UTEP,12,100.0,0,330,74.7,81.1,72.6,1,2,294,100.0,100.0,98.8,3,5,2,809,0,809,0,809,314,314,0,0,495,0
Christian Westerman,10795,G,ARIZONA ST,11,100.0,0,110,70.1,81.6,65.7,4,6,427,100.0,100.0,98.6,1,11,1,807,1,806,0,807,453,453,0,0,354,0
Arie Kouandjio,9545,G,ALABAMA,12,100.0,0,103,85.7,90.6,86.9,2,2,402,100.0,100.0,99.5,4,4,0,806,0,806,0,806,415,415,0,0,391,0
Taylor Moton,11819,T,W MICHIGAN,12,100.0,2,347,76.2,78.4,71.4,1,8,373,100.0,100.0,98.5,3,10,1,801,0,0,0,801,387,387,59,742,414,0
Willie Beavers,10755,T,W MICHIGAN,12,100.0,0,347,70.4,77.4,68.0,5,10,374,100.0,100.0,98.0,2,15,0,798,0,0,797,798,389,389,0,0,409,1
Rob Havenstein,9490,T,WISCONSIN,12,100.0,1,349,85.8,80.0,82.4,3,8,277,100.0,100.0,98.0,1,11,0,797,0,0,3,797,288,288,0,794,509,0
Taylor Decker,10650,T,OHIO STATE,12,100.0,0,260,87.3,76.7,88.1,2,10,381,100.0,100.0,97.6,4,15,3,797,0,0,796,797,392,392,0,1,405,0
Jerald Hawkins,10757,T,LSU,12,100.0,1,211,69.7,84.0,62.2,2,8,291,100.0,100.0,98.3,1,10,0,796,0,0,0,796,313,313,82,705,483,9
Austin Shepherd,9661,T,ALABAMA,12,100.0,0,103,87.1,88.4,80.2,0,7,397,100.0,100.0,98.9,0,8,1,795,0,0,49,795,410,410,0,744,385,2
Cody Whitehair,10690,T,KANSAS ST,12,100.0,1,199,91.4,91.5,87.7,1,3,401,100.0,100.0,99.0,3,6,2,794,0,0,792,794,428,428,0,0,366,2
Joshua Garnett,10662,G,STANFORD,12,100.0,2,300,71.0,81.1,70.5,3,7,398,100.0,100.0,98.5,6,11,1,790,0,788,0,790,419,419,0,0,371,1
Kyle Murphy,10834,T,STANFORD,12,100.0,0,300,76.5,84.2,67.0,2,4,397,100.0,100.0,98.2,3,10,4,787,0,0,16,787,417,417,0,761,370,10
Pat Elflein,11825,G,OHIO STATE,12,100.0,0,260,82.7,70.9,86.9,1,9,378,100.0,100.0,97.9,4,13,3,784,46,153,0,784,389,389,585,0,395,0
Andrus Peat,9446,T,STANFORD,12,100.0,0,300,83.6,94.5,74.2,0,4,395,100.0,100.0,99.0,5,6,2,779,0,0,760,779,416,416,0,1,363,18
Austin Reiter,9655,C,USF,12,100.0,1,327,72.1,86.1,67.1,0,8,400,100.0,100.0,99.0,3,8,0,768,768,0,0,768,423,423,0,0,345,0
Mason Cole,45547,T,MICHIGAN,12,100.0,0,222,73.6,66.2,74.4,8,10,398,100.0,100.0,96.5,2,23,5,767,0,0,761,767,410,410,0,0,357,5
Isaac Asiata,11919,G,UTAH,12,100.0,0,328,65.8,74.0,63.9,2,9,366,100.0,100.0,98.5,3,11,0,761,0,271,0,761,381,381,490,0,380,0
Zach Banner,11892,T,USC,12,100.0,0,326,74.8,73.7,73.6,2,17,397,100.0,100.0,97.1,7,21,2,760,0,0,1,760,416,416,0,756,344,3
Max Garcia,9566,C,FLORIDA,11,100.0,1,163,76.3,84.4,72.8,3,3,325,100.0,100.0,99.1,2,6,0,755,755,0,0,755,339,339,0,0,416,0
Jason Spriggs,10682,T,INDIANA,11,100.0,1,190,74.6,79.3,72.7,0,10,331,100.0,100.0,98.2,7,11,1,748,0,0,741,748,347,347,0,0,401,7
Donavon Clark,10858,G,MICH STATE,12,100.0,0,223,74.7,64.4,74.7,4,8,318,100.0,100.0,97.5,2,14,2,746,0,0,0,746,334,334,530,216,412,0
Sebastian Tretola,10827,G,ARKANSAS,12,100.0,0,111,82.0,80.5,83.1,1,6,321,100.0,100.0,98.9,3,7,0,744,0,713,1,744,335,335,28,2,409,0
Tayo Fabuluje,9616,T,TCU,11,100.0,1,305,77.4,82.8,77.9,3,11,421,100.0,100.0,98.1,8,15,1,733,0,0,727,733,443,443,0,2,290,0
Jon Feliciano,9561,G,MIAMI FL,12,100.0,0,220,79.0,79.2,78.7,3,6,369,100.0,100.0,98.5,2,10,1,728,0,484,61,728,382,382,0,182,346,1
Danny Isidora,11933,G,MIAMI FL,12,100.0,0,220,85.3,82.1,89.3,1,7,367,100.0,100.0,98.4,5,10,2,727,0,0,0,727,381,381,727,0,346,0
Cam Robinson,11789,T,ALABAMA,12,100.0,0,103,74.9,78.0,70.9,2,11,370,100.0,100.0,98.0,2,14,1,723,0,0,720,723,380,380,0,0,343,2
Vadal Alexander,10868,G,LSU,11,100.0,0,211,72.3,70.4,74.6,2,7,259,100.0,100.0,97.9,5,10,1,716,0,716,0,716,279,279,0,0,437,0
John Miller,13267,C,SYRACUSE,11,100.0,0,304,74.3,72.2,73.2,3,7,365,100.0,100.0,98.4,1,11,1,705,705,0,0,705,386,386,0,0,319,0
Ethan Pocic,11813,G,LSU,11,100.0,2,211,74.7,77.9,74.2,1,7,253,100.0,100.0,98.0,5,9,1,702,224,0,0,702,272,272,478,0,430,0
John Theus,10779,T,GEORGIA,12,100.0,0,173,72.4,70.8,73.3,4,8,295,100.0,100.0,97.6,5,13,1,700,0,3,697,700,306,306,0,0,394,0
Cole Madison,46953,T,WASH STATE,8,100.0,0,341,73.9,78.0,70.1,3,12,544,100.0,100.0,97.7,3,20,5,700,0,0,0,700,573,573,0,700,127,0
Antonio Garcia,11840,T,TROY,12,100.0,0,318,60.3,71.8,57.9,2,12,347,100.0,100.0,96.5,5,19,5,692,0,0,692,692,364,364,0,0,328,0
Dion Dawkins,11818,T,TEMPLE,11,100.0,0,306,69.4,80.7,58.5,0,10,398,100.0,100.0,98.0,1,13,3,688,0,0,688,688,413,413,0,0,275,0
Dorian Johnson,11870,G,PITTSBURGH,12,100.0,1,268,91.5,83.2,92.2,0,1,251,100.0,100.0,99.4,2,2,1,684,0,684,0,684,265,265,0,0,419,0
Graham Glasgow,10729,G,MICHIGAN,11,100.0,0,222,81.7,75.6,82.7,2,7,358,100.0,100.0,98.5,0,10,1,683,0,501,0,683,369,369,182,0,314,0
Donovan Smith,9467,T,PENN STATE,10,100.0,1,266,68.2,76.6,62.5,3,8,402,100.0,100.0,98.4,3,12,1,677,0,0,665,677,419,419,0,0,258,12
Fahn Cooper,10808,T,OLE MISS,12,100.0,0,226,62.8,68.6,63.1,2,14,369,100.0,100.0,97.3,6,18,2,676,0,0,193,676,386,386,0,483,290,0
