player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Breeland Speaks,48727,DI,OLE MISS,11,7,1,,0,0,226,0,0,63.5,64.7,21.9,65.6,64.1,74.4,9,6,0,0,,4.8,1,0,3,0.0,0,1,0,1,0,0,402,401,5,289,9,98,0,1,189,213,0,9,13,0,0,16,0,0,0,
Rasheem Green,48731,DI,USC,12,8,3,,0,1,326,0,0,63.7,68.3,85.3,61.9,69.0,72.6,2,14,0,0,,7.5,3,0,0,0.0,0,7,0,3,0,0,655,652,8,506,56,82,0,3,365,290,0,26,29,1,0,23,0,0,0,
Taven Bryan,48753,DI,FLORIDA,11,0,0,,1,1,163,2,0,,72.6,30.9,71.5,72.4,78.2,4,13,0,0,,0.0,0,0,2,0.0,0,1,0,0,0,0,315,313,37,250,5,21,0,2,158,157,0,11,11,1,0,18,0,0,0,
Deadrin Senat,48815,DI,USF,11,7,0,,0,0,327,0,0,60.0,76.8,54.0,68.5,79.3,69.7,4,20,0,0,,9.4,5,0,2,0.0,0,0,0,0,0,0,575,575,114,459,0,2,0,0,298,277,0,31,41,5,0,24,0,0,0,
L.J. Collier,48822,DI,TCU,12,3,0,,0,0,305,0,0,64.1,73.6,21.2,70.9,73.5,54.4,0,8,0,0,,20.0,3,1,2,0.0,0,4,0,2,0,1,252,250,11,230,0,9,0,2,123,128,0,9,9,0,0,12,0,0,0,
Michael Dogbe,48850,DI,TEMPLE,12,7,0,,0,1,306,0,0,68.3,86.3,60.7,65.7,88.8,76.6,0,9,0,0,,7.1,2,0,1,0.0,0,2,0,6,0,0,360,354,62,247,19,26,0,6,174,186,0,18,19,2,0,11,0,0,0,
Daylon Mack,48933,DI,TEXAS A&M,12,4,1,,0,0,312,0,0,60.0,62.2,9.8,66.2,64.1,53.9,0,7,0,0,,13.6,3,0,3,0.0,0,2,0,0,0,0,292,292,49,205,0,38,0,0,127,165,0,13,15,1,0,9,0,0,0,
Justin Jones,48940,DI,NC STATE,12,3,0,100.0,0,0,248,0,0,64.9,84.0,84.8,68.6,88.7,82.5,3,19,0,0,-4.0,7.4,2,0,1,79.2,1,2,0,1,0,0,524,523,25,489,6,3,0,1,315,209,0,19,22,4,1,24,0,-4,6,-4.0
Renell Wren,48953,DI,ARIZONA ST,12,3,2,,1,1,110,0,0,59.2,77.1,47.4,70.9,79.6,46.0,0,7,0,0,,23.5,4,1,1,0.0,0,2,0,0,0,3,236,236,9,203,4,20,0,0,128,105,0,11,10,4,0,9,0,0,0,
Vita Vea,48956,DI,WASHINGTON,12,6,0,,0,1,340,0,0,64.4,90.4,83.2,79.5,90.4,66.2,3,20,0,0,,9.1,3,0,0,0.0,0,4,0,0,0,0,353,353,25,290,6,32,0,0,197,156,0,20,24,2,0,27,0,0,0,
Tim Settle,48966,DI,VA TECH,12,3,1,,0,0,337,0,0,62.2,87.0,81.4,78.9,83.6,56.0,1,16,0,0,,18.8,3,0,0,0.0,0,0,0,1,0,0,224,223,24,190,0,9,0,1,118,106,0,9,10,7,0,17,0,0,0,
Khalil Davis,48988,DI,NEBRASKA,7,1,0,,0,0,238,0,0,,63.4,76.5,60.0,63.5,75.3,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,50,50,5,44,0,1,0,0,25,25,0,3,4,2,0,1,0,0,0,
James Looney,48991,DI,CAL,12,13,0,,3,1,130,1,0,63.6,73.9,29.5,73.3,73.6,76.4,4,21,0,0,,4.3,2,0,5,0.0,0,4,0,0,0,0,814,813,327,472,0,14,0,1,404,410,0,26,31,6,0,29,0,0,0,
Andrew Brown,49636,DI,VIRGINIA,12,5,1,,1,0,335,1,0,61.1,62.1,3.8,69.6,59.7,52.9,6,27,0,0,,19.4,7,0,6,0.0,0,4,0,13,0,6,600,586,2,82,153,349,0,14,310,284,1,22,24,9,0,37,0,0,0,
B.J. Hill,49894,DI,NC STATE,12,8,3,,0,1,248,2,0,57.5,71.4,61.8,66.5,74.3,46.2,8,16,0,0,,14.6,6,0,2,0.0,0,3,0,1,0,3,594,593,220,369,0,4,0,1,363,228,0,21,27,0,0,27,0,0,0,
Sebastian Joseph-Day,49935,DI,RUTGERS,12,7,0,,0,2,278,0,0,64.1,66.4,88.4,69.8,61.3,56.7,6,7,0,0,,10.7,3,0,0,0.0,0,1,0,0,0,0,501,500,233,265,0,2,0,1,183,318,0,15,18,2,0,14,0,0,0,
Kendrick Norton,49940,DI,MIAMI FL,12,7,0,,0,1,220,0,0,48.1,68.9,42.7,61.0,75.3,70.5,2,11,0,0,,6.3,2,0,3,0.0,0,1,0,1,0,0,578,576,335,232,1,8,0,2,290,288,0,17,23,7,0,14,0,0,0,
Jerry Tillery,49949,DI,NOTRE DAME,12,2,0,,1,0,258,0,0,60.0,60.9,41.8,56.3,64.5,29.5,1,11,0,0,,23.7,9,0,3,0.0,0,0,0,0,0,0,647,645,92,393,15,145,0,2,273,374,0,18,27,4,0,12,0,0,0,
Derrick Nnadi,49970,DI,FLORIDA ST,12,6,1,,0,1,167,1,0,59.8,85.7,10.4,79.3,90.3,74.8,1,17,0,0,,5.4,2,0,5,0.0,0,7,0,2,0,0,480,478,252,225,0,1,0,2,279,201,0,32,29,5,0,25,0,0,0,
Byron Cowart,50588,DI,AUBURN,10,0,0,,0,1,115,0,0,,66.9,83.0,53.2,76.9,78.6,1,3,0,0,,12.5,1,0,0,0.0,0,0,0,0,0,0,186,186,0,8,139,39,0,0,99,87,0,6,7,1,0,4,0,0,0,
Justin Lawler,50592,DI,SMU,12,7,0,75.0,0,0,287,1,0,53.6,79.3,88.3,76.5,78.0,76.8,6,39,0,0,9.0,10.3,6,0,0,85.4,3,7,0,19,0,23,654,625,0,0,566,59,0,29,322,309,10,40,45,8,4,52,0,20,14,6.7
Charles Omenihu,50612,DI,TEXAS,12,6,0,,1,0,311,0,0,69.1,70.1,48.1,59.0,74.6,74.2,1,11,0,0,,8.0,2,0,2,0.0,0,4,0,0,0,1,496,496,0,37,211,248,0,0,217,278,0,17,17,1,0,16,0,0,0,
Brandon Wilson,50647,DI,INDIANA,5,0,0,,0,0,190,0,0,,63.2,79.3,59.0,65.2,73.7,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,80,80,0,1,63,16,0,0,44,36,0,1,2,0,0,4,0,0,0,
Jordan Elliott,56734,DI,TEXAS,6,2,0,,0,0,311,0,0,,62.9,78.9,62.7,61.4,77.1,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,89,89,21,22,16,30,0,0,26,63,0,3,5,1,0,2,0,0,0,
Kahlil McKenzie,62935,DI,TENNESSEE,7,2,0,,0,0,307,0,0,60.0,79.7,80.9,64.8,83.7,65.2,2,4,0,0,,8.3,1,0,0,0.0,0,0,0,0,0,0,152,152,12,137,0,3,0,0,59,93,0,8,9,1,0,6,0,0,0,
Bravvion Roy,25644,DI,BAYLOR,12,5,0,,0,0,118,0,0,58.5,82.2,61.2,70.5,85.1,74.4,2,7,0,0,,3.6,1,0,1,0.0,0,0,0,3,0,2,350,347,133,213,1,0,0,3,161,187,0,16,22,3,0,9,0,0,0,
Dexter Lawrence,25991,DI,CLEMSON,10,5,0,,0,1,140,0,0,64.9,86.8,85.4,74.7,85.8,81.8,2,10,0,0,,0.0,0,0,0,0.0,0,3,0,3,0,3,357,353,84,246,0,23,0,4,177,177,0,16,18,1,0,15,0,0,0,
Armon Watts,27844,DI,ARKANSAS,5,2,0,,0,0,111,0,0,,52.3,73.8,54.0,53.9,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,38,38,0,0,0,38,0,0,15,23,0,1,1,0,0,0,0,0,0,
DaVon Hamilton,28072,DI,OHIO STATE,10,4,0,,0,0,260,0,0,60.0,78.6,80.1,61.1,81.1,59.8,0,2,0,0,,12.5,2,0,0,0.0,0,1,0,0,0,0,116,116,19,91,2,4,0,0,40,76,0,8,10,4,0,3,0,0,0,
Jashon Cornell,28074,DI,OHIO STATE,12,3,0,,0,1,260,2,0,,76.9,79.8,75.1,72.6,32.8,1,2,0,0,,21.4,3,0,0,0.0,0,2,0,0,0,0,146,146,6,132,2,6,0,0,66,80,0,9,8,1,0,5,0,0,0,
Dre'Mont Jones,28075,DI,OHIO STATE,10,6,2,,0,0,260,0,0,65.3,73.7,0.0,82.5,69.6,65.6,6,10,0,0,,0.0,0,0,5,0.0,0,1,1,0,0,1,379,378,33,309,2,34,0,1,186,192,1,11,11,4,0,17,0,0,0,
Neville Gallimore,28094,DI,OKLAHOMA,10,5,1,,0,0,261,0,0,62.2,71.6,81.0,60.8,74.7,83.6,0,10,0,0,,0.0,0,0,0,0.0,0,2,0,2,0,0,336,334,0,109,17,208,0,2,165,171,0,11,17,1,0,12,0,0,0,
Robert Windsor,28310,DI,PENN STATE,12,4,0,,0,0,266,3,0,70.0,81.9,84.1,71.9,80.8,59.6,1,9,0,0,,13.3,2,0,0,0.0,0,1,0,0,0,0,238,237,80,157,0,0,0,1,133,105,0,10,9,0,0,11,0,0,0,
Darryl Johnson,37257,DI,LA LAFAYET,1,0,0,,0,0,207,0,0,,37.4,67.4,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Cortez Broughton,38524,DI,CINCINNATI,12,10,2,100.0,0,0,138,1,0,61.2,75.6,86.4,59.6,81.7,58.2,6,18,0,0,1.0,13.5,5,0,0,79.2,1,1,0,4,0,0,645,641,10,280,208,143,0,4,318,327,0,20,22,4,1,25,0,1,6,1.0
Folorunso Fatukasi,38558,DI,UCONN,12,8,1,,1,0,146,0,0,60.0,78.0,30.3,63.3,88.7,64.8,3,6,0,0,,7.9,3,0,4,0.0,0,4,0,0,0,0,628,628,540,85,0,3,0,0,357,271,0,25,27,3,0,13,0,0,0,
Ed Oliver,42200,DI,HOUSTON,11,6,2,0.0,0,2,182,0,0,85.9,91.1,34.4,68.4,94.4,77.9,4,14,0,0,,3.6,2,0,4,39.6,0,6,1,18,0,6,671,652,428,216,1,7,0,19,363,302,1,42,48,7,1,24,0,0,0,
McTelvin Agim,43069,DI,ARKANSAS,12,9,3,,0,2,111,0,0,68.5,67.6,61.2,58.2,67.3,67.8,3,9,0,0,,9.4,3,0,1,0.0,0,3,0,0,0,0,609,609,17,19,22,551,0,0,293,316,0,18,20,5,0,15,0,0,0,
Jeffery Simmons,43742,DI,MISS STATE,12,9,1,,0,2,227,2,1,81.6,90.7,73.6,73.5,90.8,62.9,3,21,0,0,,11.3,6,0,1,0.0,0,7,0,2,0,1,500,497,204,291,0,2,0,3,266,233,0,36,38,9,0,31,0,0,0,
Derrick Brown,43883,DI,AUBURN,12,11,2,,0,2,115,0,0,71.1,84.7,85.2,69.6,79.6,85.5,1,12,0,0,,2.6,1,0,0,0.0,0,5,0,1,0,0,521,519,115,337,5,62,0,2,276,245,0,26,26,2,0,18,0,0,0,
Nick Martin,43906,DI,CHARLOTTE,4,0,0,,0,0,136,0,0,60.0,63.3,76.7,66.5,59.6,72.0,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,49,49,7,42,0,0,0,0,20,29,0,2,3,0,0,2,0,0,0,
Quinnen Williams,44216,DI,ALABAMA,11,5,0,,0,0,103,0,0,59.9,82.7,78.9,70.9,84.5,70.8,0,3,0,0,,6.7,1,0,0,0.0,0,2,0,0,0,0,131,131,5,73,13,40,0,0,68,63,0,11,9,4,0,5,0,0,0,
Mike Williams,44262,DI,STANFORD,12,4,0,,0,0,300,0,0,,51.6,81.6,53.8,50.9,49.7,0,0,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,0,120,119,87,32,0,0,0,1,55,65,0,0,0,0,0,0,0,0,0,
Nnamdi Madubuike,44304,DI,TEXAS A&M,12,7,0,,0,1,312,0,0,60.0,76.8,48.9,62.2,82.0,79.7,2,6,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,242,241,48,172,0,21,0,1,93,149,0,8,8,2,0,8,0,0,0,
Rashard Lawrence,44515,DI,LSU,9,8,2,,1,0,211,0,0,63.2,81.8,59.4,76.3,79.4,73.1,4,16,0,0,,6.9,2,0,1,0.0,0,2,0,0,0,0,359,358,3,143,11,201,0,1,185,174,0,16,19,2,0,22,0,0,0,
Trysten Hill,44519,DI,UCF,11,5,0,,0,0,323,0,0,60.0,75.5,43.5,65.2,81.3,70.9,1,10,0,0,,5.9,1,0,2,0.0,0,1,1,0,0,0,373,373,345,27,0,1,0,0,204,169,0,10,11,2,0,12,0,0,0,
Ross Blacklock,44526,DI,TCU,12,9,0,,0,0,305,0,0,58.1,67.2,29.8,66.7,69.0,43.7,2,12,0,0,,23.3,7,0,3,0.0,0,3,0,1,0,1,470,468,136,328,0,4,0,2,262,207,0,17,14,3,0,17,0,0,0,
Raekwon Davis,44582,DI,ALABAMA,12,15,0,,0,0,103,1,0,65.5,84.7,82.3,60.8,90.3,87.9,1,15,0,0,,0.0,0,0,0,0.0,0,5,0,3,0,0,419,416,14,239,11,152,0,3,193,226,0,28,31,1,0,21,0,0,0,
Tyler Johnson,44599,DI,LA MONROE,9,6,0,,0,0,209,0,0,54.3,67.9,51.8,58.1,75.1,50.4,1,1,0,0,,14.3,3,0,1,0.0,0,1,0,0,0,0,273,273,36,234,1,2,0,0,112,161,0,8,12,2,0,3,0,0,0,
Leki Fotu,44614,DI,UTAH,12,3,1,,0,0,328,1,0,59.7,69.4,58.2,64.7,71.7,52.7,3,11,0,0,,13.6,3,0,1,0.0,0,0,0,0,0,1,319,319,78,196,24,21,0,0,182,136,0,15,16,4,0,14,0,0,0,
Da'Shawn Hand,48386,DI,ALABAMA,9,8,0,,0,0,103,1,0,61.4,72.0,85.0,59.1,78.9,75.9,3,6,0,0,,10.0,2,0,0,0.0,0,3,0,0,0,1,331,331,0,32,188,111,0,0,174,156,0,10,10,1,0,12,0,0,0,
Jason Strowbridge,48547,DI,N CAROLINA,12,4,1,,0,1,245,0,0,64.8,76.8,84.6,65.7,77.5,69.7,1,9,0,0,,7.4,2,0,0,0.0,0,1,0,0,0,0,509,509,3,476,27,3,0,0,249,260,0,16,21,4,0,11,0,0,0,
Ade Aruna,48606,DI,TULANE,12,9,2,,0,0,319,1,0,60.5,57.5,52.1,52.6,62.9,73.0,2,10,0,0,,7.4,2,0,2,0.0,0,1,0,0,0,1,554,554,0,41,105,408,0,0,290,263,0,14,16,1,0,13,0,0,0,
Dontavius Russell,48638,DI,AUBURN,12,10,0,,0,1,115,0,0,63.4,79.1,67.2,66.7,81.8,73.2,7,5,0,0,,6.5,3,0,2,0.0,0,2,0,0,0,0,484,482,59,317,9,97,0,2,237,247,0,25,33,5,0,14,0,0,0,
Carlos Davis,48662,DI,NEBRASKA,12,13,0,,0,0,238,0,0,62.9,69.3,46.6,65.0,70.7,75.8,9,19,0,0,,14.6,6,0,3,0.0,0,2,0,10,0,1,766,753,71,334,8,340,0,13,370,395,0,20,22,1,0,30,0,0,0,
Jullian Taylor,48684,DI,TEMPLE,11,8,0,,0,0,306,0,0,60.9,83.3,11.2,67.6,90.8,71.4,1,14,0,0,,7.3,3,0,4,0.0,0,0,0,1,0,1,417,416,59,315,0,42,0,1,198,218,0,27,30,10,0,15,0,0,0,
Harrison Phillips,48690,DI,STANFORD,12,12,0,,0,1,300,2,0,74.7,89.8,30.9,75.1,91.8,80.5,6,18,0,0,,6.2,4,0,4,0.0,0,4,0,0,0,0,658,658,378,278,0,2,0,0,351,307,0,44,49,10,0,28,0,0,0,
Daron Payne,48698,DI,ALABAMA,12,11,2,,0,0,103,1,0,63.0,84.9,56.1,76.1,86.0,68.4,7,17,0,0,,10.2,5,0,2,0.0,0,2,0,0,0,0,584,584,242,333,0,9,0,0,336,248,0,23,33,1,0,26,0,0,0,
