player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Anthony Brown,10823,CB,PURDUE,12,6,0,53.0,0,0,273,0,0,65.5,67.5,87.8,49.9,73.0,59.7,0,1,0,0,46.0,20.0,13,10,4,88.7,35,1,0,130,755,428,906,0,0,0,0,0,2,906,10,468,19,17,46,3,66,2,3,432,138,12.3
Blake Countess,10830,CB,MICHIGAN,12,1,0,66.7,0,0,222,0,0,65.4,65.2,86.7,57.6,60.7,64.1,0,1,0,0,24.0,16.1,5,2,0,114.1,28,0,0,49,293,285,521,0,0,0,0,0,2,521,5,231,177,6,25,0,42,1,4,249,66,8.9
Jordan Lucas,10838,CB,PENN STATE,12,7,1,55.0,1,0,266,0,0,75.4,77.0,14.3,71.1,78.1,79.7,2,1,0,0,75.0,10.7,6,6,2,86.3,33,1,0,129,517,381,687,0,0,0,0,0,3,687,20,286,38,17,43,3,60,4,2,393,197,11.9
Maurice Canady,10843,CB,VIRGINIA,12,6,1,52.8,0,1,335,0,0,73.2,74.4,59.3,55.6,75.8,48.6,0,2,1,3,65.0,21.4,9,8,2,93.3,38,0,0,87,321,459,839,0,0,0,0,0,7,839,5,375,424,12,27,1,72,2,6,637,316,16.8
Kevon Seymour,10852,CB,USC,12,2,0,54.2,1,0,326,1,0,74.6,74.3,86.8,52.6,64.2,69.4,0,0,0,1,73.0,9.8,5,10,3,75.5,39,0,0,50,659,462,733,0,0,0,0,0,7,733,4,267,17,9,44,1,72,0,1,508,168,13.0
Will Parks,10853,CB,ARIZONA,12,11,0,66.2,0,0,109,1,0,89.9,91.1,91.1,44.5,91.6,81.3,0,2,0,2,29.0,8.5,6,6,2,68.9,45,0,0,254,5,523,958,0,0,0,0,0,18,958,15,420,681,28,54,10,68,2,0,390,240,8.7
Prince Charles Iworah,10883,CB,W KENTUCKY,12,4,0,57.8,1,0,346,0,0,68.2,69.5,38.8,54.1,75.4,76.0,0,0,0,1,18.0,9.7,3,2,3,80.5,26,0,0,37,517,263,561,0,0,0,0,0,2,561,2,296,5,1,24,1,45,0,2,267,194,10.3
Kalan Reed,10887,CB,SO MISS,12,4,0,64.3,0,1,296,0,0,65.2,66.1,86.2,56.5,66.2,57.1,0,1,0,2,45.0,16.7,7,9,4,81.0,45,0,0,46,600,334,661,0,0,0,0,0,3,661,3,324,12,9,31,1,70,1,1,545,199,12.1
Adoree' Jackson,11773,CB,USC,12,2,0,55.0,0,1,326,1,0,80.1,82.0,42.4,52.0,87.9,71.5,0,0,0,0,49.0,12.0,6,8,2,71.9,44,0,0,35,554,397,609,0,0,0,0,0,9,609,4,208,11,19,42,5,80,0,0,460,182,10.5
Gareon Conley,11779,CB,OHIO STATE,9,1,0,60.0,0,0,260,0,0,58.8,58.8,80.3,59.3,58.9,47.3,0,0,0,0,44.0,27.3,3,1,0,137.5,6,0,0,12,128,73,145,0,0,0,0,0,4,145,1,71,1,1,7,0,10,0,1,134,42,22.3
Jabrill Peppers,11780,CB,MICHIGAN,3,0,0,66.7,0,0,222,0,0,68.2,70.5,79.1,73.6,66.9,83.8,0,1,0,0,67.0,0.0,0,0,0,109.0,6,0,0,2,67,45,89,0,0,0,0,0,0,89,3,41,20,4,8,0,9,1,0,111,83,18.5
Tre'Davious White,11782,CB,LSU,12,3,0,35.6,0,0,211,0,0,80.7,80.9,85.6,75.5,68.1,61.7,1,0,0,2,33.0,17.6,6,5,2,38.5,16,1,0,37,595,327,650,0,0,0,0,0,0,650,0,323,18,8,25,2,45,2,1,193,80,12.1
Quincy Wilson,11801,CB,FLORIDA,9,2,0,54.2,0,1,163,0,0,84.2,80.5,82.5,58.1,57.6,65.9,0,0,0,1,25.0,10.0,2,3,0,44.8,13,0,0,33,215,140,264,0,0,0,0,0,10,264,1,123,6,2,16,1,24,0,0,86,38,6.6
Teez Tabor,11808,CB,FLORIDA,11,1,0,47.1,0,1,163,1,0,88.4,89.9,84.0,90.7,71.8,81.3,1,0,0,1,27.0,7.4,2,4,1,48.7,16,2,0,43,289,193,359,0,0,0,0,0,10,359,6,160,17,11,24,2,34,3,0,160,37,10.0
Ahkello Witherspoon,11821,CB,COLORADO,5,1,0,65.0,0,0,143,0,0,78.0,76.6,80.5,60.0,60.8,61.4,0,0,0,0,75.0,14.3,2,0,1,147.9,13,0,0,20,129,100,152,0,0,0,0,0,1,152,1,51,2,1,11,0,20,0,4,283,110,21.8
Fabian Moreau,11836,CB,UCLA,12,4,0,62.3,1,0,324,0,0,64.4,68.5,87.5,63.8,82.1,86.1,0,1,0,1,49.0,4.1,2,4,6,109.7,38,0,0,69,744,482,849,0,0,0,0,0,1,849,6,361,35,14,43,4,61,1,5,516,131,13.6
Shaquill Griffin,11845,CB,UCF,10,2,0,76.9,1,0,323,0,0,74.8,73.8,16.6,65.5,66.7,71.6,0,2,0,1,79.0,11.8,2,0,2,116.3,10,0,0,24,26,181,299,0,0,0,0,0,0,299,6,112,249,5,13,0,13,2,2,133,53,13.3
Jourdan Lewis,11846,CB,MICHIGAN,12,3,0,41.2,1,0,222,0,0,77.8,76.1,45.2,41.6,71.7,62.3,0,1,0,2,53.0,10.8,4,4,4,44.6,21,0,0,60,530,325,628,0,0,0,0,0,8,628,14,289,30,12,30,2,51,1,1,221,109,10.5
Cameron Sutton,11850,CB,TENNESSEE,12,1,0,45.9,0,1,307,0,0,81.1,81.7,86.6,59.6,74.0,46.2,0,0,0,3,43.0,24.4,10,9,0,53.0,28,0,0,82,705,400,790,0,0,0,0,0,0,790,1,389,3,15,30,4,61,0,2,325,122,11.6
Cordrea Tankersley,11852,CB,CLEMSON,6,0,0,25.0,0,0,140,0,0,70.9,64.9,79.0,47.2,50.7,48.6,0,1,0,0,9.0,33.3,2,0,0,39.6,2,0,0,21,89,49,110,0,0,0,0,0,0,110,1,60,0,3,4,0,8,1,0,11,9,5.5
Brendan Langley,11856,CB,GEORGIA,3,2,0,50.0,0,0,173,0,0,66.0,68.4,79.3,60.0,77.1,57.9,0,0,0,0,9.0,16.7,1,1,0,96.4,4,0,0,8,102,79,111,0,0,0,0,0,1,111,1,31,0,2,3,1,8,0,1,25,9,6.3
Eddie Jackson,11867,CB,ALABAMA,9,1,0,43.8,1,2,103,1,0,70.7,72.0,34.2,64.6,75.2,72.9,0,1,0,1,68.0,12.1,4,3,1,86.3,21,1,0,32,432,279,482,0,0,0,0,0,1,482,6,197,17,11,28,1,48,2,4,330,71,15.7
Howard Wilson,11881,CB,HOUSTON,9,5,0,64.9,1,0,182,0,0,68.7,71.1,87.1,60.0,78.0,73.3,0,0,0,3,30.0,11.1,4,2,1,65.0,24,0,0,12,82,198,328,0,0,0,0,0,0,328,1,129,234,3,27,0,37,0,1,299,144,12.5
Damontae Kazee,11904,CB,S DIEGO ST,12,2,1,51.0,1,0,284,1,0,76.3,82.0,86.0,78.0,90.6,84.8,1,1,0,1,45.0,7.3,4,4,7,72.8,25,0,0,57,650,353,719,0,0,0,0,0,12,719,6,360,0,15,49,3,49,2,1,352,106,14.1
Corn Elder,11907,CB,MIAMI FL,12,1,0,52.2,0,0,220,0,0,70.0,75.2,14.0,71.8,90.7,71.9,0,0,0,0,34.0,10.7,3,0,2,71.6,12,1,0,23,266,158,312,0,0,0,0,0,4,312,3,151,19,11,24,1,23,1,0,144,43,12.0
Chuck Clark,11941,CB,VA TECH,12,1,0,47.4,0,0,337,0,0,68.1,76.1,89.3,75.8,87.4,86.2,4,4,0,0,58.0,6.8,4,7,2,76.3,27,2,0,178,227,374,782,0,0,0,0,0,36,782,40,368,341,19,54,7,57,10,1,395,155,14.6
Brandon Wilson,11962,CB,HOUSTON,12,2,0,51.6,1,0,182,0,0,70.8,71.1,30.2,,71.3,73.0,0,0,0,0,55.0,8.7,2,1,3,86.4,16,0,0,25,423,262,454,0,0,0,0,0,0,454,0,192,6,6,19,0,31,0,1,227,82,14.2
Marquez White,11971,CB,FLORIDA ST,5,1,0,33.3,0,0,167,0,0,66.9,65.4,78.6,46.6,67.4,57.7,0,1,0,0,12.0,28.6,2,1,0,46.5,1,0,0,6,61,34,91,0,0,0,0,0,17,91,2,55,7,0,4,0,3,1,0,12,0,12.0
