player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Mike Weber,28011,HB,OHIO STATE,11,140,28,12,36.4,294,0,807,1,1,28,424.0,55.9,27,45,260,3,35,58.2,69.7,45.5,,54.9,43.7,75.5,79.3,49,1,81,17,164,172,0,0,23,157,5,807,424.0,3.03,5.8,0.49,105
D'Andre Swift,57212,HB,GEORGIA,12,139,31,17,48.6,468,0,962,2,6,31,576.0,95.8,29,46,173,0,12,90.0,83.1,85.0,,57.0,75.6,82.7,58.8,83,0,204,21,130,154,0,0,26,160,9,962,576.0,4.14,6.9,1.57,117
Clyde Edwards-Helaire,57279,HB,LSU,12,137,32,10,33.2,208,0,627,0,2,32,443.0,76.3,16,41,211,0,53,90.1,83.6,85.0,73.1,78.2,73.9,79.9,56.6,47,0,69,7,52,167,0,0,8,144,7,627,443.0,3.23,4.6,1.33,83
Anthony McFarland Jr.,57289,HB,MARYLAND,12,131,28,22,63.1,652,0,1033,0,2,28,512.0,85.0,39,40,215,3,30,54.7,79.2,88.2,,79.9,63.8,78.4,56.2,81,0,73,7,83,252,0,0,9,138,4,1033,512.0,3.91,7.9,0.88,79
Darwin Thompson,83791,HB,UTAH ST,12,130,42,13,53.1,505,0,951,2,13,42,706.0,195.2,25,46,329,0,47,89.8,85.8,84.6,,63.5,73.4,88.2,61.9,68,0,352,23,179,161,0,0,30,153,14,951,706.0,5.43,7.3,1.97,82
La'Mical Perine,26408,HB,FLORIDA,12,128,15,10,33.8,253,0,748,0,5,15,384.0,43.8,20,41,163,1,54,77.7,83.2,84.4,,47.6,67.7,84.0,61.6,74,0,148,9,115,175,0,0,13,137,6,748,384.0,3.0,5.8,1.29,69
Jordan Scarlett,39258,HB,FLORIDA,12,122,38,11,36.0,256,0,712,4,2,38,468.0,117.1,19,33,163,1,65,76.7,77.1,84.9,,62.4,37.5,85.0,50.4,48,0,76,9,131,187,0,0,13,131,4,712,468.0,3.84,5.8,0.58,55
Damien Harris,35134,HB,ALABAMA,12,116,18,12,46.1,329,0,714,1,4,18,371.0,52.9,21,35,103,0,47,88.7,83.0,84.5,,63.4,76.7,82.5,68.5,73,0,177,17,125,140,0,0,21,133,7,714,371.0,3.2,6.2,1.42,69
Jason Huntley,45693,HB,NEW MEX ST,12,109,26,5,25.1,127,0,505,2,9,26,268.0,55.2,16,30,242,1,3,79.2,71.5,86.1,,17.9,73.1,75.3,52.1,40,0,517,47,311,144,0,0,71,156,7,505,268.0,2.46,4.6,1.66,106
DeeJay Dallas,55632,HB,MIAMI FL,12,105,30,13,54.9,334,0,608,0,4,30,393.0,110.7,17,29,220,2,26,59.7,74.4,84.4,56.4,79.6,52.1,75.9,70.4,83,0,85,10,91,151,0,0,11,115,6,608,393.0,3.74,5.8,0.93,78
Josh Jacobs,45953,HB,ALABAMA,12,87,25,4,16.5,69,0,417,1,4,25,328.0,107.2,18,33,103,0,25,86.5,79.0,27.0,,68.8,68.0,79.1,78.2,18,1,171,15,110,115,0,0,17,102,9,417,328.0,3.77,4.8,1.55,61
Raymond Calais,45828,HB,LA LAFAYET,12,75,10,10,60.9,426,0,700,0,3,10,396.0,83.7,19,24,207,0,9,85.8,81.1,81.8,,61.0,70.4,79.3,58.0,92,0,72,7,49,82,0,0,7,82,6,700,396.0,5.28,9.3,1.47,64
Ty Johnson,45769,HB,MARYLAND,9,66,14,7,53.5,270,0,505,2,0,14,335.0,98.7,10,15,215,0,10,84.7,70.6,85.3,,63.2,47.4,75.9,55.3,81,0,22,6,75,157,0,0,11,72,3,505,335.0,5.08,7.7,0.29,49
Kenny Young,29207,HB,MIAMI OH,10,60,9,6,50.3,181,0,360,2,5,9,184.0,42.5,10,15,221,1,21,71.2,73.1,84.3,,49.9,84.3,62.1,57.0,74,0,390,41,152,104,0,0,48,101,4,360,184.0,3.07,6.0,2.57,37
Tony Pollard,27126,HB,MEMPHIS,12,56,17,9,46.9,190,0,405,5,10,17,216.0,112.0,12,21,218,0,19,83.7,79.8,87.4,,46.4,74.4,82.0,58.7,41,0,452,37,218,255,0,0,57,93,5,405,216.0,3.86,7.2,2.07,29
T.J. Green,57454,HB,UTAH,10,33,5,0,0.0,0,0,183,2,0,5,85.0,36.8,8,10,328,0,16,79.6,69.8,79.3,,67.8,46.8,74.8,56.9,12,0,12,2,17,55,0,0,5,35,0,183,85.0,2.58,5.5,0.71,17
Rodney Anderson,35170,HB,OKLAHOMA,2,11,5,2,79.8,95,0,119,0,0,5,69.0,285.1,3,4,261,0,7,73.5,79.1,75.5,,79.1,54.4,80.6,58.4,65,0,0,0,12,16,0,0,1,11,3,119,69.0,6.27,10.8,0.0,3
Carlos Davis,83755,HB,S ALABAMA,3,3,0,0,0.0,0,0,11,0,0,0,9.0,0.0,0,0,288,0,2,67.3,58.4,72.3,,70.0,,59.4,57.3,6,0,0,0,0,11,0,0,0,3,0,11,9.0,3.0,3.7,,1
Chandler Cox,45629,FB,AUBURN,12,3,0,0,0.0,0,0,3,0,0,0,2.0,0.0,0,2,115,0,1,71.9,68.2,88.8,48.8,66.0,62.6,64.5,71.3,1,0,93,11,105,249,0,0,12,14,2,3,2.0,0.67,1.0,0.89,2
Cullen Gillaspia,38844,FB,TEXAS A&M,12,2,0,0,0.0,0,0,13,0,0,0,7.0,0.0,0,0,312,0,2,68.1,68.0,80.9,,78.8,69.7,60.8,67.2,8,0,52,5,33,104,0,0,7,7,0,13,7.0,3.5,6.5,1.58,0
