player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Clelin Ferrell,25955,ED,CLEMSON,12,10,2,100.0,0,1,140,1,1,68.1,82.5,4.1,87.5,79.3,83.5,10,24,0,0,7.0,9.4,3,0,6,95.8,1,11,0,16,1,52,537,506,0,5,409,92,0,31,251,234,14,23,19,4,1,45,0,7,1,7.0
Maxx Crosby,26316,ED,E MICHIGAN,11,11,0,,1,5,160,1,0,68.0,87.0,35.0,75.9,89.4,58.8,9,35,1,1,,20.0,13,0,4,0.0,0,8,0,0,0,0,683,679,1,6,625,47,0,4,315,368,0,41,41,7,0,52,0,0,0,
Jabari Zuniga,26449,ED,FLORIDA,12,10,0,,0,0,163,0,0,60.9,73.7,36.9,71.6,74.0,49.9,7,24,0,0,,19.0,8,0,3,0.0,0,6,0,1,0,3,561,560,17,67,276,200,0,1,295,263,0,23,24,5,0,37,0,0,0,
Ben Banogu,26554,ED,TCU,12,2,0,100.0,0,2,305,2,1,75.4,71.5,90.1,69.0,66.1,47.2,8,38,0,0,4.0,25.0,14,0,0,81.3,2,7,0,0,0,12,768,767,0,0,639,128,0,1,410,346,0,39,40,10,2,53,0,7,6,3.5
Montez Sweat,27271,ED,MISS STATE,12,3,0,100.0,0,1,227,0,0,69.0,87.2,16.9,85.2,84.2,77.8,9,26,0,0,8.0,8.1,3,0,4,90.3,3,10,0,0,0,11,432,432,0,1,417,14,0,0,259,162,0,33,31,3,3,45,0,17,9,5.7
Sutton Smith,27832,ED,N ILLINOIS,12,6,1,,1,4,254,3,1,74.8,91.4,40.3,90.5,89.1,72.9,11,30,0,0,,16.3,7,0,4,0.0,0,13,0,7,0,1,745,737,0,0,699,38,0,8,432,312,0,37,30,7,0,54,0,0,0,
Jashon Cornell,28074,ED,OHIO STATE,12,3,0,,0,0,260,0,0,59.7,59.9,50.1,53.8,66.9,80.7,1,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,2,227,227,0,16,194,17,0,0,120,105,0,6,9,1,0,2,0,0,0,
Shareef Miller,28307,ED,PENN STATE,12,8,0,100.0,2,0,266,1,0,76.5,71.8,22.3,71.2,69.9,39.9,6,29,0,0,0.0,24.3,9,0,6,79.2,1,5,0,0,0,17,632,628,0,9,602,17,0,4,332,283,2,24,20,7,1,40,0,0,4,0.0
Jordan Brailford,29695,ED,OKLA STATE,12,13,1,100.0,1,1,262,0,0,68.3,71.3,43.2,74.2,64.8,36.2,6,23,0,0,3.0,26.2,17,0,3,79.2,1,7,0,149,0,55,691,538,0,3,526,9,0,153,332,304,4,31,35,7,1,36,0,3,0,3.0
Andrew Van Ginkel,30267,ED,WISCONSIN,12,8,1,75.0,0,1,349,0,0,76.2,74.3,73.2,71.8,68.3,80.0,7,15,0,0,28.0,8.2,4,2,1,91.1,6,5,0,30,2,95,554,479,0,0,479,0,0,75,190,269,42,23,37,4,8,27,0,51,22,8.5
Zack Baun,34632,ED,WISCONSIN,12,9,1,90.0,0,1,349,1,0,83.9,82.2,60.8,81.5,73.4,68.6,12,25,0,1,10.0,15.0,9,1,2,40.4,9,3,0,17,1,79,651,598,0,0,598,0,0,53,255,317,34,26,42,4,10,40,0,32,26,3.6
Trevis Gipson,35241,ED,TULSA,12,1,0,,0,5,320,0,0,63.4,87.3,73.4,74.4,88.7,72.6,3,21,0,0,,12.5,7,0,1,0.0,0,5,0,0,0,0,695,695,0,11,398,286,0,0,289,406,0,37,48,7,0,29,0,0,0,
Kenny Willekes,35624,ED,MICH STATE,12,15,0,,1,1,223,1,0,66.7,90.3,52.3,85.6,89.8,70.4,22,36,0,0,,11.5,7,0,3,0.0,0,9,0,2,0,5,748,746,0,24,665,57,0,2,467,276,0,40,39,10,0,67,0,0,0,
Darrell Taylor,36001,ED,TENNESSEE,12,3,0,57.1,0,3,307,2,0,77.5,78.3,73.5,76.7,71.0,57.5,6,18,0,0,10.0,21.2,7,1,1,63.4,4,8,0,16,1,51,568,531,0,2,524,5,0,37,248,269,20,22,23,3,7,32,0,23,19,5.8
Austin Bryant,36248,ED,CLEMSON,12,6,0,0.0,0,0,140,0,0,62.0,65.7,69.5,65.3,63.9,69.5,5,16,0,0,,10.0,2,0,1,39.6,0,5,0,12,0,42,518,496,0,8,376,112,0,22,257,219,10,12,12,4,1,26,0,0,0,
Tyler Johnson,38402,ED,WISCONSIN,10,4,0,83.3,0,1,349,0,0,53.4,59.0,86.6,63.3,57.9,60.5,0,3,0,0,15.0,14.3,2,1,0,100.0,5,0,0,8,1,31,190,163,0,0,163,0,0,27,64,95,18,5,8,2,6,3,0,48,14,9.6
Casey Toohill,38472,ED,STANFORD,6,5,2,100.0,1,0,300,0,0,67.7,63.8,54.9,66.0,56.7,44.8,3,6,0,0,14.0,27.3,6,0,1,94.8,4,4,0,6,0,36,278,242,0,0,220,22,0,36,123,119,30,10,11,1,4,13,0,27,28,6.8
D'Andre Walker,39140,ED,GEORGIA,12,6,2,20.0,0,3,173,1,0,70.8,81.1,68.7,76.2,78.5,73.7,7,17,0,0,5.0,12.1,4,1,1,39.6,1,6,0,32,0,35,466,423,0,0,413,10,0,43,227,204,11,23,23,5,5,30,0,5,2,5.0
Nick Bosa,42741,ED,OHIO STATE,3,1,0,,0,1,260,2,1,57.1,93.1,81.5,92.5,86.8,82.1,4,6,0,0,,0.0,0,0,0,0.0,0,4,0,0,0,1,113,113,0,2,107,4,0,0,70,42,0,10,9,2,0,14,0,0,0,
Rashan Gary,42905,ED,MICHIGAN,9,9,0,,0,0,222,0,0,66.4,82.2,62.8,71.5,83.1,70.2,5,17,0,0,,10.8,4,0,1,0.0,0,4,0,1,0,0,353,352,0,7,331,14,0,1,189,164,0,21,24,4,0,26,0,0,0,
Khalid Kareem,42993,ED,NOTRE DAME,12,7,5,,1,1,258,0,0,59.3,80.5,41.9,80.9,76.7,56.5,4,27,0,0,,18.6,8,0,3,0.0,0,4,0,0,0,3,575,574,19,63,442,50,0,1,348,224,0,21,28,5,0,35,0,0,0,
McTelvin Agim,43069,ED,ARKANSAS,12,8,1,,0,3,111,1,0,57.4,72.8,56.7,71.2,72.4,69.6,6,13,0,0,,11.1,4,0,2,0.0,0,5,0,0,0,2,597,597,53,182,309,53,0,0,291,304,0,24,24,6,0,24,0,0,0,
Carter Coughlin,43498,ED,MINNESOTA,12,8,0,85.7,0,4,225,0,0,73.1,90.0,31.1,92.2,72.4,83.8,14,26,0,0,20.0,10.0,4,0,4,104.2,6,12,0,26,0,38,635,606,0,0,605,1,0,29,342,255,2,33,28,3,7,52,0,63,30,10.5
Alex Highsmith,43507,ED,CHARLOTTE,12,8,1,66.7,0,1,136,0,0,65.8,89.2,70.3,75.6,90.6,72.3,5,34,0,0,8.0,8.5,5,0,1,70.1,2,4,0,1,0,13,613,611,0,65,266,280,0,2,315,285,0,46,46,18,3,43,0,8,4,4.0
Curtis Weaver,43751,ED,BOISE ST,12,3,0,100.0,1,0,120,0,0,68.8,90.4,48.4,92.5,71.9,65.4,10,30,0,0,11.0,21.9,7,0,2,97.9,2,12,0,24,3,41,450,419,0,10,386,23,0,31,232,177,3,27,22,4,2,52,0,15,11,7.5
Bradlee Anae,43982,ED,UTAH,12,5,1,33.3,1,1,328,0,0,69.1,82.5,50.8,79.3,81.1,65.9,7,33,0,0,8.0,18.4,7,1,4,42.4,1,10,0,3,0,32,715,707,1,43,613,50,0,8,398,285,3,33,26,5,3,50,0,8,6,8.0
