snap_counts_ce,player_id,non_spike_pass_block_percentage,grades_run_block,franchise_id,pass_block_percent,hurries_allowed,snap_counts_block,snap_counts_run_block,pbe,snap_counts_rg,hits_allowed,sacks_allowed,block_percent,grades_offense,penalties,player,non_spike_pass_block,snap_counts_pass_play,position,grades_pass_block,snap_counts_te,pressures_allowed,snap_counts_rt,team_name,snap_counts_pass_block,player_game_count,snap_counts_offense,declined_penalties,snap_counts_lt,snap_counts_lg
0,99057,100.0,69.4,312,100.0,10,690,289,97.7,690,5,1,100.0,65.6,8,Layden Robinson,371,401,G,60.9,0,16,0,TEXAS A&M,401,11,690,0,0,0
0,81933,100.0,63.7,326,100.0,12,668,234,97.3,395,1,4,100.0,67.5,5,Jarrett Kingston,391,434,G,75.4,1,17,270,USC,434,11,668,1,1,0
0,101544,100.0,64.6,222,100.0,7,662,364,98.6,0,1,0,100.0,68.6,0,Trevor Keegan,290,298,G,78.6,0,8,0,MICHIGAN,298,12,662,0,0,662
0,123076,99.7,60.5,261,99.7,9,662,307,98.2,0,3,0,99.8,63.7,5,Tyler Guyton,335,356,T,72.9,0,12,661,OKLAHOMA,355,10,663,0,1,0
0,129605,100.0,75.9,222,100.0,5,649,353,99.1,649,0,0,100.0,76.7,0,Zak Zinter,287,296,G,73.8,0,5,0,MICHIGAN,296,12,649,0,0,0
0,146558,100.0,52.9,128,100.0,6,644,263,97.9,0,5,2,100.0,67.5,4,Kingsley Suamataia,364,381,T,86.1,0,13,0,BYU,381,11,644,1,644,0
0,98427,100.0,66.8,266,100.0,11,644,298,98.0,0,0,1,100.0,68.3,6,Caedan Wallace,329,346,T,72.5,1,12,642,PENN STATE,346,12,644,2,0,1
270,98058,100.0,62.8,154,100.0,10,633,293,97.6,345,3,1,100.0,63.1,4,Jacob Monk,310,340,G,63.2,0,14,0,DUKE,340,12,633,0,0,18
621,98044,100.0,67.7,248,100.0,9,621,276,98.2,0,1,1,100.0,66.3,5,Dylan McMahon,327,345,C,69.7,0,11,0,NC STATE,345,10,621,0,0,0
579,101570,100.0,77.2,223,100.0,8,579,234,97.8,0,4,1,100.0,72.5,3,Nick Samac,320,345,C,61.1,0,13,0,MICH STATE,345,11,579,0,0,0
0,122367,100.0,71.2,154,100.0,9,496,238,97.2,0,0,2,100.0,75.9,6,Graham Barton,233,258,T,78.2,4,11,0,DUKE,258,9,496,1,492,0
0,98275,100.0,57.8,222,100.0,13,460,259,95.4,0,3,1,100.0,59.0,0,LaDarius Henderson,196,201,T,55.9,0,17,2,MICHIGAN,201,11,460,0,458,0
0,146145,100.0,45.4,284,100.0,10,393,184,94.6,0,0,6,100.0,52.1,2,Christian Jones,202,209,T,65.9,0,16,0,S DIEGO ST,209,7,393,0,392,0
0,146719,100.0,68.5,173,100.0,1,286,125,99.7,0,0,0,100.0,75.5,0,Amarius Mims,148,161,T,80.7,0,1,286,GEORGIA,161,6,286,0,0,0
0,99680,100.0,69.4,268,100.0,3,165,83,97.3,0,1,0,100.0,72.0,1,Matt Goncalves,75,82,T,77.3,0,4,0,PITTSBURGH,82,3,165,0,165,0
