avg_time_to_throw,player_id,passing_snaps,grades_run,dropbacks,btt_rate,franchise_id,twp_rate,hit_as_threw,accuracy_percent,spikes,sack_percent,turnover_worthy_plays,yards,completions,pressure_to_sack_rate,grades_offense,avg_depth_of_target,bats,penalties,player,big_time_throws,interceptions,drop_rate,qb_rating,touchdowns,completion_percent,position,ypa,aimed_passes,attempts,scrambles,sacks,drops,def_gen_pressures,team_name,player_game_count,declined_penalties,first_downs,grades_hands_fumble,grades_pass,thrown_aways
2.79,143969,540,73.8,506,7.7,245,1.7,7,75.3,0,5.7,9,3608,269,19.5,90.8,11.0,8,4,Drake Maye,35,9,8.2,100.2,24,63.3,QB,8.5,389,425,51,29,24,149,N CAROLINA,12,0,174,71.1,89.8,21
2.82,97408,510,74.1,491,2.9,289,2.2,2,79.4,1,7.9,11,3183,274,21.0,77.6,7.5,4,4,Spencer Rattler,12,8,7.4,99.1,19,68.0,QB,7.9,373,403,39,39,22,186,S CAROLINA,12,0,156,80.8,72.5,23
2.44,97790,447,68.2,426,4.1,264,0.9,2,85.9,0,1.4,4,3852,312,9.5,92.9,6.9,0,2,Bo Nix,17,2,7.1,135.9,37,78.4,QB,9.7,391,398,17,6,24,63,OREGON,12,0,176,74.5,92.7,5
3.16,144622,500,82.6,455,6.2,326,3.6,0,77.5,4,7.7,18,3647,268,23.2,90.3,9.2,6,3,Caleb Williams,27,5,3.9,117.4,30,68.0,QB,9.3,360,394,24,35,11,151,USC,12,0,169,26.9,84.6,24
2.67,77628,393,72.6,372,4.4,202,5.1,4,68.9,0,5.6,20,2444,192,17.9,73.9,11.0,17,2,Devin Leary,16,10,10.7,88.6,23,56.0,QB,7.1,312,343,8,21,23,117,KENTUCKY,12,0,123,57.1,71.1,10
2.91,97993,425,92.4,408,8.4,211,1.6,2,79.6,4,5.1,7,3811,236,20.2,94.7,10.5,3,1,Jayden Daniels,29,4,6.7,143.7,40,71.1,QB,11.5,318,332,55,21,17,104,LSU,12,0,189,70.8,92.0,5
2.81,77615,381,75.2,358,5.7,167,2.1,3,72.2,0,3.9,8,2755,207,14.1,87.8,10.0,2,1,Jordan Travis,20,2,8.4,108.4,20,63.7,QB,8.5,313,325,19,14,19,99,FLORIDA ST,11,0,128,60.9,83.5,7
2.88,144918,295,77.7,287,6.8,222,3.1,0,80.8,0,4.9,9,2483,191,16.3,90.9,10.3,2,0,J.J. McCarthy,18,4,7.3,122.4,19,74.3,QB,9.7,255,257,16,14,15,86,MICHIGAN,12,0,133,53.7,88.5,0
2.88,123229,308,67.9,295,7.0,319,3.2,3,73.4,0,5.1,10,2167,164,17.4,79.7,11.1,2,0,Michael Pratt,18,4,5.7,115.6,21,66.4,QB,8.8,237,247,33,15,10,86,TULANE,10,0,109,67.2,77.5,5
