fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,129762,1,243,375,15.2,0,0,0,79.9,24.8,0,1,311,8,53.9,0,9,304,0,5,1,0,52,130,2,1,29,1,2.9,2,Ryan Watts,3,0,66,68.3,83.0,1,1,CB,66.9,114.7,0,0,20,TEXAS,3,10,69.0,55.0,26,0,0,316,376
0,129889,13,339,609,10.5,1,0,1,64.9,85.4,0,12,278,7,69.6,0,10,252,0,1,1,0,58,278,60,3,44,13,26.7,5,Max Melton,3,3,72,73.5,41.7,3,3,CB,74.1,65.7,1,0,24,RUTGERS,5,12,54.5,26.0,26,1,0,487,622
0,130628,2,411,715,10.8,0,0,0,76.7,86.6,0,3,316,5,54.3,0,12,282,0,12,1,0,24,302,50,1,59,2,6.7,0,Quinyon Mitchell,12,1,65,91.1,82.9,0,1,CB,91.1,51.7,0,0,26,TOLEDO,4,12,44.1,39.0,37,0,0,627,717
0,131956,33,245,398,15.1,0,0,0,60.8,86.2,0,10,341,7,54.4,0,13,287,0,4,1,0,23,182,6,1,38,33,21.3,0,Chau Smith-Wade,7,0,86,73.7,48.0,1,1,CB,76.3,84.0,0,0,19,WASH STATE,4,7,50.0,50.0,30,0,0,365,431
0,144143,12,293,482,9.8,0,0,1,65.4,84.8,2,4,140,3,73.9,0,8,176,0,2,0,0,35,197,14,0,41,12,13.3,1,Nate Wiggins,4,2,38,82.5,67.3,1,2,CB,83.9,44.4,1,0,18,CLEMSON,4,10,43.9,43.0,23,0,1,431,494
0,144867,28,388,677,9.7,0,0,0,78.6,53.6,0,5,192,7,,0,10,194,0,1,0,0,23,317,23,2,46,28,12.2,3,Cooper DeJean,4,2,44,77.4,76.6,0,0,CB,76.8,37.8,0,0,20,IOWA,0,10,43.5,42.0,29,0,0,630,705
0,145096,9,266,472,11.6,0,0,0,73.6,84.4,0,7,266,8,72.3,0,10,290,0,9,1,0,51,208,21,2,41,9,16.7,4,Kalen King,1,0,107,60.3,59.8,0,1,CB,55.7,82.4,0,0,25,PENN STATE,7,12,61.0,35.0,27,2,0,391,481
0,146583,1,296,472,10.4,0,0,0,83.3,33.9,0,2,264,6,90.3,0,12,188,0,0,3,0,23,171,23,3,36,1,6.5,4,Khyree Jackson,8,2,97,80.5,82.8,1,5,CB,77.0,51.6,2,0,18,OREGON,6,11,50.0,26.0,23,0,0,426,473
0,146602,10,435,743,10.6,0,0,1,83.7,85.6,0,3,103,5,82.7,0,10,169,0,1,1,0,50,314,5,2,36,10,9.7,0,Kool-Aid McKinstry,3,0,62,88.0,74.9,1,2,CB,86.7,67.9,0,0,16,ALABAMA,4,12,44.4,32.0,23,0,0,686,753
0,146603,2,408,716,11.2,0,0,0,90.2,87.0,1,6,103,12,67.9,0,18,382,0,4,3,0,52,299,192,4,64,2,10.3,2,Terrion Arnold,11,5,234,90.0,74.9,2,4,CB,87.6,49.1,1,0,34,ALABAMA,11,12,53.1,40.0,40,0,0,467,718
0,146727,1,366,613,8.5,0,0,0,72.2,85.1,0,3,173,10,62.0,0,11,119,0,0,0,0,46,244,43,3,36,1,7.5,1,Kamari Lassiter,5,0,35,85.4,84.2,0,1,CB,86.4,48.3,1,0,14,GEORGIA,4,12,38.9,36.0,27,0,0,524,614
0,146902,15,449,838,14.0,0,0,0,71.3,87.2,0,5,289,9,86.8,0,10,407,0,4,0,0,40,402,7,1,52,15,10.6,3,Marcellas Dial,7,0,136,79.2,72.8,2,1,CB,78.2,94.0,1,0,29,S CAROLINA,2,12,55.8,51.0,33,1,0,787,853
0,146931,8,184,303,8.0,0,0,1,49.0,83.0,0,5,307,6,60.0,0,5,96,0,0,0,0,28,126,8,0,33,8,17.2,2,Kamal Hadden,6,3,55,85.7,57.0,0,1,CB,90.4,7.0,0,0,12,TENNESSEE,1,7,36.4,19.0,18,0,1,267,311
