fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,42632,33,268,627,7.0,0,0,4,61.1,0.0,1,8,306,20,58.5,0,40,119,1,27,5,0,555,333,45,8,24,33,9.1,3,Shaun Bradley,0,0,117,68.6,77.7,3,10,LB,82.2,121.4,1,0,17,TEMPLE,59,12,70.8,24.0,60,0,0,0,660
0,42659,8,192,347,10.8,0,0,1,66.8,30.5,1,5,339,6,69.9,0,20,162,0,0,6,0,302,109,44,3,21,8,13.2,1,Justin Strnad,0,3,69,73.6,68.6,1,11,LB,74.7,70.0,4,0,15,WAKE,54,12,71.4,20.0,27,0,0,0,355
0,42886,0,0,7,,0,0,0,62.6,69.5,0,0,118,0,60.0,0,1,0,0,0,0,0,6,6,1,0,0,0,0.0,0,Chad Kelly,0,0,0,62.7,73.6,0,0,LB,,0.0,0,0,0,BAYLOR,1,3,,,1,0,0,0,7
0,43089,8,332,734,13.1,1,0,6,67.7,0.0,0,16,211,27,78.8,0,46,184,1,0,22,0,693,337,22,10,21,8,14.5,4,Devin White,3,1,139,72.4,68.0,0,32,LB,69.8,74.3,4,0,14,LSU,73,12,66.7,28.0,67,1,0,18,742
0,43524,7,229,617,8.9,3,0,1,54.0,85.2,1,16,351,11,48.2,0,31,170,1,1,4,0,577,366,36,2,27,7,20.0,0,Cassh Maluia,2,1,83,55.5,45.4,2,5,LB,61.4,96.2,0,0,19,WYOMING,29,12,70.4,28.0,53,0,0,1,624
1,44198,55,358,717,11.5,3,0,2,61.1,55.3,0,18,289,23,61.6,0,29,288,0,2,8,0,675,349,39,3,29,55,18.4,1,T.J. Brunson,0,0,224,59.7,52.7,1,10,LB,57.4,119.5,0,0,25,S CAROLINA,65,12,86.2,61.0,57,0,0,1,772
0,49681,307,382,563,8.7,1,0,0,85.0,55.1,1,7,273,15,76.4,0,48,314,0,1,17,0,326,382,229,2,50,307,7.8,4,Markus Bailey,3,1,213,79.7,86.4,4,24,LB,72.2,106.6,7,0,36,PURDUE,106,12,72.0,25.0,68,0,0,7,870
0,49706,5,169,373,6.1,0,0,2,73.3,83.9,1,7,103,9,70.9,0,20,61,0,0,4,0,348,176,25,3,17,5,15.2,0,Shaun Dion Hamilton,2,0,51,80.2,62.6,0,8,LB,78.3,66.1,2,0,10,ALABAMA,33,9,58.8,12.0,30,0,0,0,378
0,49753,16,278,633,12.4,1,0,2,72.6,53.6,0,12,245,20,63.4,0,28,210,1,0,9,0,571,328,57,1,26,16,12.4,3,Cole Holcomb,2,0,145,62.6,70.1,1,12,LB,48.3,103.0,1,0,17,N CAROLINA,43,11,65.4,51.0,65,0,0,5,649
0,49817,18,442,852,11.6,0,0,2,73.5,37.4,1,13,110,20,67.4,0,60,523,0,6,10,0,803,372,41,6,54,18,9.4,2,Christian Sam,1,1,439,60.9,74.2,1,15,LB,41.9,105.5,3,0,45,ARIZONA ST,56,12,83.3,60.0,106,0,0,2,870
0,49818,55,98,170,5.8,0,2,1,78.3,83.2,0,2,340,6,67.5,0,13,35,1,0,4,0,158,88,12,0,10,52,6.9,0,Azeem Victor,2,0,29,67.6,78.6,1,7,LB,52.0,100.0,2,1,6,WASHINGTON,39,9,60.0,8.0,21,0,0,0,225
0,49825,88,239,612,10.5,0,0,6,74.7,33.2,0,7,190,21,64.0,0,52,178,0,0,8,0,544,361,63,7,27,88,7.4,2,Chris Covington,4,0,162,80.0,85.1,1,17,LB,85.3,94.4,3,0,17,INDIANA,100,12,63.0,59.0,67,1,0,3,700
0,49834,25,291,764,10.1,0,1,7,73.5,60.1,3,15,304,28,67.0,0,35,274,2,0,13,0,727,388,36,4,34,24,14.3,1,Zaire Franklin,1,0,199,76.7,71.9,4,21,LB,73.5,139.5,1,0,27,SYRACUSE,110,12,79.4,51.0,62,0,0,1,789
0,49840,12,272,505,7.9,1,0,2,71.4,85.6,0,7,349,10,58.8,0,38,181,0,1,7,0,448,197,49,5,37,12,10.8,0,Ryan Connelly,1,0,87,74.7,72.5,1,13,LB,75.7,83.3,4,0,23,WISCONSIN,48,12,62.2,24.0,48,0,0,6,517
0,49842,1,189,421,8.7,2,0,6,78.4,0.0,2,5,130,16,85.9,0,20,148,0,1,9,0,390,177,28,2,19,1,7.6,3,Devante Downs,1,2,97,78.8,77.7,1,18,LB,67.9,77.1,3,0,17,CAL,56,7,89.5,23.0,45,0,0,1,422
0,50203,72,283,610,9.3,1,0,1,48.9,86.9,1,11,333,22,57.6,0,37,279,0,2,2,0,546,358,58,6,38,72,11.7,0,Oren Burks,2,1,167,57.4,68.9,2,6,LB,69.0,103.8,3,0,30,VANDERBILT,41,12,78.9,57.0,61,0,0,4,682
0,50213,87,177,414,6.7,1,0,10,81.9,20.6,1,7,103,13,86.8,0,24,107,0,2,11,0,386,236,25,3,20,87,12.5,2,Rashaan Evans,1,0,110,79.4,69.5,1,26,LB,59.0,105.6,5,0,16,ALABAMA,88,10,80.0,23.0,36,0,0,1,501
0,50720,0,395,754,7.4,0,0,2,77.4,86.4,0,17,192,27,71.2,0,53,268,2,0,6,0,667,320,85,8,45,0,13.0,0,Josey Jewell,9,2,232,81.9,74.2,0,11,LB,77.5,73.0,3,0,36,IOWA,39,11,80.0,18.0,87,0,0,1,754
