snap_counts_ce,player_id,non_spike_pass_block_percentage,grades_run_block,franchise_id,pass_block_percent,hurries_allowed,snap_counts_block,snap_counts_run_block,pbe,snap_counts_rg,hits_allowed,sacks_allowed,block_percent,grades_offense,penalties,player,non_spike_pass_block,snap_counts_pass_play,position,grades_pass_block,snap_counts_te,pressures_allowed,snap_counts_rt,team_name,snap_counts_pass_block,player_game_count,snap_counts_offense,declined_penalties,snap_counts_lt,snap_counts_lg
0,9505,100.0,85.1,210,100.0,12,843,395,97.8,0,3,2,100.0,84.4,2,Jamon Brown,435,448,T,80.8,10,17,405,LOUISVILLE,448,12,843,0,428,0
0,9461,100.0,89.6,154,100.0,4,841,386,99.5,841,0,0,100.0,88.3,4,Laken Tomlinson,441,455,G,91.1,0,4,0,DUKE,455,12,841,0,0,0
0,9514,100.0,89.7,210,100.0,15,840,393,97.5,501,3,2,100.0,84.4,5,John Miller,434,447,G,73.2,0,20,0,LOUISVILLE,447,12,840,0,0,339
0,10778,100.0,69.5,229,100.0,12,840,398,98.0,515,3,1,100.0,69.6,4,Connor McGovern,416,442,G,72.5,0,16,325,MISSOURI,442,12,840,0,0,0
42,46795,100.0,69.4,260,100.0,10,838,434,96.7,160,4,6,100.0,66.6,5,Billy Price,394,404,G,58.8,0,20,0,OHIO STATE,404,12,838,0,0,636
10,11954,100.0,79.7,351,100.0,7,834,379,97.9,52,2,5,100.0,78.5,0,Chase Roullier,442,455,G,72.1,0,14,0,WYOMING,455,12,834,0,0,772
0,9535,100.0,80.8,261,100.0,7,827,451,98.9,0,1,0,100.0,85.2,5,Daryl Williams,358,376,T,83.0,3,8,824,OKLAHOMA,376,12,827,0,0,0
0,11877,100.0,83.9,284,100.0,7,824,455,97.9,0,4,2,100.0,81.1,4,Nico Siragusa,357,369,G,65.4,0,13,0,S DIEGO ST,369,12,824,2,0,824
0,10739,100.0,71.2,138,100.0,9,823,346,98.6,823,2,1,100.0,72.6,3,Parker Ehinger,451,477,G,78.3,0,12,0,CINCINNATI,477,12,823,0,0,0
0,9618,100.0,79.5,261,100.0,12,820,457,98.3,0,0,0,100.0,81.0,4,Tyrus Thompson,346,363,T,76.6,0,12,0,OKLAHOMA,363,12,820,2,820,0
0,9564,100.0,90.4,176,100.0,2,819,604,98.8,819,1,1,100.0,91.3,1,Shaq Mason,201,215,G,70.5,0,4,0,GA TECH,215,12,819,0,0,0
0,9623,100.0,64.5,121,100.0,10,819,526,96.5,0,3,3,100.0,64.9,2,Ian Silberman,275,293,T,58.1,43,16,762,BOSTON COL,293,12,819,1,13,0
816,9641,100.0,68.6,121,100.0,5,816,524,98.4,0,0,2,100.0,70.8,5,Andy Gallik,274,292,C,80.1,0,7,0,BOSTON COL,292,12,816,0,0,0
194,9452,100.0,74.2,167,100.0,15,815,321,97.1,0,2,5,100.0,74.2,7,Cameron Erving,473,494,T,81.7,0,22,0,FLORIDA ST,494,12,815,0,621,0
0,9659,100.0,78.4,167,100.0,21,815,321,97.6,0,2,0,100.0,78.8,6,Bobby Hart,473,494,T,78.7,0,23,815,FLORIDA ST,494,12,815,0,0,0
0,9454,100.0,73.3,312,100.0,14,813,287,97.0,0,4,6,100.0,78.3,3,Cedric Ogbuehi,508,526,T,80.5,0,24,163,TEXAS A&M,526,12,813,0,649,0
0,10764,100.0,69.7,238,100.0,11,813,470,97.7,0,4,0,100.0,69.8,11,Alex Lewis,323,343,T,76.6,0,15,0,NEBRASKA,343,12,813,0,813,0
0,46180,100.0,72.6,330,100.0,2,809,495,98.8,0,1,2,100.0,74.7,3,Will Hernandez,294,314,G,81.1,0,5,0,UTEP,314,12,809,0,0,809
1,10795,100.0,65.7,110,100.0,6,807,354,98.6,0,4,1,100.0,70.1,1,Christian Westerman,427,453,G,81.6,0,11,0,ARIZONA ST,453,11,807,0,0,806
0,9545,100.0,86.9,103,100.0,2,806,391,99.5,0,2,0,100.0,85.7,4,Arie Kouandjio,402,415,G,90.6,0,4,0,ALABAMA,415,12,806,0,0,806
0,11819,100.0,71.4,347,100.0,8,801,414,98.5,59,1,1,100.0,76.2,3,Taylor Moton,373,387,T,78.4,0,10,742,W MICHIGAN,387,12,801,2,0,0
0,10755,100.0,68.0,347,100.0,10,798,409,98.0,0,5,0,100.0,70.4,2,Willie Beavers,374,389,T,77.4,1,15,0,W MICHIGAN,389,12,798,0,797,0
0,9490,100.0,82.4,349,100.0,8,797,509,98.0,0,3,0,100.0,85.8,1,Rob Havenstein,277,288,T,80.0,0,11,794,WISCONSIN,288,12,797,1,3,0
0,10650,100.0,88.1,260,100.0,10,797,405,97.6,0,2,3,100.0,87.3,4,Taylor Decker,381,392,T,76.7,0,15,1,OHIO STATE,392,12,797,0,796,0
0,10757,100.0,62.2,211,100.0,8,796,483,98.3,82,2,0,100.0,69.7,1,Jerald Hawkins,291,313,T,84.0,9,10,705,LSU,313,12,796,1,0,0
0,9661,100.0,80.2,103,100.0,7,795,385,98.9,0,0,1,100.0,87.1,0,Austin Shepherd,397,410,T,88.4,2,8,744,ALABAMA,410,12,795,0,49,0
0,10690,100.0,87.7,199,100.0,3,794,366,99.0,0,1,2,100.0,91.4,3,Cody Whitehair,401,428,T,91.5,2,6,0,KANSAS ST,428,12,794,1,792,0
0,10662,100.0,70.5,300,100.0,7,790,371,98.5,0,3,1,100.0,71.0,6,Joshua Garnett,398,419,G,81.1,1,11,0,STANFORD,419,12,790,2,0,788
0,10834,100.0,67.0,300,100.0,4,787,370,98.2,0,2,4,100.0,76.5,3,Kyle Murphy,397,417,T,84.2,10,10,761,STANFORD,417,12,787,0,16,0
46,11825,100.0,86.9,260,100.0,9,784,395,97.9,585,1,3,100.0,82.7,4,Pat Elflein,378,389,G,70.9,0,13,0,OHIO STATE,389,12,784,0,0,153
0,9446,100.0,74.2,300,100.0,4,779,363,99.0,0,0,2,100.0,83.6,5,Andrus Peat,395,416,T,94.5,18,6,1,STANFORD,416,12,779,0,760,0
768,9655,100.0,67.1,327,100.0,8,768,345,99.0,0,0,0,100.0,72.1,3,Austin Reiter,400,423,C,86.1,0,8,0,USF,423,12,768,1,0,0
0,45547,100.0,74.4,222,100.0,10,767,357,96.5,0,8,5,100.0,73.6,2,Mason Cole,398,410,T,66.2,5,23,0,MICHIGAN,410,12,767,0,761,0
0,11919,100.0,63.9,328,100.0,9,761,380,98.5,490,2,0,100.0,65.8,3,Isaac Asiata,366,381,G,74.0,0,11,0,UTAH,381,12,761,0,0,271
0,11892,100.0,73.6,326,100.0,17,760,344,97.1,0,2,2,100.0,74.8,7,Zach Banner,397,416,T,73.7,3,21,756,USC,416,12,760,0,1,0
755,9566,100.0,72.8,163,100.0,3,755,416,99.1,0,3,0,100.0,76.3,2,Max Garcia,325,339,C,84.4,0,6,0,FLORIDA,339,11,755,1,0,0
0,10682,100.0,72.7,190,100.0,10,748,401,98.2,0,0,1,100.0,74.6,7,Jason Spriggs,331,347,T,79.3,7,11,0,INDIANA,347,11,748,1,741,0
0,10858,100.0,74.7,223,100.0,8,746,412,97.5,530,4,2,100.0,74.7,2,Donavon Clark,318,334,G,64.4,0,14,216,MICH STATE,334,12,746,0,0,0
