fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,10823,0,428,906,12.3,0,0,0,73.0,87.8,0,13,273,6,49.9,0,17,432,0,2,1,0,130,468,19,3,66,0,20.0,4,Anthony Brown,10,0,138,67.5,59.7,3,2,CB,65.5,88.7,1,0,35,PURDUE,10,12,53.0,46.0,46,0,0,755,906
0,10830,0,285,521,8.9,0,0,0,60.7,86.7,0,5,222,1,57.6,0,6,249,0,2,1,0,49,231,177,0,42,0,16.1,0,Blake Countess,2,0,66,65.2,64.1,4,1,CB,65.4,114.1,0,0,28,MICHIGAN,5,12,66.7,24.0,25,0,0,293,521
0,10838,0,381,687,11.9,0,0,2,78.1,14.3,0,6,266,7,71.1,0,17,393,1,3,1,0,129,286,38,3,60,0,10.7,2,Jordan Lucas,6,0,197,77.0,79.7,2,4,CB,75.4,86.3,1,0,33,PENN STATE,20,12,55.0,75.0,43,1,0,517,687
0,10843,0,459,839,16.8,0,0,0,75.8,59.3,1,9,335,6,55.6,0,12,637,1,7,2,0,87,375,424,1,72,0,21.4,2,Maurice Canady,8,3,316,74.4,48.6,6,2,CB,73.2,93.3,0,0,38,VIRGINIA,5,12,52.8,65.0,27,0,1,321,839
0,10852,0,462,733,13.0,1,0,0,64.2,86.8,0,5,326,2,52.6,0,9,508,0,7,0,0,50,267,17,1,72,0,9.8,3,Kevon Seymour,10,1,168,74.3,69.4,1,0,CB,74.6,75.5,0,0,39,USC,4,12,54.2,73.0,44,1,0,659,733
0,10853,0,523,958,8.7,1,0,0,91.6,91.1,0,6,109,11,44.5,0,28,390,0,18,2,0,254,420,681,10,68,0,8.5,2,Will Parks,6,2,240,91.1,81.3,0,2,CB,89.9,68.9,0,0,45,ARIZONA,15,12,66.2,29.0,54,0,0,5,958
0,10883,0,263,561,10.3,0,0,0,75.4,38.8,0,3,346,4,54.1,0,1,267,0,2,0,0,37,296,5,1,45,0,9.7,3,Prince Charles Iworah,2,1,194,69.5,76.0,2,0,CB,68.2,80.5,0,0,26,W KENTUCKY,2,12,57.8,18.0,24,1,0,517,561
0,10887,0,334,661,12.1,0,0,0,66.2,86.2,1,7,296,4,56.5,0,9,545,0,3,1,0,46,324,12,1,70,0,16.7,4,Kalan Reed,9,2,199,66.1,57.1,1,1,CB,65.2,81.0,0,0,45,SO MISS,3,12,64.3,45.0,31,0,0,600,661
0,11773,0,397,609,10.5,1,0,0,87.9,42.4,1,6,326,2,52.0,0,19,460,0,9,0,0,35,208,11,5,80,0,12.0,2,Adoree' Jackson,8,0,182,82.0,71.5,0,0,CB,80.1,71.9,0,0,44,USC,4,12,55.0,49.0,42,0,0,554,609
0,11779,0,73,145,22.3,0,0,0,58.9,80.3,0,3,260,1,59.3,0,1,134,0,4,0,0,12,71,1,0,10,0,27.3,0,Gareon Conley,1,0,42,58.8,47.3,1,0,CB,58.8,137.5,0,0,6,OHIO STATE,1,9,60.0,44.0,7,0,0,128,145
0,11780,0,45,89,18.5,0,0,0,66.9,79.1,0,0,222,0,73.6,0,4,111,0,0,1,0,2,41,20,0,9,0,0.0,0,Jabrill Peppers,0,0,83,70.5,83.8,0,1,CB,68.2,109.0,0,0,6,MICHIGAN,3,3,66.7,67.0,8,0,0,67,89
0,11782,0,327,650,12.1,0,0,1,68.1,85.6,0,6,211,3,75.5,0,8,193,0,0,0,0,37,323,18,2,45,0,17.6,2,Tre'Davious White,5,2,80,80.9,61.7,1,2,CB,80.7,38.5,1,0,16,LSU,0,12,35.6,33.0,25,0,0,595,650
0,11801,0,140,264,6.6,0,0,0,57.6,82.5,1,2,163,2,58.1,0,2,86,0,10,0,0,33,123,6,1,24,0,10.0,0,Quincy Wilson,3,1,38,80.5,65.9,0,0,CB,84.2,44.8,0,0,13,FLORIDA,1,9,54.2,25.0,16,0,0,215,264
0,11808,0,193,359,10.0,1,0,1,71.8,84.0,1,2,163,1,90.7,0,11,160,0,10,0,0,43,160,17,2,34,0,7.4,1,Teez Tabor,4,1,37,89.9,81.3,0,3,CB,88.4,48.7,2,0,16,FLORIDA,6,11,47.1,27.0,24,0,0,289,359
0,11821,0,100,152,21.8,0,0,0,60.8,80.5,0,2,143,1,60.0,0,1,283,0,1,0,0,20,51,2,0,20,0,14.3,1,Ahkello Witherspoon,0,0,110,76.6,61.4,4,0,CB,78.0,147.9,0,0,13,COLORADO,1,5,65.0,75.0,11,0,0,129,152
0,11836,0,482,849,13.6,0,0,0,82.1,87.5,0,2,324,4,63.8,0,14,516,0,1,1,0,69,361,35,4,61,0,4.1,6,Fabian Moreau,4,1,131,68.5,86.1,5,1,CB,64.4,109.7,0,0,38,UCLA,6,12,62.3,49.0,43,1,0,744,849
0,11845,0,181,299,13.3,0,0,0,66.7,16.6,0,2,323,2,65.5,0,5,133,0,0,2,0,24,112,249,0,13,0,11.8,2,Shaquill Griffin,0,1,53,73.8,71.6,2,2,CB,74.8,116.3,0,0,10,UCF,6,10,76.9,79.0,13,1,0,26,299
0,11846,0,325,628,10.5,0,0,0,71.7,45.2,0,4,222,3,41.6,0,12,221,0,8,1,0,60,289,30,2,51,0,10.8,4,Jourdan Lewis,4,2,109,76.1,62.3,1,1,CB,77.8,44.6,0,0,21,MICHIGAN,14,12,41.2,53.0,30,1,0,530,628
0,11850,0,400,790,11.6,0,0,0,74.0,86.6,1,10,307,1,59.6,0,15,325,0,0,0,0,82,389,3,4,61,0,24.4,0,Cameron Sutton,9,3,122,81.7,46.2,2,0,CB,81.1,53.0,0,0,28,TENNESSEE,1,12,45.9,43.0,30,0,0,705,790
0,11852,0,49,110,5.5,0,0,0,50.7,79.0,0,2,140,0,47.2,0,3,11,0,0,1,0,21,60,0,0,8,0,33.3,0,Cordrea Tankersley,0,0,9,64.9,48.6,0,1,CB,70.9,39.6,0,0,2,CLEMSON,1,6,25.0,9.0,4,0,0,89,110
0,11856,0,79,111,6.3,0,0,0,77.1,79.3,0,1,173,2,60.0,0,2,25,0,1,0,0,8,31,0,1,8,0,16.7,0,Brendan Langley,1,0,9,68.4,57.9,1,0,CB,66.0,96.4,0,0,4,GEORGIA,1,3,50.0,9.0,3,0,0,102,111
