fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,48496,498,2,1,,0,4,3,58.7,68.4,0,2,242,4,64.0,0,16,0,0,0,16,0,0,244,1,2,0,336,10.0,2,Noah Brown,0,0,0,61.3,77.2,0,23,ED,57.0,0.0,4,158,0,NEW MEX ST,253,12,,,14,0,0,0,499
0,48526,567,54,7,10.0,0,2,6,66.3,72.6,3,9,248,17,79.0,0,23,30,1,0,16,0,7,261,0,3,3,524,18.4,2,Bradley Chubb,0,1,14,71.9,57.5,0,31,ED,57.9,68.8,9,41,3,NC STATE,259,12,100.0,14.0,23,0,0,0,574
0,48538,557,18,6,,1,2,5,60.3,55.2,0,4,263,4,71.0,0,17,0,4,0,17,0,6,264,0,2,2,467,14.3,2,Oshane Ximines,0,0,0,66.8,72.4,0,28,ED,65.1,39.6,6,88,0,DOMINION,281,12,0.0,,20,0,0,0,563
0,48553,591,11,1,6.5,0,14,4,59.1,41.9,3,3,328,5,75.5,0,21,13,9,0,23,2,1,247,0,1,4,484,9.4,3,Kylie Fitts,0,0,15,66.9,71.5,0,34,ED,54.2,57.3,7,91,2,UTAH,334,12,50.0,9.0,24,0,0,0,592
0,48565,489,0,1,,1,88,3,57.5,8.4,0,5,220,5,61.1,0,8,0,2,0,21,0,1,211,0,1,0,252,26.3,5,Chad Thomas,0,0,0,58.0,46.2,0,26,ED,66.1,0.0,2,149,0,MIAMI FL,279,12,,,9,1,0,0,490
0,48606,518,6,0,,0,5,4,47.8,54.0,1,6,319,4,65.7,0,15,0,2,0,9,0,0,297,0,1,0,410,17.6,2,Ade Aruna,0,0,0,55.3,58.9,0,17,ED,62.4,0.0,4,103,0,TULANE,215,12,,,24,1,0,0,518
0,48684,4,0,0,,0,2,0,60.4,69.3,0,0,306,0,58.8,0,0,0,0,0,0,2,0,2,0,0,0,0,,0,Jullian Taylor,0,0,0,60.0,,0,0,ED,,0.0,0,0,0,TEMPLE,2,1,,,0,0,0,0,4
0,48822,18,0,0,,0,0,0,54.2,0.0,0,0,305,0,58.4,0,0,0,0,0,0,0,0,6,0,0,0,18,,1,L.J. Collier,0,0,0,44.5,,0,0,ED,,0.0,0,0,0,TCU,12,3,,,0,0,0,0,18
0,48850,98,0,1,,0,82,1,68.7,78.9,1,1,306,2,63.7,0,7,0,0,0,4,15,1,44,0,1,0,1,8.3,0,Michael Dogbe,0,0,0,72.3,64.7,0,5,ED,72.0,0.0,0,0,0,TEMPLE,55,11,,,9,0,0,0,99
0,49605,47,0,0,,0,3,0,66.2,0.0,0,0,121,0,52.4,0,1,0,0,0,0,0,0,27,0,0,0,40,0.0,2,Zach Allen,0,0,0,54.6,71.5,0,0,ED,61.2,0.0,0,4,0,BOSTON COL,20,5,,,1,0,0,0,47
