avg_time_to_throw,player_id,passing_snaps,grades_run,dropbacks,btt_rate,franchise_id,twp_rate,hit_as_threw,accuracy_percent,spikes,sack_percent,turnover_worthy_plays,yards,completions,pressure_to_sack_rate,grades_offense,avg_depth_of_target,bats,penalties,player,big_time_throws,interceptions,drop_rate,qb_rating,touchdowns,completion_percent,position,ypa,aimed_passes,attempts,scrambles,sacks,drops,def_gen_pressures,team_name,player_game_count,declined_penalties,first_downs,grades_hands_fumble,grades_pass,thrown_aways
2.38,38321,389,52.6,369,2.5,319,6.7,2,62.0,0,6.0,26,1975,185,18.6,43.0,10.1,5,2,Tanner Lee,9,14,9.3,66.8,12,54.9,QB,5.9,329,337,10,22,19,118,TULANE,10,0,2,78.2,43.0,1
2.63,10796,406,45.2,387,4.5,300,5.4,0,72.0,1,5.2,22,2599,218,26.7,68.9,9.2,2,3,Kevin Hogan,16,8,7.6,95.6,17,65.1,QB,7.8,328,335,32,20,18,75,STANFORD,12,0,1,40.8,74.4,4
2.71,10734,362,49.3,345,6.5,223,4.4,2,64.3,0,3.8,16,2900,188,15.3,79.6,11.1,2,1,Connor Cook,22,6,6.9,102.6,22,58.0,QB,9.0,314,324,8,13,14,85,MICH STATE,12,0,1,46.5,81.5,6
2.77,10835,357,51.9,343,3.3,111,4.5,0,66.2,0,3.8,16,2127,178,12.3,68.0,10.1,4,5,Brandon Allen,11,5,7.3,89.2,18,56.2,QB,6.7,290,317,13,13,14,106,ARKANSAS,12,0,2,45.1,69.6,23
2.64,46420,341,48.1,332,1.4,166,6.5,5,64.5,2,9.0,22,1655,138,30.6,33.3,9.3,4,3,Alex McGough,4,10,14.8,69.3,13,50.0,QB,6.0,251,276,26,30,24,98,FIU,12,1,1,27.6,33.5,14
2.39,46517,307,37.5,284,5.6,316,3.9,2,70.3,0,2.8,12,2082,163,13.6,70.4,9.0,5,2,Logan Woodside,16,7,10.4,98.2,19,61.0,QB,7.8,259,267,9,8,19,59,TOLEDO,11,0,1,28.4,76.8,1
2.72,46586,288,58.7,276,5.1,341,4.2,0,73.3,2,6.2,12,1879,155,21.8,69.4,8.1,0,3,Luke Falk,13,7,10.4,92.5,13,63.3,QB,7.7,236,245,14,17,18,78,WASH STATE,5,0,0,76.6,70.1,7
2.86,46453,281,29.1,266,5.2,327,3.6,6,63.1,0,5.6,10,1639,122,18.5,52.6,9.9,3,4,Mike White,13,7,14.1,71.6,8,50.6,QB,6.8,225,241,10,15,20,81,USF,11,0,2,34.6,58.1,7
2.42,10841,224,60.1,215,1.5,163,3.1,6,67.2,1,4.2,7,1092,106,16.1,60.2,9.2,4,1,Jeff Driskel,3,10,12.4,64.4,9,54.1,QB,5.6,180,196,10,9,15,56,FLORIDA,8,0,0,71.3,59.2,5
2.82,11765,225,56.3,204,4.9,315,5.3,3,70.3,0,4.9,12,1545,105,13.7,64.1,11.0,2,1,Patrick Mahomes,10,4,14.6,104.0,16,56.8,QB,8.4,175,185,9,10,18,73,TEXAS TECH,7,0,3,49.4,64.9,5
2.79,10821,203,59.1,194,3.9,190,3.0,1,69.7,0,3.1,6,1151,101,12.5,63.7,10.4,1,3,Nate Sudfeld,7,3,6.5,84.7,6,59.8,QB,6.8,155,169,19,6,7,48,INDIANA,6,0,2,67.9,62.8,12
2.52,23519,187,64.1,184,3.0,273,4.8,2,65.1,0,6.5,9,800,89,21.8,49.8,6.6,4,2,Danny Etling,5,5,10.1,67.9,6,54.9,QB,4.9,152,162,10,12,10,55,PURDUE,5,0,0,64.2,47.2,4
2.76,11890,185,73.1,177,2.5,307,7.6,0,70.2,1,5.1,14,1068,96,18.0,66.9,8.2,1,1,Joshua Dobbs,4,5,9.4,85.1,8,61.1,QB,6.8,151,157,11,9,10,50,TENNESSEE,5,0,0,30.1,57.3,4
2.71,11767,163,72.6,155,5.6,140,1.2,0,74.8,0,5.2,2,1466,93,17.4,88.7,11.2,0,0,Deshaun Watson,8,2,7.9,131.2,14,67.9,QB,10.7,135,137,10,8,8,46,CLEMSON,8,0,1,80.0,86.0,2
3.25,10816,137,60.7,132,4.5,237,5.1,4,59.4,3,13.6,7,826,49,28.6,60.3,13.8,0,0,Keenan Reynolds,5,3,14.0,79.4,6,45.8,QB,7.7,96,107,7,18,8,63,NAVY,10,0,0,34.1,57.0,4
2.66,11859,80,65.0,76,5.5,192,3.8,3,70.3,0,5.3,3,502,39,20.0,76.5,9.8,0,0,C.J. Beathard,4,1,13.3,88.0,3,56.5,QB,7.3,64,69,3,4,6,20,IOWA,7,0,0,75.0,75.0,2
2.54,46569,75,53.5,69,6.1,262,5.3,0,65.5,0,7.2,4,554,32,17.2,65.6,12.2,0,1,Mason Rudolph,4,3,15.8,86.4,4,53.3,QB,9.2,58,60,4,5,6,29,OKLA STATE,2,0,1,71.2,67.5,2
2.99,27413,50,49.1,50,0.0,284,6.0,0,48.6,0,6.0,3,147,13,20.0,38.7,12.2,1,0,Nick Bawden,0,2,27.8,32.7,1,33.3,QB,3.8,37,39,8,3,5,15,S DIEGO ST,3,0,0,39.2,38.8,1
3.26,46426,37,70.6,33,0.0,120,2.7,1,56.0,0,12.1,1,161,12,30.8,58.5,12.2,0,0,Ryan Finley,0,1,14.3,73.2,2,44.4,QB,6.0,25,27,2,4,2,13,BOISE ST,3,0,0,70.6,52.7,1
2.65,11926,25,50.0,25,0.0,307,4.0,2,62.5,0,4.0,1,49,10,7.7,42.9,3.4,2,1,Nathan Peterman,0,0,0.0,54.3,0,47.6,QB,2.3,16,21,3,1,0,13,TENNESSEE,6,0,1,29.1,44.4,1
2.82,10773,23,67.8,23,5.9,260,0.0,0,62.5,0,0.0,0,116,10,0.0,72.4,9.4,0,0,Cardale Jones,1,0,0.0,118.8,2,58.8,QB,6.8,16,17,6,0,0,4,OHIO STATE,5,0,0,50.8,67.3,1
3.73,49825,14,54.9,14,8.3,190,14.3,0,36.4,0,7.1,2,31,3,16.7,42.7,16.8,0,0,Chris Covington,1,2,25.0,0.0,0,25.0,QB,2.6,11,12,1,1,1,6,INDIANA,1,0,0,20.4,35.5,1
1.1,38296,2,64.8,2,0.0,305,0.0,0,100.0,0,0.0,0,17,2,,69.5,-2.5,0,0,Zach Allen,0,0,0.0,102.1,0,100.0,QB,8.5,2,2,0,0,0,0,TCU,1,0,0,68.7,62.7,0
2.54,46586,675,43.9,657,4.9,341,3.7,8,79.4,3,5.3,25,4280,417,25.2,81.8,6.4,1,5,Luke Falk,30,8,7.7,105.0,36,70.1,QB,7.2,569,595,27,35,35,139,WASH STATE,11,0,222,52.2,84.0,14
2.81,11765,608,73.0,581,4.8,315,3.6,3,75.4,2,3.3,22,4263,336,10.2,80.0,8.3,4,5,Patrick Mahomes,26,14,9.4,99.2,32,64.5,QB,8.2,492,521,41,19,35,186,TEXAS TECH,12,0,201,59.5,75.8,20
2.51,10635,577,75.3,542,5.5,130,4.2,3,74.0,2,4.6,24,4259,314,15.5,91.1,10.1,5,5,Jared Goff,29,13,9.0,105.0,37,63.6,QB,8.6,466,494,23,25,31,161,CAL,12,0,203,63.6,90.0,18
2.65,35460,503,75.4,476,5.7,324,5.4,1,69.7,1,2.9,27,3352,266,8.3,81.8,9.6,11,3,Josh Rosen,27,9,7.3,88.9,20,59.1,QB,7.4,412,450,12,14,21,168,UCLA,12,0,156,57.6,78.3,25
2.36,10857,483,48.2,464,4.7,346,2.3,4,82.4,0,2.8,11,4172,322,10.2,91.8,7.8,5,1,Brandon Doughty,22,6,8.5,126.5,42,71.9,QB,9.3,427,448,3,13,30,128,W KENTUCKY,12,0,196,49.9,91.4,12
2.61,10769,497,69.4,483,3.8,227,4.4,5,75.8,2,6.2,22,3419,291,18.3,75.5,7.9,5,2,Dak Prescott,17,4,8.2,105.4,25,66.6,QB,7.8,418,437,16,30,26,164,MISS STATE,12,0,168,60.3,72.3,7
2.29,12008,490,75.2,467,6.9,226,4.3,4,75.7,0,3.9,21,3734,277,11.9,84.6,9.3,20,3,Chad Kelly,31,12,8.3,101.9,27,64.9,QB,8.7,399,427,22,18,25,151,OLE MISS,12,0,173,41.7,80.6,4
2.49,46420,491,47.5,472,3.4,166,4.7,2,76.5,0,5.5,23,2709,268,18.1,70.8,6.4,7,3,Alex McGough,15,8,12.4,90.9,21,63.8,QB,6.5,400,420,26,26,38,144,FIU,12,0,127,27.8,74.3,11
2.45,10841,471,66.4,451,6.3,208,3.0,1,70.9,2,4.2,14,3589,255,14.3,82.2,11.0,4,4,Jeff Driskel,27,8,8.3,101.3,24,61.9,QB,8.7,392,412,20,19,23,133,LA TECH,12,0,167,70.3,81.3,13
2.53,10660,451,72.7,438,3.6,218,2.2,1,79.2,0,3.2,10,3682,281,10.9,89.8,7.9,3,2,Paxton Lynch,15,3,8.8,117.5,28,69.2,QB,9.1,389,406,18,14,27,129,MEMPHIS,12,1,179,77.0,86.7,13
2.47,46569,458,44.5,443,9.2,262,3.7,2,71.3,0,5.9,17,3593,246,22.2,91.3,11.8,3,3,Mason Rudolph,38,9,9.9,99.6,21,62.0,QB,9.1,383,397,20,26,27,117,OKLA STATE,12,0,164,60.6,91.9,9
2.81,10727,445,66.2,420,3.5,326,1.1,5,78.9,0,7.4,5,3129,258,20.3,85.2,8.0,4,1,Cody Kessler,14,6,6.5,110.9,27,68.4,QB,8.3,350,377,12,31,18,153,USC,12,0,143,70.5,82.4,18
2.25,11767,446,68.9,423,7.1,140,2.9,2,78.9,2,2.6,13,3231,262,11.3,85.5,8.2,8,2,Deshaun Watson,28,10,6.8,109.4,27,70.1,QB,8.6,356,374,38,11,19,97,CLEMSON,12,0,167,81.3,84.5,6
2.93,10725,443,62.8,431,4.5,248,2.9,3,72.0,2,7.4,13,2443,225,22.4,70.7,8.8,5,1,Jacoby Brissett,17,4,7.8,93.1,19,61.0,QB,6.6,339,369,29,32,19,143,NC STATE,12,0,129,52.8,69.6,20
2.64,10821,399,45.9,385,6.1,190,4.3,4,72.2,0,3.1,17,3183,219,13.2,81.1,10.0,4,1,Nate Sudfeld,23,5,11.3,105.5,24,60.5,QB,8.8,342,362,11,12,28,91,INDIANA,11,0,148,45.4,83.4,12
2.5,11970,393,43.1,375,4.8,220,4.1,5,70.5,1,3.2,16,3023,221,9.6,80.1,9.9,6,2,Brad Kaaya,18,4,6.8,97.5,15,61.4,QB,8.4,336,360,3,12,16,125,MIAMI FL,11,0,133,38.2,81.1,12
2.78,10825,429,58.4,407,2.7,222,3.7,8,76.2,0,4.7,16,2739,230,12.5,68.2,8.2,10,1,Jake Rudock,10,9,8.0,93.5,18,64.1,QB,7.6,328,359,29,19,20,152,MICHIGAN,12,0,145,58.0,67.5,13
2.92,46518,455,67.9,437,6.7,261,1.8,0,78.4,1,8.0,8,3388,243,24.1,92.3,8.8,2,1,Baker Mayfield,25,5,9.3,125.5,35,68.3,QB,9.5,342,356,46,35,25,145,OKLAHOMA,12,0,175,59.0,92.4,11
2.55,10685,426,56.0,405,3.3,266,2.8,2,63.8,0,9.1,12,2384,184,22.7,60.1,9.3,8,3,Christian Hackenberg,12,5,12.4,84.0,16,52.9,QB,6.9,329,348,20,37,26,163,PENN STATE,12,0,99,52.0,59.4,9
2.97,10835,387,54.7,377,6.5,111,3.9,5,73.6,0,3.4,15,3112,224,10.3,88.0,9.6,5,5,Brandon Allen,23,7,4.3,113.7,29,65.1,QB,9.0,318,344,20,13,10,126,ARKANSAS,12,0,161,52.0,90.0,16
2.65,10734,377,55.9,358,8.7,223,3.4,4,68.4,0,3.1,13,2729,194,9.7,88.7,11.7,7,2,Connor Cook,31,4,11.4,102.0,24,57.2,QB,8.1,320,339,8,11,25,113,MICH STATE,11,0,140,68.3,89.7,8
2.74,11890,382,73.4,370,3.3,307,4.7,4,70.8,1,5.1,18,2146,193,16.2,72.5,7.7,8,2,Joshua Dobbs,11,5,7.7,88.6,15,59.8,QB,6.6,295,323,28,19,16,117,TENNESSEE,12,0,125,43.2,64.5,15
2.79,11859,384,72.7,359,3.7,192,2.3,8,69.7,1,5.3,9,2358,184,13.3,80.2,9.0,8,4,C.J. Beathard,12,3,4.7,95.8,14,60.3,QB,7.7,277,305,35,19,9,143,IOWA,12,0,125,54.4,75.8,11
2.64,11807,371,65.9,347,5.3,258,4.6,0,72.3,2,6.3,17,2588,187,25.6,80.1,9.7,3,4,DeShone Kizer,17,9,9.2,97.8,18,62.5,QB,8.7,285,299,26,22,19,86,NOTRE DAME,12,0,126,58.6,79.9,9
2.86,11926,361,65.4,350,7.8,268,5.8,8,73.2,1,6.6,21,2163,183,18.5,76.7,9.5,2,3,Nathan Peterman,24,5,8.0,98.1,19,61.6,QB,7.3,272,297,30,23,16,124,PITTSBURGH,12,0,128,49.8,75.7,14
2.53,38321,304,26.4,296,3.2,319,6.9,5,64.5,0,6.8,21,1621,143,19.4,56.8,10.2,4,1,Tanner Lee,9,7,13.3,72.4,11,51.8,QB,5.9,256,276,0,20,22,103,TULANE,9,0,82,25.5,58.5,11
2.83,46501,318,61.8,311,3.2,256,6.9,4,66.3,0,5.5,22,1466,142,18.1,56.4,8.3,7,1,Clayton Thorson,9,7,12.9,65.2,7,51.6,QB,5.3,246,275,19,17,21,94,NWESTERN,12,0,92,32.5,53.4,18
2.83,10796,330,64.9,310,5.9,300,4.3,3,76.9,2,5.5,14,2462,185,16.5,80.2,9.8,1,2,Kevin Hogan,17,7,8.9,112.3,22,67.8,QB,9.0,264,273,20,17,18,103,STANFORD,12,0,126,43.3,79.8,3
2.76,39517,318,56.0,306,4.3,229,6.0,1,56.9,0,7.5,19,1331,129,19.7,43.7,10.2,2,2,Drew Lock,12,8,10.4,56.0,4,48.7,QB,5.0,253,265,18,23,15,117,MISSOURI,12,0,63,45.0,41.7,9
3.07,46416,290,70.9,284,3.1,210,5.5,1,64.3,0,8.1,16,1612,123,18.9,69.1,12.8,3,0,Lamar Jackson,7,8,10.2,78.2,10,55.2,QB,7.2,213,223,38,23,14,122,LOUISVILLE,10,0,91,42.3,61.9,6
2.8,10773,211,60.9,202,3.3,260,6.2,2,72.7,0,6.9,13,1449,109,19.4,57.8,10.0,3,2,Cardale Jones,6,5,6.8,91.3,8,61.9,QB,8.2,161,176,12,14,8,72,OHIO STATE,10,0,71,29.0,56.5,10
2.58,38265,202,73.5,194,5.4,163,5.0,0,73.1,0,7.7,10,1205,106,23.4,67.3,7.6,0,1,Will Grier,9,3,7.0,101.7,10,66.3,QB,7.5,156,160,19,15,8,64,FLORIDA,6,0,70,29.3,62.7,4
2.99,38334,147,74.4,142,2.4,312,5.4,0,65.3,0,5.6,8,694,72,22.9,65.8,10.1,0,0,Kyler Murray,3,7,6.5,64.7,5,59.0,QB,5.7,118,122,12,8,5,35,TEXAS A&M,7,0,49,41.9,56.2,4
2.57,13725,139,56.5,133,12.3,118,1.4,2,81.0,0,6.8,2,1266,75,28.1,89.3,11.9,4,1,Jarrett Stidham,14,2,7.4,136.9,12,68.8,QB,11.6,100,109,15,9,6,32,BAYLOR,10,0,52,52.6,91.5,3
2.68,10816,124,69.5,119,9.3,237,2.4,0,63.7,3,10.9,3,1077,52,29.5,76.1,14.9,3,5,Keenan Reynolds,10,1,10.3,107.4,7,51.0,QB,10.6,91,102,4,13,6,44,NAVY,12,1,34,73.9,72.6,5
2.5,17287,94,64.0,89,1.2,185,4.3,0,67.5,0,5.6,4,387,49,19.2,53.3,8.3,0,0,Jake Luton,1,4,5.8,57.3,1,62.0,QB,4.9,77,79,5,5,3,26,IDAHO,5,0,18,75.4,48.7,2
2.8,46426,89,59.3,87,4.2,120,5.7,0,74.6,0,6.9,5,485,46,20.0,64.7,8.6,1,0,Ryan Finley,3,4,8.0,65.8,1,64.8,QB,6.8,67,71,10,6,4,30,BOISE ST,3,0,26,73.4,64.5,3
2.19,11842,43,62.2,41,2.3,315,0.0,0,62.5,0,0.0,0,300,22,0.0,63.7,8.9,0,0,Davis Webb,1,0,12.0,93.5,2,53.7,QB,7.3,40,41,0,0,3,7,TEXAS TECH,5,0,14,70.1,62.4,1
2.79,32819,13,63.0,13,0.0,266,0.0,0,63.6,0,0.0,0,43,6,0.0,50.9,5.5,0,1,Trace McSorley,0,0,14.3,54.3,0,46.2,QB,3.3,11,13,0,0,1,2,PENN STATE,4,0,3,70.5,46.9,2
2.86,46601,9,65.9,8,0.0,351,0.0,0,80.0,0,0.0,0,43,4,0.0,65.5,7.6,1,0,Josh Allen,0,0,0.0,87.5,0,66.7,QB,7.2,5,6,2,0,0,1,WYOMING,2,0,5,66.3,59.9,0
2.32,11842,687,43.0,642,5.1,130,4.1,6,69.8,0,2.5,28,4291,382,11.8,70.3,8.9,5,5,Davis Webb,34,12,7.5,94.1,37,61.6,QB,6.9,592,620,4,16,31,136,CAL,12,0,203,67.0,70.8,17
2.77,11765,709,70.5,669,6.6,315,3.9,2,75.5,1,3.7,28,5056,389,10.2,89.7,9.3,3,2,Patrick Mahomes,42,10,7.2,107.9,41,65.4,QB,8.5,555,595,49,25,30,245,TEXAS TECH,12,0,251,75.7,87.0,34
2.68,46586,677,53.8,637,4.5,341,2.5,4,78.8,1,4.2,17,4204,413,22.9,84.8,7.4,3,3,Luke Falk,28,10,6.8,104.8,37,70.6,QB,7.2,562,585,25,27,30,118,WASH STATE,12,0,222,71.1,84.5,15
2.28,11767,520,59.5,491,5.5,140,3.1,5,77.6,0,2.4,16,3617,306,10.3,87.8,9.2,9,0,Deshaun Watson,26,14,8.9,103.8,34,67.5,QB,8.0,433,453,26,12,30,117,CLEMSON,12,0,191,73.9,89.4,6
2.74,46501,515,49.7,492,4.1,256,3.9,5,69.8,1,6.9,20,2965,258,17.8,67.6,9.0,7,0,Clayton Thorson,19,8,7.9,86.8,21,58.2,QB,6.7,401,443,15,34,22,191,NWESTERN,12,0,148,54.0,69.0,29
2.27,39517,487,38.1,462,6.7,229,4.7,3,64.3,0,2.6,23,3374,238,15.4,67.8,12.0,7,1,Drew Lock,31,10,10.9,87.8,23,54.6,QB,7.7,415,436,13,12,29,78,MISSOURI,12,0,134,34.7,71.0,11
2.42,39395,509,57.8,488,2.9,154,3.1,6,72.6,0,6.1,16,2839,269,19.1,65.7,7.7,9,4,Daniel Jones,13,9,7.9,85.6,16,62.7,QB,6.6,402,429,26,30,23,157,DUKE,12,0,154,54.9,66.5,12
2.56,46569,493,55.5,476,6.7,262,2.6,4,71.5,0,6.3,13,3771,262,22.4,90.7,10.8,1,2,Mason Rudolph,29,4,6.8,108.1,25,62.8,QB,9.0,393,417,26,30,19,134,OKLA STATE,12,0,165,57.2,91.0,19
2.41,46517,447,38.4,418,5.9,316,3.1,5,76.1,0,2.9,14,3881,271,11.1,81.5,9.4,4,2,Logan Woodside,25,9,5.6,127.9,43,69.1,QB,9.9,377,392,11,12,16,108,TOLEDO,12,0,166,68.7,83.3,6
2.5,11970,432,56.1,417,5.0,220,2.1,5,70.3,1,5.5,9,3250,237,23.7,79.9,9.7,2,3,Brad Kaaya,20,7,8.1,100.1,23,61.1,QB,8.4,367,388,5,23,21,97,MIAMI FL,12,0,142,72.8,79.4,13
3.09,46416,486,82.2,467,5.0,210,2.9,2,70.9,0,8.4,14,3379,219,22.8,87.5,11.9,10,2,Lamar Jackson,20,9,12.0,103.1,30,57.3,QB,8.8,351,382,45,39,30,171,LOUISVILLE,12,0,164,53.7,77.8,19
2.32,46426,418,43.7,400,3.9,248,3.3,2,69.7,0,3.8,14,2800,224,17.9,73.9,8.3,6,2,Ryan Finley,15,8,10.0,88.1,15,60.2,QB,7.5,357,372,10,15,25,84,NC STATE,12,0,131,42.7,78.6,7
2.82,11807,429,57.6,413,5.0,258,4.4,6,68.2,1,5.8,19,2934,213,19.8,67.7,11.1,3,2,DeShone Kizer,19,9,9.0,98.2,26,58.7,QB,8.1,343,363,25,24,21,121,NOTRE DAME,12,1,141,60.9,69.3,10
2.39,46453,391,49.9,376,8.1,346,3.3,3,77.8,0,3.5,13,3605,239,15.9,92.1,10.3,7,0,Mike White,30,5,10.2,123.7,31,67.3,QB,10.2,342,355,6,13,27,82,W KENTUCKY,12,0,153,55.8,91.9,3
2.53,46444,399,59.9,378,5.4,173,3.0,5,68.5,1,4.5,12,2266,192,16.5,66.4,9.9,8,3,Jacob Eason,20,8,12.7,78.1,14,54.5,QB,6.4,321,352,8,17,28,103,GEORGIA,12,0,114,62.5,64.4,17
3.01,46518,393,55.7,375,5.2,261,2.6,1,79.5,1,4.3,10,3663,235,16.2,93.4,10.4,1,2,Baker Mayfield,18,8,8.2,135.2,38,70.8,QB,11.0,322,332,24,16,21,99,OKLAHOMA,12,0,161,47.5,94.2,7
2.85,32819,413,53.4,395,6.3,266,2.7,2,67.5,1,5.3,11,2977,184,13.5,73.6,12.7,1,3,Trace McSorley,22,5,10.7,100.7,21,55.6,QB,9.0,305,331,42,21,22,156,PENN STATE,12,0,127,47.3,78.5,22
2.42,12008,404,61.0,379,4.6,226,4.5,4,71.5,0,4.7,18,2758,205,15.4,80.9,10.7,8,1,Chad Kelly,16,8,8.1,98.3,19,62.5,QB,8.4,312,328,31,18,18,117,OLE MISS,9,0,147,41.7,81.4,4
2.63,25694,382,56.5,356,4.3,122,6.0,3,65.0,0,4.8,23,2088,182,18.1,57.2,10.9,10,1,James Morgan,15,15,8.5,72.7,16,56.0,QB,6.4,306,325,13,17,17,94,BOWL GREEN,11,0,108,49.7,56.1,6
2.78,11890,387,77.4,376,3.6,307,4.4,2,72.1,2,6.6,17,2652,202,18.1,75.8,8.5,4,1,Joshua Dobbs,12,12,9.0,100.1,26,62.7,QB,8.2,308,322,25,25,20,138,TENNESSEE,12,0,135,47.2,66.9,6
2.88,40291,392,67.6,379,4.2,103,2.8,2,77.2,0,4.5,11,2443,209,16.0,74.9,8.3,4,0,Jalen Hurts,14,9,6.3,99.4,21,65.9,QB,7.7,289,317,44,17,14,106,ALABAMA,12,0,120,44.6,71.9,22
2.65,29048,371,55.0,354,4.5,326,3.8,3,77.0,2,1.7,14,2633,213,7.1,80.7,9.2,5,2,Sam Darnold,15,8,6.6,109.8,26,67.4,QB,8.3,296,316,28,6,15,84,USC,12,0,140,36.3,83.2,10
2.87,46601,406,61.9,381,10.7,351,3.4,3,67.8,4,6.0,14,2747,178,17.4,83.5,13.4,8,2,Josh Allen,36,11,7.3,95.6,23,56.7,QB,8.7,283,314,43,23,14,132,WYOMING,12,0,145,53.5,84.2,16
2.75,11926,365,54.1,341,7.3,268,4.7,2,71.6,3,2.9,17,2602,172,11.5,73.0,9.5,5,3,Nathan Peterman,23,6,11.3,109.4,26,58.9,QB,8.9,271,292,35,10,22,87,PITTSBURGH,12,0,125,31.9,75.7,11
2.38,46420,331,49.6,314,4.3,166,4.5,3,69.6,0,3.8,15,1891,167,16.0,64.0,8.9,8,2,Alex McGough,13,11,8.7,77.4,13,58.4,QB,6.6,263,286,16,12,16,75,FIU,9,0,93,38.5,66.5,12
2.76,11859,336,59.8,330,4.5,192,2.7,6,75.6,0,8.5,9,1869,163,22.0,69.1,7.2,6,5,C.J. Beathard,13,7,12.4,87.9,17,58.0,QB,6.7,246,281,21,28,23,127,IOWA,12,0,96,72.8,68.8,23
