avg_time_to_throw,player_id,passing_snaps,grades_run,dropbacks,btt_rate,franchise_id,twp_rate,hit_as_threw,accuracy_percent,spikes,sack_percent,turnover_worthy_plays,yards,completions,pressure_to_sack_rate,grades_offense,avg_depth_of_target,bats,penalties,player,big_time_throws,interceptions,drop_rate,qb_rating,touchdowns,completion_percent,position,ypa,aimed_passes,attempts,scrambles,sacks,drops,def_gen_pressures,team_name,player_game_count,declined_penalties,first_downs,grades_hands_fumble,grades_pass,thrown_aways
2.59,40482,409,68.1,392,4.3,337,3.9,3,69.2,2,5.4,16,2748,213,17.1,70.8,9.7,2,1,Josh Jackson,16,8,7.0,92.5,19,59.8,QB,7.7,331,356,14,21,16,123,VA TECH,12,0,132,73.6,67.1,18
2.73,46420,410,73.0,401,5.0,166,3.2,2,73.9,0,5.2,13,2794,231,16.2,90.2,10.1,4,4,Alex McGough,18,8,7.2,95.9,17,65.3,QB,7.9,337,354,21,21,18,130,FIU,12,0,150,54.8,87.6,11
2.99,46518,408,66.3,394,7.7,261,2.9,1,82.0,1,4.8,12,4104,248,18.1,95.2,11.2,2,2,Baker Mayfield,28,5,9.5,140.1,37,71.3,QB,11.8,334,348,24,19,26,105,OKLAHOMA,12,0,181,68.2,95.3,10
2.48,46517,413,51.4,384,5.1,316,3.1,3,76.6,0,5.2,13,3453,226,17.9,85.0,11.6,8,3,Logan Woodside,19,3,10.3,117.3,24,65.1,QB,10.0,329,347,17,20,26,112,TOLEDO,12,0,156,44.7,86.1,7
2.58,46565,384,45.4,369,5.7,192,3.1,9,72.9,0,6.5,12,2332,187,17.9,75.4,8.8,9,4,Nate Stanley,20,6,14.2,95.0,25,55.8,QB,7.0,299,335,9,24,31,134,IOWA,12,0,109,28.3,77.4,18
2.94,13725,364,52.1,354,5.6,115,3.0,2,76.2,0,7.3,11,2680,202,24.5,73.5,9.0,2,4,Jarrett Stidham,17,4,6.0,109.1,16,68.2,QB,9.1,282,296,31,26,13,106,AUBURN,12,0,111,45.2,77.4,10
2.66,40316,301,69.6,291,2.2,121,5.0,3,63.6,1,3.1,15,1366,135,8.5,56.9,9.5,7,0,Anthony Brown,6,9,12.3,66.9,11,51.9,QB,5.3,242,260,22,9,19,106,BOSTON COL,10,0,76,52.4,50.6,7
3.01,46601,302,62.5,290,5.7,351,5.0,4,65.9,0,6.6,15,1658,141,16.5,65.6,11.4,4,2,Josh Allen,15,6,7.8,83.4,13,56.0,QB,6.6,232,252,19,19,12,115,WYOMING,10,0,90,42.5,64.7,12
2.89,23519,302,68.3,288,5.0,211,3.3,1,68.9,0,7.6,10,2233,146,21.2,74.8,11.5,2,4,Danny Etling,13,2,7.0,105.8,14,59.8,QB,9.2,228,244,21,22,11,104,LSU,12,0,99,79.3,72.3,13
3.12,40291,302,72.8,289,5.1,103,2.3,2,75.9,0,8.3,7,1939,135,25.3,84.2,9.7,9,4,Jalen Hurts,12,1,10.6,108.8,15,60.3,QB,8.7,199,224,39,24,16,95,ALABAMA,12,0,104,68.7,81.6,14
2.64,25694,244,53.4,232,7.1,122,4.9,7,57.2,0,5.2,12,1280,97,15.4,59.7,13.2,4,1,James Morgan,16,7,12.6,65.5,9,45.5,QB,6.0,194,213,7,12,14,78,BOWL GREEN,7,0,57,66.4,60.0,8
2.5,60389,245,62.5,235,5.4,173,4.5,1,72.3,2,5.1,11,1992,131,20.3,79.8,11.5,1,3,Jake Fromm,12,5,10.3,112.8,19,61.8,QB,9.4,202,212,11,12,15,59,GEORGIA,12,0,85,60.1,79.7,6
2.43,40306,212,67.7,203,4.0,329,4.2,2,68.1,0,2.0,9,1377,104,7.5,69.1,10.0,1,1,Jordan Love,8,6,17.5,78.0,8,54.2,QB,7.2,185,192,6,4,22,53,UTAH ST,11,0,68,47.1,66.2,4
2.67,28237,200,58.0,187,10.5,264,1.5,2,77.6,0,3.2,3,1750,113,13.0,91.4,12.1,0,1,Justin Herbert,19,3,11.7,118.5,13,66.5,QB,10.3,165,170,11,6,15,46,OREGON,7,0,70,44.7,92.3,3
3.21,34311,198,55.0,192,4.3,268,6.6,0,67.8,1,7.3,13,1091,88,21.2,53.8,10.6,4,0,Ben DiNucci,7,5,9.3,74.2,5,55.3,QB,6.9,143,159,18,14,9,66,PITTSBURGH,10,0,55,35.6,53.5,11
2.78,17287,154,59.7,149,2.9,265,3.9,0,71.4,0,4.7,6,854,83,14.9,75.8,9.7,1,0,Jake Luton,4,4,7.8,77.2,4,61.5,QB,6.3,126,135,7,7,7,47,OREGON ST,4,0,44,59.7,75.2,8
2.55,41897,70,52.3,65,4.8,260,2.9,0,75.0,0,4.6,2,565,40,18.8,68.6,7.6,1,0,Dwayne Haskins,3,1,4.8,117.9,4,70.2,QB,9.9,56,57,5,3,2,16,OHIO STATE,8,0,24,36.3,74.4,0
2.94,60326,59,66.7,58,5.6,103,5.1,0,79.6,0,1.7,3,470,35,5.9,81.5,8.5,1,0,Tua Tagovailoa,3,1,10.3,125.8,8,66.0,QB,8.9,49,53,4,1,4,17,ALABAMA,7,0,26,75.2,80.3,3
3.03,28301,34,84.2,33,3.6,266,2.9,0,73.1,0,6.1,1,158,14,16.7,88.4,8.8,1,0,Tommy Stevens,1,0,26.3,106.7,3,51.9,QB,5.9,26,27,4,2,5,12,PENN STATE,5,0,10,76.7,63.5,0
2.64,38334,26,62.8,24,8.7,261,0.0,0,90.0,0,0.0,0,359,18,0.0,81.1,8.5,0,0,Kyler Murray,2,0,0.0,158.3,3,85.7,QB,17.1,20,21,3,0,0,3,OKLAHOMA,4,0,16,74.2,86.3,1
2.48,28022,12,55.8,12,0.0,260,16.7,0,70.0,0,8.3,2,61,7,100.0,45.0,7.1,0,0,Joe Burrow,0,0,0.0,78.2,0,63.6,QB,5.5,10,11,0,1,0,1,OHIO STATE,4,0,3,22.6,45.2,1
2.64,40713,12,55.8,12,0.0,218,0.0,0,80.0,0,0.0,0,63,7,0.0,53.3,5.8,0,1,David Moore,0,0,12.5,120.0,1,70.0,QB,6.3,10,10,2,0,1,1,MEMPHIS,3,0,3,29.1,59.1,0
2.59,38584,10,62.1,10,0.0,180,10.0,0,55.6,0,0.0,1,22,5,0.0,50.5,10.2,0,0,Cole McDonald,0,0,0.0,97.9,1,55.6,QB,2.4,9,9,1,0,0,1,HAWAII,3,0,2,34.7,34.2,0
3.11,46444,10,56.9,10,0.0,173,10.0,0,57.1,0,20.0,1,28,4,50.0,29.7,6.6,0,0,Jacob Eason,0,0,0.0,66.4,0,57.1,QB,4.0,7,7,1,2,0,4,GEORGIA,3,0,2,20.7,27.7,0
3.68,46513,5,84.5,5,0.0,237,20.0,0,50.0,0,0.0,1,5,1,0.0,88.9,11.5,0,0,Malcolm Perry,0,1,0.0,56.3,1,50.0,QB,2.5,2,2,3,0,0,3,NAVY,3,0,3,66.3,26.4,0
2.48,38584,562,61.9,535,5.1,180,4.1,3,67.3,2,6.0,23,3790,275,30.5,79.5,11.6,4,3,Cole McDonald,25,8,9.8,102.8,35,58.9,QB,8.1,453,467,36,32,30,105,HAWAII,12,0,180,56.9,79.7,5
2.44,41897,528,60.2,497,3.3,260,2.8,6,76.3,0,3.2,15,4087,315,15.0,79.3,8.4,4,3,Dwayne Haskins,16,7,6.8,121.0,42,68.9,QB,8.9,443,457,24,16,23,107,OHIO STATE,12,2,199,64.8,78.4,4
2.44,46426,489,60.9,469,5.9,248,2.7,2,75.0,0,2.1,13,3785,307,9.9,91.3,10.3,3,2,Ryan Finley,28,9,6.1,103.0,24,67.9,QB,8.4,436,452,6,10,20,101,NC STATE,12,0,186,68.9,91.0,11
2.78,46501,490,65.6,464,2.9,256,2.9,5,72.0,3,6.5,14,2680,252,21.7,71.2,8.7,10,0,Clayton Thorson,13,12,8.4,77.9,14,60.0,QB,6.4,382,420,13,30,23,138,NWESTERN,12,0,134,63.0,68.7,20
2.48,39517,449,75.1,422,6.8,229,2.2,4,74.1,0,2.8,10,3126,252,13.2,86.2,9.1,8,3,Drew Lock,29,8,9.0,99.6,25,63.0,QB,7.8,374,400,10,12,25,91,MISSOURI,12,0,152,40.8,82.1,14
2.53,38265,462,56.2,437,7.9,343,3.0,4,76.6,0,5.3,14,3865,266,24.0,91.1,10.7,1,4,Will Grier,33,8,9.8,121.2,37,67.0,QB,9.7,385,397,12,23,29,96,W VIRGINIA,11,0,173,41.2,91.2,7
2.24,40306,417,61.5,394,4.5,329,2.9,1,74.8,0,2.0,12,3191,248,10.3,83.2,8.8,0,3,Jordan Love,18,5,9.2,111.4,28,65.8,QB,8.5,365,377,7,8,25,78,UTAH ST,12,0,146,67.2,82.7,11
2.82,28237,447,47.3,424,6.6,264,3.4,1,70.9,2,4.5,15,2981,222,16.4,74.5,10.3,2,1,Justin Herbert,26,8,10.8,100.8,28,59.4,QB,8.0,351,374,29,19,27,116,OREGON,12,0,143,32.9,77.7,18
2.56,46565,416,62.6,392,4.6,192,3.8,8,67.2,0,3.1,16,2605,214,10.7,61.6,9.4,3,4,Nate Stanley,18,9,6.6,90.9,23,58.3,QB,7.1,341,367,10,12,15,112,IOWA,12,0,140,72.0,60.1,15
2.39,39395,410,66.7,397,4.4,154,3.7,4,72.8,2,6.5,15,2247,206,18.1,79.9,8.7,12,1,Daniel Jones,16,7,13.4,85.3,17,58.5,QB,6.4,327,352,19,26,32,144,DUKE,10,0,116,57.0,78.2,7
2.86,13725,416,44.5,398,4.1,115,3.6,0,73.6,1,6.0,15,2422,209,19.5,55.6,8.0,3,5,Jarrett Stidham,15,5,10.7,86.9,13,59.5,QB,6.9,318,351,23,24,25,123,AUBURN,12,0,111,59.7,59.1,29
2.78,28022,434,66.1,406,5.4,211,4.4,6,70.8,0,8.4,19,2496,197,26.4,77.7,10.7,10,3,Joe Burrow,20,4,10.9,86.8,12,57.3,QB,7.3,312,344,26,34,24,129,LSU,12,0,122,57.8,76.0,16
2.39,25694,352,56.2,339,3.5,166,4.5,5,71.0,0,2.7,16,2678,213,8.6,72.2,9.8,3,4,James Morgan,12,7,4.5,106.7,25,64.9,QB,8.2,314,328,1,9,10,105,FIU,12,0,124,56.8,71.7,6
2.91,32819,416,68.0,396,6.4,266,2.4,2,68.6,0,5.6,10,2265,174,18.2,79.6,11.2,9,2,Trace McSorley,22,6,16.3,84.0,16,53.2,QB,6.9,303,327,40,22,34,121,PENN STATE,12,0,117,73.6,77.0,13
3.02,38334,367,85.2,349,6.8,261,2.2,2,79.8,1,3.4,8,3679,216,16.4,94.3,11.8,4,5,Kyler Murray,22,7,5.7,141.1,37,70.6,QB,12.0,287,306,30,12,13,73,OKLAHOMA,12,0,175,54.3,93.2,12
2.78,40316,322,61.3,314,5.8,121,5.0,3,67.5,0,6.1,16,2115,157,22.9,66.8,10.5,6,2,Anthony Brown,17,9,13.3,89.5,20,55.3,QB,7.4,268,284,10,19,24,83,BOSTON COL,12,0,91,73.0,65.4,7
2.67,60326,305,74.3,298,9.4,103,2.3,4,76.7,0,2.7,7,3169,189,11.8,92.1,10.5,4,2,Tua Tagovailoa,26,2,4.5,145.8,35,70.0,QB,11.7,258,270,20,8,9,68,ALABAMA,12,0,145,60.9,91.2,4
