zone_attempts,player_id,elusive_rating,gap_attempts,grades_run,fumbles,elu_yco,grades_run_block,franchise_id,grades_offense_penalty,scramble_yards,total_touches,rec_yards,yards,yco_attempt,breakaway_percent,targets,grades_offense,explosive,routes,penalties,player,yprr,elu_rush_mtf,run_plays,touchdowns,ypa,position,breakaway_attempts,breakaway_yards,grades_pass_route,scrambles,attempts,drops,avoided_tackles,grades_pass_block,receptions,team_name,designed_yards,player_game_count,longest,declined_penalties,elu_recv_mtf,first_downs,grades_hands_fumble,grades_pass,yards_after_contact
31,39462,114.3,16,73.3,1,291.0,76.7,208,6.6,0,67,105,452,5.11,56.4,14,74.0,10,52,1,Boston Scott,2.02,10,78,5,7.9,HB,6,255,68.1,0,57,2,10,50.7,10,LA TECH,452,12,71,1,5,20,66.6,,291.0
33,45732,24.2,23,58.5,0,147.0,67.6,289,81.0,0,65,72,239,2.63,38.9,9,62.4,5,64,0,David Williams,1.13,5,88,3,4.3,HB,4,93,78.7,0,56,0,5,51.5,9,S CAROLINA,239,9,33,0,1,17,83.0,,147.0
41,40692,38.0,1,55.5,1,123.0,66.8,108,82.9,0,54,32,217,2.56,22.6,9,55.3,7,25,0,Darrynton Evans,1.28,5,76,0,4.5,HB,2,49,49.1,0,48,1,5,85.6,6,APP STATE,199,11,25,0,3,12,65.2,,123.0
34,45693,24.0,0,68.9,0,88.0,63.7,242,79.8,0,47,35,164,2.26,20.7,9,66.9,4,47,0,Jason Huntley,0.74,5,51,1,4.2,HB,2,34,58.1,0,39,0,5,52.1,8,NEW MEX ST,164,8,17,0,0,11,80.8,,88.0
24,45913,53.0,13,65.6,0,111.0,62.5,258,80.5,0,43,16,200,2.85,41.0,6,63.8,3,40,0,Dexter Williams,0.4,8,70,3,5.1,HB,2,82,52.8,0,39,0,8,76.7,4,NOTRE DAME,200,10,59,0,0,9,82.8,,111.0
26,11994,122.3,9,81.9,0,191.0,59.2,329,77.4,0,38,8,259,5.16,53.3,1,84.1,9,12,0,Devante Mays,0.67,9,44,3,7.0,HB,5,138,66.1,0,37,0,9,46.5,1,UTAH ST,259,6,66,0,0,10,80.4,,191.0
14,45934,29.1,5,60.0,0,55.0,51.2,268,82.1,0,28,8,103,2.04,33.0,4,53.1,3,52,1,Qadree Ollison,0.15,3,92,2,3.8,HB,2,34,41.7,0,27,1,3,71.5,1,PITTSBURGH,103,12,18,0,1,5,78.5,,55.0
13,40555,148.1,11,59.9,2,125.0,64.3,266,76.5,0,27,24,184,5.0,75.5,3,59.9,6,16,0,Miles Sanders,1.5,7,39,1,7.4,HB,5,139,45.9,0,25,1,7,81.5,2,PENN STATE,184,9,57,0,1,5,33.9,,125.0
14,45828,49.9,7,58.2,0,66.0,66.8,207,75.6,0,23,0,117,2.87,47.0,0,59.9,5,6,0,Raymond Calais,0.0,4,33,1,5.1,HB,3,55,67.3,0,23,0,4,75.2,0,LA LAFAYET,117,9,24,0,0,8,78.6,,66.0
0,23395,32.1,3,52.2,0,26.0,54.7,176,0.0,0,9,0,36,2.89,0.0,0,43.8,0,4,1,Marcus Allen,0.0,1,49,0,4.0,FB,0,0,57.0,0,9,0,1,18.6,0,GA TECH,36,6,8,0,0,2,72.5,,26.0
5,45859,55.1,2,49.6,1,27.0,60.0,220,72.9,0,7,0,41,3.86,41.5,0,47.1,1,1,0,Travis Homer,0.0,1,9,0,5.9,HB,1,17,59.9,0,7,0,1,,0,MIAMI FL,41,2,17,0,0,1,19.3,,27.0
2,45629,43.3,4,58.9,0,13.0,74.3,115,89.0,0,10,41,12,2.17,0.0,6,69.4,0,66,0,Chandler Cox,0.62,2,339,0,2.0,FB,0,0,52.0,0,6,1,2,67.8,4,AUBURN,12,11,6,0,0,1,71.1,61.8,13.0
0,24470,59.3,3,56.9,0,32.0,65.6,114,22.5,0,9,65,88,5.33,62.5,4,72.5,3,16,1,Joe Walker,4.06,1,111,0,14.7,FB,2,55,91.1,0,6,0,1,72.3,3,ARMY,88,8,32,0,0,3,71.3,60.4,32.0
0,25383,0.0,5,77.9,0,12.0,57.0,328,72.3,0,5,0,32,2.4,0.0,0,79.2,0,1,0,Jordan Howard,0.0,0,13,0,6.4,HB,0,0,59.9,0,5,0,0,,0,UTAH,32,1,7,0,0,3,69.7,,12.0
0,11995,0.0,0,57.8,0,1.0,82.5,220,4.4,0,3,19,1,1.0,0.0,5,72.0,0,33,2,Marquez Williams,0.58,0,105,0,1.0,FB,0,0,48.7,0,1,1,0,80.0,2,MIAMI FL,1,11,1,0,0,1,65.3,,1.0
100,27414,124.4,159,86.1,2,1222.0,56.3,284,1.5,23,293,142,2033,4.43,53.9,24,86.0,54,130,3,Rashaad Penny,1.09,80,310,19,7.4,HB,31,1096,66.3,1,276,1,80,32.2,18,S DIEGO ST,2010,12,95,1,2,81,84.1,,1222.0
116,57165,88.1,151,78.4,4,1030.0,55.0,121,89.4,0,267,0,1435,3.86,40.5,0,80.6,31,51,0,AJ Dillon,0.0,61,299,13,5.4,HB,18,581,51.1,0,267,0,61,52.8,0,BOSTON COL,1435,12,75,0,0,66,67.5,,1030.0
156,45954,53.7,100,72.8,2,884.0,58.3,202,61.3,0,268,71,1319,3.43,33.2,13,72.7,34,144,1,Benny Snell Jr.,0.49,42,313,18,5.1,HB,15,438,52.0,0,258,2,42,78.6,10,KENTUCKY,1319,12,71,1,0,68,81.8,56.7,884.0
111,57488,114.6,133,86.8,7,1249.0,57.2,349,88.7,0,262,52,1804,4.84,45.3,6,90.3,57,44,0,Jonathan Taylor,1.18,61,294,13,7.0,HB,27,817,61.9,0,258,1,61,21.0,4,WISCONSIN,1804,12,75,0,1,82,45.1,,1249.0
115,29539,36.8,138,70.0,1,631.0,56.6,256,39.6,0,297,266,1148,2.48,28.9,53,65.7,24,289,2,Justin Jackson,0.92,34,311,9,4.5,HB,11,332,48.5,0,254,8,34,66.5,43,NWESTERN,1148,12,79,0,10,66,89.3,72.6,631.0
142,34455,61.1,106,85.5,0,767.0,56.7,115,87.2,0,271,186,1276,3.07,33.8,21,89.2,29,148,0,Kerryon Johnson,1.26,47,295,17,5.1,HB,16,431,80.1,0,250,0,47,73.5,21,AUBURN,1276,10,60,0,7,75,91.7,74.3,767.0
185,40485,118.8,61,88.5,4,960.0,70.7,165,25.6,0,265,192,1611,3.89,50.0,22,89.8,56,157,2,Devin Singletary,1.22,71,311,26,6.5,HB,32,805,67.5,0,247,1,71,79.5,18,FAU,1611,12,70,0,10,95,66.2,60.4,960.0
185,45865,64.2,41,77.2,2,787.0,66.2,262,87.2,0,275,194,1347,3.21,43.3,41,74.7,42,325,0,Justice Hill,0.6,49,271,14,5.5,HB,22,583,55.8,0,245,3,49,75.5,30,OKLA STATE,1347,12,79,0,6,70,81.0,,787.0
151,45747,78.8,89,82.1,2,823.0,77.3,264,86.4,0,258,165,1472,3.39,37.2,18,82.4,50,160,0,Royce Freeman,1.03,53,322,16,6.1,HB,22,547,60.0,0,243,2,53,51.2,15,OREGON,1472,12,59,0,7,82,80.4,,823.0
141,45719,135.5,92,89.9,0,828.0,54.0,193,87.0,0,269,288,1094,3.54,30.6,44,90.6,32,259,0,David Montgomery,1.11,80,277,11,4.7,HB,14,335,80.8,0,234,1,80,91.2,35,IOWA STATE,1094,12,58,0,23,57,91.6,48.8,828.0
142,45932,63.4,77,81.4,2,692.0,67.3,296,88.1,0,268,365,1322,2.98,41.2,50,79.3,39,279,0,Ito Smith,1.31,50,356,13,5.7,HB,16,545,62.6,0,232,3,50,73.6,36,SO MISS,1322,12,89,0,7,69,80.1,,692.0
