player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Avery Johnson,173108,QB,KANSAS ST,6,72.7,33,35,8.5,2.96,0,2,5.6,65.7,23,0,12,4.2,38,1,16,199,61.3,68.5,53.3,72.8,0,0,39,1,16.7,121.3,5.3,2,1,0,2,3,2,5.1,301,8.6
Brady Lichtenberg,144226,QB,CINCINNATI,7,71.4,28,34,8.0,3.17,0,1,2.9,55.9,19,0,17,5.0,41,1,8,138,24.5,45.6,35.2,66.4,3,1,42,0,11.8,85.2,4.9,2,5,0,3,2,4,9.5,238,7.0
Gunnar Gundy,144649,QB,OKLA STATE,3,67.7,31,34,6.4,2.58,1,1,2.8,61.8,21,0,10,0.0,44,0,13,262,71.7,54.5,51.8,63.6,0,0,47,1,50.0,88.1,11.4,5,5,0,2,1,2,4.3,202,5.9
Jaxon Dailey,156650,QB,ARK STATE,3,56.3,32,33,7.1,2.6,0,1,2.9,51.5,17,0,15,5.6,42,1,10,113,70.5,59.0,50.3,73.6,1,0,43,0,33.3,62.3,11.9,5,4,0,0,0,0,0.0,137,4.2
Garrett Nussmeier,146757,QB,LSU,5,68.8,32,33,9.4,2.05,0,2,5.9,51.5,17,0,5,22.7,33,5,8,211,69.5,79.6,77.2,65.1,0,0,34,0,0.0,79.7,0.0,0,0,0,1,1,0,0.0,195,5.9
Ethan Hampton,145858,QB,N ILLINOIS,3,67.7,31,33,6.2,2.44,0,0,0.0,57.6,19,0,12,9.5,36,2,11,254,33.9,53.1,50.3,61.3,2,2,38,0,0.0,63.6,0.0,0,3,0,0,2,3,7.9,147,4.5
Miller Moss,70727,QB,USC,3,80.6,31,32,7.4,2.5,0,1,3.0,71.9,23,0,4,8.0,33,2,14,326,69.5,84.2,78.7,75.4,0,0,34,0,0.0,112.6,0.0,0,1,0,1,1,0,0.0,309,9.7
Garret Rangel,157795,QB,OKLA STATE,4,63.0,27,32,7.2,2.85,0,1,3.0,53.1,17,0,11,0.0,35,0,8,262,70.9,70.1,67.1,66.0,1,1,36,1,9.1,76.6,2.9,1,2,0,4,2,0,0.0,172,5.4
Hunter Herring,147138,QB,LA MONROE,2,78.6,28,31,8.0,2.73,0,2,6.5,51.6,16,0,9,27.3,38,6,7,209,71.4,68.2,69.0,60.4,1,0,39,0,11.1,72.1,2.6,1,6,1,1,1,0,0.0,121,3.9
Ty Thompson,146568,QB,OREGON,6,80.6,31,31,6.5,2.45,0,2,6.1,77.4,24,0,3,4.0,32,1,16,264,73.7,82.7,78.8,71.0,0,1,34,0,0.0,132.4,0.0,0,1,0,0,4,2,5.9,295,9.5
Collin Schlee,98025,QB,UCLA,6,63.3,30,31,10.0,3.15,1,1,3.2,45.2,14,0,16,26.3,44,5,11,324,52.1,69.1,50.3,77.1,0,2,44,1,18.8,42.3,6.8,3,10,0,0,1,2,4.5,139,4.5
Emmett Morehead,143834,QB,BOSTON COL,4,55.2,29,30,6.8,2.14,1,0,0.0,50.0,15,0,6,6.3,31,1,6,121,68.8,48.0,42.4,70.2,0,0,31,0,0.0,61.0,0.0,0,1,0,0,0,1,3.2,124,4.1
Roman Fuller,123247,QB,TULSA,3,70.0,30,30,7.7,2.45,0,2,6.3,66.7,20,0,7,4.8,31,1,6,320,69.0,61.2,61.0,57.9,0,3,33,0,14.3,57.1,3.2,1,0,0,0,2,2,6.1,121,4.0
Spencer Sanders,77660,QB,OLE MISS,6,72.4,29,29,11.3,2.72,0,3,10.3,65.5,19,0,5,9.5,30,2,11,226,72.6,86.1,86.5,66.8,0,0,30,0,0.0,131.1,0.0,0,1,0,0,3,0,0.0,278,9.6
Max Brown,157756,QB,FLORIDA,4,80.8,26,29,6.3,3.28,0,2,6.7,65.5,19,0,17,9.5,41,2,12,163,25.3,33.9,28.5,57.8,0,1,43,1,35.3,69.9,14.6,6,6,0,3,0,6,14.0,192,6.6
Ike Udengwu III,175061,QB,E MICHIGAN,2,55.6,27,28,5.7,2.41,1,0,0.0,46.4,13,0,7,13.3,30,2,3,160,42.9,35.7,33.9,58.0,0,2,31,0,28.6,25.7,6.7,2,0,0,0,0,3,9.7,99,3.5
Chris Parson,172551,QB,MISS STATE,2,58.3,24,27,9.1,3.55,0,1,3.6,40.7,11,0,21,21.4,35,3,7,227,68.8,52.1,49.4,65.9,1,3,37,2,19.0,12.3,11.4,4,4,0,2,0,4,10.8,103,3.8
Owen McCown,157688,QB,UTSA,5,77.8,27,27,6.1,2.36,0,0,0.0,77.8,21,0,11,0.0,32,0,11,331,35.4,53.7,49.7,62.2,0,1,32,0,18.2,105.4,6.3,2,3,0,0,2,2,6.3,191,7.1
Jacolby Criswell,122830,QB,ARKANSAS,4,70.8,24,27,8.5,2.52,0,1,3.6,63.0,17,0,14,0.0,34,0,10,111,22.2,56.7,55.6,58.4,2,0,35,0,35.7,113.7,14.7,5,2,0,1,3,2,5.7,143,5.3
Robby Ashford,131702,QB,AUBURN,8,58.3,24,27,13.3,3.16,0,1,3.2,51.9,14,0,14,0.0,37,0,10,115,79.3,70.8,52.0,74.7,0,2,41,0,21.4,61.5,8.1,3,6,0,3,2,3,7.3,145,5.4
Henry Belin IV,162693,QB,DUKE,4,62.5,24,26,13.4,3.1,1,1,3.3,50.0,13,0,13,13.3,30,2,9,154,71.3,73.3,71.3,71.8,1,1,34,2,15.4,103.4,6.7,2,2,0,0,3,2,5.9,232,8.9
Shane Illingworth,71512,QB,NEVADA,1,58.3,24,26,9.9,2.76,0,1,3.3,53.8,14,0,17,0.0,36,0,9,239,69.5,45.7,51.3,48.5,2,1,40,1,29.4,59.8,13.9,5,4,0,0,0,3,7.5,180,6.9
Nico Iamaleava,174728,QB,TENNESSEE,4,76.0,25,26,5.0,2.77,1,0,0.0,61.5,16,0,9,15.8,30,3,12,307,68.8,64.2,58.4,69.7,0,0,30,0,11.1,92.3,3.3,1,3,0,0,1,0,0.0,163,6.3
Steve Angeli,156966,QB,NOTRE DAME,6,87.0,23,25,4.7,2.45,0,2,7.7,76.0,19,0,9,5.0,25,1,14,258,68.4,88.1,88.1,60.0,1,1,26,0,0.0,133.7,0.0,0,0,0,1,4,0,0.0,272,10.9
Clay Millen,146082,QB,COLO STATE,1,72.7,22,24,4.0,2.4,1,0,0.0,62.5,15,0,6,6.3,26,1,7,144,67.9,42.4,42.3,57.3,1,1,27,0,16.7,56.9,3.8,1,1,0,0,0,1,3.7,116,4.8
Desmond Trotter,83552,QB,S ALABAMA,2,90.9,22,24,7.0,2.67,0,1,3.2,83.3,20,0,11,0.0,29,0,14,288,70.9,82.7,76.2,75.6,1,1,36,0,18.2,129.9,6.9,2,3,0,1,4,1,2.8,236,9.8
RJ Martinez,147690,QB,BAYLOR,3,65.0,20,24,8.6,2.85,1,0,0.0,50.0,12,0,6,7.7,27,1,6,118,67.9,49.3,48.6,58.5,1,0,27,0,0.0,62.8,0.0,0,3,0,2,0,1,3.7,110,4.6
Kevin Jennings,158272,QB,SMU,5,82.6,23,24,8.0,2.98,1,1,4.0,75.0,18,0,8,5.3,29,1,13,287,72.3,75.8,80.3,58.9,0,0,30,0,25.0,143.1,6.9,2,3,0,0,3,0,0.0,224,9.3
Jackson Arnold,173684,QB,OKLAHOMA,4,79.2,24,24,6.9,2.45,0,1,4.0,75.0,18,0,6,5.3,26,1,10,261,76.4,73.2,69.2,68.0,0,0,27,0,0.0,127.4,0.0,0,2,0,0,2,0,0.0,202,8.4
Sam Leavitt,175465,QB,MICH STATE,4,80.0,20,23,12.2,3.13,1,1,4.2,65.2,15,0,11,6.3,30,1,10,223,33.4,70.3,54.5,85.8,1,2,31,0,36.4,74.4,13.3,4,3,0,1,2,3,9.7,139,6.0
Devin Brown,156479,QB,OHIO STATE,4,54.5,22,22,10.4,3.43,0,3,13.0,54.5,12,0,6,0.0,27,0,9,260,24.2,67.0,69.6,58.9,0,1,28,0,50.0,96.2,11.1,3,2,0,0,2,1,3.6,197,9.0
Kevin Hurley,145490,QB,UTEP,4,54.5,22,22,14.5,2.78,0,3,11.5,45.5,10,0,4,16.7,26,2,8,330,43.8,65.8,60.1,66.8,0,0,30,0,25.0,107.4,3.8,1,3,0,0,2,1,3.3,196,8.9
Dan Villari,129602,TE,SYRACUSE,4,95.5,22,22,2.9,1.77,0,1,4.3,86.4,19,0,1,9.5,23,2,3,304,28.8,71.2,79.9,68.9,0,0,24,3,0.0,104.5,0.0,0,1,0,0,1,0,0.0,120,5.5
Grant Gunnell,98367,QB,SM HOUSTON,1,80.0,20,22,5.3,2.52,1,1,4.0,63.6,14,0,8,12.5,25,2,3,281,68.6,60.6,61.8,60.5,0,1,28,1,25.0,55.1,8.0,2,1,0,1,0,2,7.1,100,4.5
Ty Simpson,157008,QB,ALABAMA,6,88.2,17,21,9.9,2.92,2,1,4.5,57.1,12,0,13,20.0,29,3,8,103,33.4,83.4,78.2,72.3,0,0,31,0,38.5,85.2,17.2,5,3,0,2,0,1,3.2,179,8.5
Tucker Gleason,122475,QB,TOLEDO,3,71.4,21,21,15.5,2.99,0,2,9.1,66.7,14,0,5,6.7,23,1,13,316,30.7,83.5,85.3,61.7,0,0,24,0,20.0,136.7,4.3,1,1,0,0,4,1,4.2,199,9.5
C.J. Ogbonna,149182,QB,BUFFALO,5,45.0,20,21,9.5,2.63,0,1,4.3,38.1,8,0,6,11.1,22,1,4,126,81.6,71.3,43.1,75.8,0,2,24,0,0.0,27.4,0.0,0,1,0,1,1,1,4.2,87,4.1
Landry Lyddy,156581,QB,UAB,3,65.0,20,21,7.3,2.95,0,0,0.0,61.9,13,0,7,0.0,24,0,6,321,67.7,30.9,30.7,,0,3,25,1,42.9,53.8,12.5,3,0,0,1,1,3,12.0,120,5.7
Santino Marucci,144197,QB,WAKE,2,63.2,19,21,15.1,2.96,0,4,16.7,57.1,12,0,9,0.0,27,0,6,339,69.3,65.8,64.7,60.4,1,2,30,0,44.4,56.0,14.8,4,2,1,0,1,1,3.3,151,7.2
Beau Pribula,164182,QB,PENN STATE,9,68.4,19,20,4.3,2.5,1,0,0.0,50.0,10,0,5,23.1,25,3,7,266,41.9,81.6,64.1,77.1,0,0,26,0,20.0,104.4,4.0,1,4,0,0,3,0,0.0,101,5.1
Tyler Buchner,147472,QB,ALABAMA,2,50.0,18,19,12.4,2.32,1,2,10.5,42.1,8,0,5,11.1,20,1,3,103,25.5,67.3,60.9,70.9,0,0,20,0,0.0,50.5,0.0,0,1,0,0,0,1,5.0,61,3.2
John Busha,173849,QB,AIR FORCE,2,56.3,16,19,15.4,3.13,0,1,5.0,47.4,9,0,8,0.0,23,0,8,101,33.6,60.6,67.4,51.9,1,1,24,0,25.0,53.0,8.7,2,2,0,2,0,0,0.0,152,8.0
Holman Edwards,144246,QB,SO MISS,3,57.9,19,19,11.5,3.12,0,0,0.0,42.1,8,0,12,27.3,25,3,4,296,19.3,32.5,33.4,49.2,0,1,29,0,41.7,30.6,20.0,5,1,0,0,0,2,6.9,70,3.7
Brock Vandagriff,146713,QB,GEORGIA,6,81.3,16,18,10.1,2.56,1,2,10.0,66.7,12,0,4,7.7,20,1,6,173,71.7,87.0,74.8,81.7,0,0,22,0,25.0,132.9,5.0,1,1,0,1,2,0,0.0,165,9.2
Chase Jenkins,173242,QB,RICE,3,66.7,18,18,8.6,2.85,0,2,11.1,66.7,12,0,9,0.0,22,0,4,275,72.2,68.8,54.7,75.7,0,1,23,0,11.1,55.8,4.5,1,3,0,0,0,2,8.7,92,5.1
Jack Tuttle,83580,QB,MICHIGAN,4,93.8,16,17,3.8,2.85,1,0,0.0,88.2,15,0,5,0.0,20,0,7,222,68.7,76.0,67.6,74.8,0,0,22,0,20.0,118.1,5.0,1,2,0,0,1,0,0.0,130,7.6
John Mateer,158516,QB,WASH STATE,6,87.5,16,17,8.3,2.64,1,1,5.6,76.5,13,0,4,7.1,20,1,9,341,75.8,75.1,62.9,70.9,0,1,21,1,25.0,132.6,5.0,1,2,0,0,2,1,4.8,235,13.8
Ahmad Haston,173396,QB,UMASS,3,76.5,17,17,8.6,3.36,0,0,0.0,64.7,11,0,10,15.4,23,2,7,216,22.4,56.3,62.3,53.0,0,1,25,0,10.0,113.8,4.3,1,5,0,0,2,1,4.0,176,10.4
Ryan Browne,174949,QB,PURDUE,1,75.0,16,16,5.8,3.05,0,1,6.3,75.0,12,0,3,0.0,21,0,6,273,40.0,50.6,27.5,71.8,0,2,21,0,33.3,52.1,4.8,1,4,0,0,0,3,14.3,104,6.5
JC French,162521,QB,GA SOUTHRN,8,86.7,15,16,3.7,2.54,0,1,5.9,81.3,13,0,10,0.0,26,0,10,174,70.1,70.5,66.5,66.7,0,1,27,0,30.0,93.2,11.5,3,7,0,1,1,0,0.0,122,7.6
Walter Taylor,163728,QB,VANDERBILT,2,38.5,13,15,12.4,3.08,0,1,6.7,33.3,5,0,9,0.0,19,0,1,333,43.4,44.7,27.0,65.2,1,1,20,0,22.2,14.6,10.5,2,2,0,1,0,2,10.0,44,2.9
Cam Skattebo,147787,HB,ARIZONA ST,6,53.3,15,15,19.2,3.21,0,1,5.3,40.0,6,0,7,25.0,15,2,5,110,73.8,76.1,55.5,84.2,0,1,19,3,0.0,66.0,0.0,0,0,0,0,1,1,5.3,130,8.7
Eli Gainey,121415,QB,W GEORGIA,1,33.3,15,15,13.1,2.38,0,0,0.0,33.3,5,0,3,0.0,16,0,4,1177,66.7,36.4,39.1,,0,1,17,1,33.3,14.6,6.3,1,0,0,0,0,1,5.9,44,2.9
Forrest Brock,173260,QB,TEMPLE,1,50.0,14,15,8.0,2.52,0,0,0.0,46.7,7,0,9,0.0,19,0,3,306,24.7,28.9,32.4,46.5,0,1,20,0,33.3,29.9,15.8,3,1,0,1,0,1,5.0,60,4.0
Malik Hornsby,123957,QB,TEXAS ST,4,78.6,14,15,10.3,3.31,0,0,0.0,53.3,8,0,6,27.3,23,3,5,314,77.6,79.5,65.7,77.0,1,1,24,2,16.7,41.8,4.3,1,7,0,0,0,0,0.0,83,5.5
Jensen Jones,133209,QB,AIR FORCE,3,50.0,14,15,18.4,3.2,1,3,16.7,33.3,5,0,10,28.6,20,2,6,101,23.0,69.0,70.7,63.9,0,1,23,1,10.0,46.5,5.0,1,4,0,0,0,0,0.0,160,10.7
Dylan Morris,100570,QB,WASHINGTON,4,76.9,13,14,12.4,2.61,0,2,12.5,64.3,9,0,3,10.0,15,1,7,340,68.2,91.0,91.1,60.1,0,1,17,0,33.3,101.8,6.7,1,0,0,1,1,0,0.0,224,16.0
Harrison Barker,121479,QB,UAB,3,61.5,13,13,11.8,2.54,0,1,6.7,46.2,6,0,6,25.0,17,2,4,321,35.1,65.6,50.1,71.8,0,1,19,0,16.7,58.2,5.9,1,3,0,0,1,2,10.5,75,5.8
Goose Crowder,144781,QB,TROY,2,76.9,13,13,9.4,2.95,0,0,0.0,69.2,9,0,3,10.0,18,1,5,318,67.5,55.7,64.6,47.4,0,0,19,0,33.3,115.5,5.6,1,4,0,0,1,0,0.0,94,7.2
Hunter Helms,122149,QB,CLEMSON,3,90.0,10,12,4.1,2.44,0,0,0.0,75.0,9,0,4,0.0,13,0,5,140,67.1,76.9,72.6,66.3,0,0,14,0,0.0,93.4,0.0,0,1,0,2,0,0,0.0,83,6.9
Haden Carlson,123620,QB,FIU,3,80.0,10,12,8.6,2.37,1,0,0.0,58.3,7,0,5,12.5,15,1,3,166,53.1,66.8,66.3,,1,0,15,0,60.0,92.4,20.0,3,0,0,0,0,1,6.7,120,10.0
Blake Horvath,162555,QB,NAVY,4,54.5,11,12,13.7,3.27,0,1,8.3,50.0,6,0,8,0.0,18,0,3,237,22.0,37.0,42.9,46.8,0,0,18,2,12.5,112.5,5.6,1,5,0,1,2,2,11.1,84,7.0
Bennett Meredith,157189,QB,PURDUE,3,80.0,10,11,4.3,2.29,1,0,0.0,63.6,7,0,2,12.5,14,1,1,273,23.6,48.3,57.3,44.1,0,0,15,0,100.0,71.4,14.3,2,1,0,0,0,0,0.0,43,3.9
Ashton Frye,163951,QB,JVILLE ST,1,45.5,11,11,9.2,2.5,0,0,0.0,45.5,5,0,3,0.0,13,0,4,196,27.5,65.3,56.9,67.6,0,0,14,0,0.0,59.3,0.0,0,2,0,0,0,0,0.0,51,4.6
Alonza Barnett III,156710,QB,JAMES MAD,1,27.3,11,11,10.4,2.85,0,0,0.0,18.2,2,0,2,33.3,11,1,1,197,69.9,42.1,30.3,64.7,0,1,11,0,0.0,1.7,0.0,0,0,0,0,0,1,9.1,15,1.4
JJ Kohl,174674,QB,IOWA STATE,3,90.9,11,11,1.5,2.72,0,0,0.0,81.8,9,0,6,10.0,17,1,3,193,27.4,62.4,62.9,59.5,0,0,17,0,16.7,79.2,5.9,1,5,0,0,0,0,0.0,23,2.1
Bryce Archie,156667,QB,USF,4,75.0,8,11,13.8,3.25,0,0,0.0,45.5,5,0,7,16.7,16,1,3,327,67.5,70.3,63.2,70.1,2,0,17,0,57.1,55.9,25.0,4,1,0,1,0,0,0.0,42,3.8
Jay Butterfield,131706,QB,S JOSE ST,2,72.7,11,11,15.5,2.62,0,1,9.1,63.6,7,0,3,12.5,12,1,4,285,69.9,74.7,76.6,59.0,0,0,12,0,33.3,115.7,8.3,1,0,0,0,1,0,0.0,80,7.3
Trace Campbell,163649,QB,UAB,1,50.0,10,10,5.9,2.82,0,0,0.0,50.0,5,0,4,0.0,10,0,2,321,70.5,60.8,50.8,68.0,0,0,11,0,0.0,63.8,0.0,0,0,0,0,0,0,0.0,48,4.8
Parker Navarro,123758,QB,OHIO,2,80.0,10,10,7.3,2.52,0,0,0.0,70.0,7,0,1,12.5,10,1,2,259,73.0,85.4,64.7,82.5,0,1,11,0,0.0,87.5,0.0,0,0,0,0,2,0,0.0,65,6.5
Ryan Burger,157544,QB,APP STATE,1,77.8,9,10,8.7,3.49,0,0,0.0,70.0,7,0,6,0.0,14,0,5,108,21.8,60.8,56.2,64.0,0,0,16,0,50.0,124.2,21.4,3,1,0,1,1,2,12.5,73,7.3
Billy Edwards Jr.,144185,QB,MARYLAND,2,40.0,10,10,6.3,2.88,0,0,0.0,40.0,4,0,2,0.0,13,0,2,215,34.8,65.3,40.5,74.7,0,1,15,0,0.0,8.3,0.0,0,3,0,0,0,1,6.7,2,0.2
Luke Bottari,73931,QB,UTAH,1,66.7,9,10,4.7,2.75,0,0,0.0,60.0,6,0,3,0.0,11,0,6,328,70.5,69.8,62.7,69.3,0,0,11,1,0.0,77.5,0.0,0,1,0,1,0,1,9.1,61,6.1
Hayden Timosciek,176226,QB,BOWL GREEN,1,60.0,10,10,6.5,2.45,0,0,0.0,60.0,6,0,9,0.0,13,0,2,122,67.6,26.7,25.4,53.2,0,2,13,0,11.1,26.3,7.7,1,2,0,0,0,2,15.4,33,3.3
Gunner Stockton,157072,QB,GEORGIA,3,66.7,9,9,7.3,3.14,0,0,0.0,66.7,6,0,3,0.0,12,0,5,173,66.8,47.6,44.5,59.9,0,1,12,0,33.3,42.1,8.3,1,2,0,0,0,1,8.3,52,5.8
Holden Geriner,157045,QB,AUBURN,3,66.7,9,9,16.9,2.57,0,1,11.1,44.4,4,0,3,33.3,11,2,3,115,67.6,71.9,71.2,60.1,0,0,11,0,66.7,70.1,18.2,2,0,0,0,0,0,0.0,67,7.4
Gaston Moore,123756,QB,TENNESSEE,2,55.6,9,9,5.1,2.35,0,0,0.0,44.4,4,0,3,20.0,10,1,2,307,65.4,68.2,67.5,,0,0,10,0,33.3,55.8,10.0,1,0,0,0,0,0,0.0,36,4.0
Dom Shoffner,62788,QB,CHARLOTTE,3,44.4,9,9,13.3,3.45,0,0,0.0,44.4,4,0,5,0.0,13,0,6,136,68.6,61.4,56.1,64.6,0,1,13,0,20.0,19.0,7.7,1,3,0,0,0,0,0.0,42,4.7
Turner Helton,163044,QB,W KENTUCKY,2,100.0,8,8,9.5,3.6,0,0,0.0,100.0,8,0,2,0.0,11,0,7,346,65.6,77.1,85.2,52.6,0,0,11,0,50.0,149.0,9.1,1,2,0,0,1,0,0.0,82,10.3
Jake Farrell,128197,QB,HAWAII,1,42.9,7,8,12.7,2.49,1,0,0.0,37.5,3,0,2,0.0,8,0,1,180,67.2,49.2,45.0,62.7,0,1,8,0,0.0,6.3,0.0,0,0,0,0,0,0,0.0,14,1.8
Zach Pyron,156309,QB,GA TECH,3,62.5,8,8,3.5,2.47,0,0,0.0,50.0,4,0,1,20.0,10,1,1,176,69.1,68.8,62.9,65.9,0,1,10,0,0.0,16.7,0.0,0,2,0,0,0,0,0.0,21,2.6
Mikele Colasurdo,123851,QB,GA STATE,3,62.5,8,8,13.4,2.43,0,1,12.5,62.5,5,0,3,0.0,10,0,2,175,20.3,50.9,35.4,71.3,0,0,10,0,33.3,78.6,10.0,1,1,0,0,0,2,20.0,47,5.9
Ui Ale,173036,QB,HOUSTON,3,50.0,8,8,10.0,3.01,0,0,0.0,50.0,4,0,4,0.0,11,0,2,182,23.9,53.3,49.1,60.3,0,0,11,0,25.0,119.3,9.1,1,2,0,0,1,1,9.1,69,8.6
DJ Riles,156596,QB,MIDDLE TN,4,87.5,8,8,3.1,2.44,0,0,0.0,87.5,7,0,1,0.0,9,0,4,224,77.0,76.8,61.4,71.9,0,0,11,0,0.0,107.3,0.0,0,1,0,0,0,0,0.0,78,9.8
Eli Stowers,147013,TE,NEW MEX ST,5,62.5,8,8,12.6,3.43,0,1,11.1,50.0,4,0,7,20.0,13,1,5,242,38.6,75.2,36.5,75.1,0,0,14,1,28.6,134.9,15.4,2,3,0,0,1,2,14.3,99,12.4
Alex Padilla,86285,QB,SMU,3,83.3,6,7,4.0,2.46,0,0,0.0,71.4,5,0,2,0.0,7,0,2,287,68.1,65.0,64.1,60.0,1,0,7,0,0.0,96.7,0.0,0,0,0,0,0,0,0.0,59,8.4
Jake McNamara,157879,QB,UTEP,2,50.0,6,7,12.7,2.73,1,0,0.0,42.9,3,0,0,0.0,7,0,1,330,25.1,43.0,45.0,51.2,0,1,8,0,,17.3,0.0,0,0,0,0,0,1,12.5,32,4.6
Johnathan Bennett,104158,QB,LIBERTY,3,16.7,6,6,18.8,2.42,0,0,0.0,16.7,1,0,1,0.0,6,0,1,206,19.4,38.9,44.5,48.4,0,0,7,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,6,1.0
Jalin Conyers,122920,TE,ARIZONA ST,2,83.3,6,6,5.3,1.67,0,0,0.0,83.3,5,0,2,0.0,7,0,2,110,77.9,69.8,56.2,71.3,0,0,9,1,50.0,80.6,14.3,1,0,0,0,0,0,0.0,20,3.3
Ari Patu,146360,QB,STANFORD,1,66.7,6,6,9.0,3.01,0,0,0.0,50.0,3,0,2,25.0,7,1,2,300,19.4,36.4,48.8,48.6,0,0,7,1,0.0,69.4,0.0,0,1,0,0,0,0,0.0,37,6.2
Conner Harrell,156352,QB,N CAROLINA,3,83.3,6,6,15.7,2.7,0,1,16.7,66.7,4,0,4,20.0,7,1,3,245,69.0,90.5,78.0,79.2,0,0,7,0,25.0,146.5,14.3,1,0,0,0,1,0,0.0,71,11.8
Tyriq Starks,156514,QB,FAU,1,83.3,6,6,5.3,2.47,0,0,0.0,83.3,5,0,3,0.0,9,0,3,165,66.3,70.1,69.2,62.0,0,0,9,0,66.7,91.0,22.2,2,1,0,0,0,0,0.0,35,5.8
Sam Horn,157167,QB,MISSOURI,2,66.7,6,6,9.0,3.09,0,1,16.7,50.0,3,0,2,25.0,7,1,2,229,68.1,66.6,67.5,59.5,0,1,7,0,0.0,81.3,0.0,0,1,0,0,1,0,0.0,54,9.0
Steven Johnson,157980,QB,CHARLOTTE,1,66.7,6,6,7.8,2.11,0,0,0.0,50.0,3,0,3,25.0,7,1,2,136,67.4,47.7,36.8,69.6,0,1,9,0,33.3,90.3,14.3,1,0,0,0,1,1,11.1,67,11.2
Larry Robinson,171012,QB,ARMY,1,50.0,4,6,12.3,2.47,2,0,0.0,33.3,2,0,1,0.0,6,0,1,114,70.4,69.5,28.8,87.7,0,1,6,0,0.0,4.2,0.0,0,0,0,0,0,1,16.7,20,3.3
Keldric Luster,175287,QB,SMU,2,33.3,6,6,20.3,2.57,0,0,0.0,33.3,2,0,1,0.0,6,0,1,287,67.0,54.1,50.5,61.8,0,0,6,0,0.0,45.8,0.0,0,0,0,0,0,0,0.0,23,3.8
Harrison Bailey,124266,QB,LOUISVILLE,1,60.0,5,5,12.6,2.12,0,0,0.0,60.0,3,0,0,0.0,5,0,2,210,65.5,65.4,68.5,57.7,0,0,5,0,,134.2,0.0,0,0,0,0,1,0,0.0,51,10.2
Jayden Denegal,158533,QB,MICHIGAN,4,80.0,5,5,12.6,3.26,0,0,0.0,80.0,4,0,3,0.0,8,0,3,222,67.2,69.3,71.1,59.6,0,0,8,0,33.3,147.9,12.5,1,2,0,0,1,0,0.0,50,10.0
Davis Warren,73940,QB,MICHIGAN,3,25.0,4,5,6.0,2.77,1,0,0.0,0.0,0,0,2,100.0,7,1,0,222,64.9,29.7,29.3,57.0,0,1,8,0,50.0,0.0,14.3,1,1,0,0,0,1,12.5,0,0.0
DC Tabscott,147020,QB,NEW MEXICO,3,25.0,4,5,21.5,3.03,1,0,0.0,20.0,1,0,4,0.0,6,0,1,241,64.9,43.4,50.4,57.3,0,1,8,1,0.0,0.8,0.0,0,1,0,0,0,0,0.0,16,3.2
Beau Nelson,131774,QB,STANFORD,1,20.0,5,5,15.0,3.02,0,0,0.0,20.0,1,0,3,0.0,6,0,0,300,63.8,43.5,46.3,57.3,0,0,6,0,0.0,39.6,0.0,0,1,0,0,0,0,0.0,8,1.6
Brock Domann,102351,QB,LOUISVILLE,2,100.0,5,5,4.6,2.5,0,0,0.0,100.0,5,0,2,0.0,5,0,4,210,67.9,68.1,61.5,65.9,0,0,5,0,0.0,103.3,0.0,0,0,0,0,0,0,0.0,44,8.8
Lincoln Kienholz,170256,QB,OHIO STATE,2,80.0,5,5,4.2,2.0,0,0,0.0,80.0,4,0,0,0.0,5,0,2,260,63.8,65.0,63.9,,0,0,5,1,,87.5,0.0,0,0,0,0,0,0,0.0,25,5.0
Dylan Rizk,174360,QB,UCF,1,80.0,5,5,12.2,3.02,0,1,20.0,80.0,4,0,1,0.0,6,0,1,323,65.7,84.3,80.9,63.6,0,0,6,0,100.0,90.0,16.7,1,0,0,0,0,0,0.0,28,5.6
Tevin Carter,157995,QB,MEMPHIS,4,80.0,5,5,8.0,2.7,0,0,0.0,60.0,3,0,1,25.0,5,1,1,218,27.5,45.5,51.8,49.0,0,1,6,0,0.0,104.2,0.0,0,0,0,0,1,1,16.7,101,20.2
Brian Garcia,121416,QB,LA MONROE,2,20.0,5,5,10.0,3.43,0,0,0.0,20.0,1,0,4,0.0,6,0,1,209,67.2,50.1,44.2,62.2,0,0,8,0,25.0,39.6,16.7,1,0,0,0,0,1,12.5,10,2.0
Frank Gore Jr.,121457,HB,SO MISS,4,25.0,4,5,22.3,2.67,1,0,0.0,0.0,0,0,1,100.0,6,1,0,296,70.8,88.0,41.6,90.3,0,0,7,0,100.0,39.6,16.7,1,0,0,0,0,0,0.0,0,0.0
Evan Bullock,170452,QB,LA TECH,1,66.7,3,5,4.3,2.62,1,0,0.0,40.0,2,0,2,0.0,6,0,1,208,64.2,38.4,38.3,,0,1,6,0,50.0,13.3,16.7,1,0,0,1,0,1,16.7,21,4.2
