player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Ethan Vasko,163817,QB,COAST CAR,5,63.6,88,89,8.0,2.47,0,2,2.1,62.9,56,0,22,0.0,97,0,31,141,79.0,76.6,65.4,78.2,1,1,103,1,18.2,91.7,4.1,4,4,0,0,4,3,2.9,574,6.4
Cade McNamara,101620,QB,IOWA,5,66.3,80,89,9.1,2.9,4,4,4.3,51.7,46,0,32,13.2,101,7,23,192,54.3,60.3,61.2,49.4,2,3,105,0,25.0,69.7,7.9,8,4,0,3,4,3,2.9,505,5.7
Mike Wright,124366,QB,MISS STATE,6,63.3,79,85,9.1,2.97,1,4,4.4,56.5,48,0,31,4.0,98,2,26,227,69.6,63.9,49.2,73.2,0,3,104,1,16.1,68.4,5.1,5,8,0,5,3,6,5.8,453,5.3
AJ Bianco,158232,QB,NEVADA,8,59.0,78,83,10.7,2.91,3,5,5.4,54.2,45,0,57,2.2,111,1,33,239,61.0,66.0,56.7,76.3,2,5,120,1,24.6,69.1,12.6,14,14,0,0,4,4,3.3,614,7.4
Kadin Semonza,174001,QB,BALL ST,4,70.7,75,82,7.9,2.7,2,1,1.2,61.0,50,0,29,5.7,97,3,29,117,25.2,57.7,60.4,48.1,3,5,98,0,24.1,64.1,7.2,7,8,0,2,3,4,4.1,480,5.9
Jaden Rashada,171886,QB,ARIZONA ST,3,61.8,76,82,9.0,2.67,0,3,3.5,53.7,44,0,32,6.4,95,3,20,110,72.8,47.2,43.8,62.1,2,3,100,0,18.8,72.5,6.3,6,7,0,4,4,4,4.0,485,5.9
Aveon Smith,130529,QB,MIAMI OH,7,63.2,76,80,11.1,2.91,2,5,6.1,52.5,42,0,32,12.5,97,6,25,221,41.7,64.8,62.1,62.7,0,2,100,0,25.0,71.3,8.2,8,8,0,2,2,4,4.0,529,6.6
Casey Thompson,77677,QB,FAU,3,79.2,72,80,5.6,2.84,4,0,0.0,62.5,50,0,36,12.3,87,7,27,165,53.0,61.6,65.2,45.2,1,5,93,0,8.3,75.6,3.4,3,3,1,2,5,3,3.2,511,6.4
Cole Pennington,156787,QB,MARSHALL,3,66.2,77,80,5.0,2.53,0,0,0.0,61.3,49,0,25,3.9,85,2,17,214,36.5,42.3,40.6,59.7,3,6,88,0,12.0,44.6,3.5,3,2,0,0,0,4,4.5,437,5.5
Jaylen Henderson,146054,QB,TEXAS A&M,3,78.9,71,76,9.5,3.26,2,4,4.9,68.4,52,0,37,7.1,103,4,35,312,75.4,64.8,62.8,62.3,1,1,108,0,27.0,118.5,9.7,10,16,0,2,6,3,2.8,704,9.3
Jalon Daniels,122555,QB,KANSAS,3,79.2,72,75,10.5,3.09,0,3,3.8,74.7,56,0,22,1.8,87,1,39,198,75.7,84.6,84.3,66.6,0,1,92,0,22.7,119.9,5.7,5,7,0,3,5,2,2.2,700,9.3
Nate Johnson,158489,QB,UTAH,6,66.7,69,72,8.5,2.98,0,1,1.3,54.2,39,0,42,15.2,94,7,24,328,20.9,60.5,52.5,66.2,1,0,98,0,21.4,90.0,9.6,9,13,0,2,3,4,4.1,499,6.9
Emory Williams,170099,QB,MIAMI FL,5,73.4,64,71,7.1,2.46,4,2,2.7,62.0,44,0,23,6.4,78,3,21,220,71.2,66.8,64.3,64.6,2,1,82,0,17.4,89.5,5.1,4,3,0,1,3,1,1.2,470,6.6
Maalik Murphy,157302,QB,TEXAS,5,62.3,69,70,10.1,2.09,1,4,5.5,55.7,39,0,13,9.3,73,4,19,311,47.9,51.8,52.4,47.5,0,3,76,1,7.7,72.6,1.4,1,0,0,0,3,6,7.9,465,6.6
Ben Wooldridge,82115,QB,LA LAFAYET,3,72.6,62,69,8.0,2.66,2,4,5.5,56.5,39,0,23,13.3,80,6,26,207,72.9,77.0,74.0,70.8,1,1,84,1,13.0,98.0,3.8,3,8,0,4,5,0,0.0,508,7.4
Grant Wells,97784,QB,VA TECH,5,61.5,65,68,9.3,2.74,0,3,4.2,54.4,37,0,25,7.5,76,3,26,337,52.8,62.2,59.9,63.0,0,2,79,1,16.0,91.5,5.3,4,4,0,3,5,1,1.3,519,7.6
Camden Orth,108965,QB,BOWL GREEN,11,65.6,64,68,8.9,2.74,1,4,5.8,57.4,39,0,24,7.1,83,3,21,122,40.4,60.9,47.0,69.2,2,5,85,1,20.8,73.5,6.0,5,10,0,1,5,8,9.4,486,7.1
Jake Strong,173651,QB,TEXAS TECH,2,59.0,61,65,11.2,2.38,1,3,4.5,53.8,35,0,11,2.8,66,1,17,315,48.3,36.1,35.1,54.9,1,6,68,0,9.1,45.0,1.5,1,0,0,2,2,8,11.8,409,6.3
Tahj Bullock,144070,QB,AKRON,7,60.7,56,64,9.2,3.02,1,0,0.0,46.9,30,0,44,11.8,82,4,16,102,79.7,50.9,30.0,74.9,3,3,88,1,27.3,54.3,14.6,12,6,0,4,3,3,3.4,262,4.1
Zac Larrier,104193,QB,AIR FORCE,9,72.1,61,63,13.9,2.85,1,5,7.4,60.3,38,0,29,13.6,85,6,30,101,29.6,69.7,70.0,62.5,1,2,91,0,24.1,120.4,8.2,7,15,0,0,6,5,5.5,749,11.9
Jack Salopek,130662,QB,W MICHIGAN,5,84.5,58,63,4.4,2.5,2,2,3.0,66.7,42,0,23,14.3,74,7,16,347,58.6,67.7,68.8,57.2,0,2,77,0,21.7,70.6,6.8,5,5,0,3,1,2,2.6,316,5.0
Devon Dampier,171556,QB,NEW MEXICO,9,70.0,60,63,12.7,3.06,1,2,2.9,63.5,40,0,21,4.8,70,2,26,241,52.7,79.3,64.0,80.2,2,0,76,3,19.0,121.1,5.7,4,3,0,0,6,3,3.9,519,8.2
Nate Yarnell,144037,QB,PITTSBURGH,4,73.7,57,63,11.4,2.88,1,4,6.2,65.1,41,0,21,2.4,70,1,24,268,74.2,73.5,74.9,61.4,1,1,73,1,14.3,110.2,4.3,3,4,0,4,4,3,4.1,595,9.4
