player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Anthony Gould,97078,WR,OREGON ST,11,13.6,3,62.9,44.4,4,9,0,8.3,4,30,265,2,67.0,44.0,73.9,,74.1,0.0,0,3,75,0.0,0,288,0,44,97.2,280,7.6,22,88.5,70,2,92.4,266,711,254,5.8,16.2,2.54
Devaughn Vele,100637,WR,UTAH,10,11.8,2,61.4,42.9,6,14,0,4.4,2,25,328,0,78.9,73.4,66.8,,69.1,1.2,4,2,68,0.0,0,346,2,43,94.8,328,34.1,118,91.0,70,3,64.7,224,593,145,3.4,13.8,1.81
Tahj Washington,97288,WR,USC,12,10.9,13,77.6,60.0,6,10,0,1.9,1,33,326,0,88.4,74.4,81.0,,82.9,1.1,4,1,76,0.0,0,361,1,52,90.3,326,90.3,326,142.4,67,6,6.4,23,963,469,9.0,18.5,2.95
Johnny Wilson,76366,WR,FLORIDA ST,9,14.3,7,59.1,40.0,8,20,0,11.4,5,30,167,0,58.3,72.9,75.9,,75.2,0.0,0,0,44,0.0,0,246,2,39,92.7,228,9.8,24,99.1,66,2,90.2,222,596,141,3.6,15.3,2.61
Devontez Walker,145773,WR,N CAROLINA,8,18.2,2,62.1,58.8,10,17,0,6.8,3,25,245,1,72.1,44.4,68.2,61.9,68.3,0.0,0,3,56,0.3,1,332,0,41,92.2,306,6.9,23,114.4,66,7,93.1,309,699,113,2.8,17.0,2.28
Jared Wiley,98508,TE,TCU,12,6.8,3,72.3,40.0,2,5,0,2.1,1,27,305,0,87.6,73.8,68.0,71.1,74.8,54.2,202,4,81,9.9,37,373,4,47,86.3,322,32.4,121,109.6,65,8,6.2,23,520,301,6.4,11.1,1.61
Tejhaun Palmer,145443,WR,UAB,12,11.2,7,73.4,72.7,8,11,0,2.1,1,32,321,2,87.4,25.9,71.4,54.4,70.3,0.0,0,1,80,0.0,0,413,3,47,97.1,401,36.8,152,145.3,64,7,63.2,261,861,413,8.8,18.3,2.15
Brock Bowers,146715,TE,GEORGIA,9,6.5,17,81.0,25.0,2,8,0,5.6,3,32,173,2,76.3,28.3,85.9,71.3,87.0,38.2,107,0,49,8.2,23,280,3,51,86.4,242,47.9,134,142.3,63,6,9.6,27,664,438,8.6,13.0,2.74
Roman Wilson,129604,WR,MICHIGAN,12,14.8,2,72.7,60.0,3,5,0,2.4,1,31,222,0,84.5,73.2,84.5,,85.9,0.0,0,1,47,0.0,0,223,0,40,97.8,218,65.5,146,143.8,55,11,34.5,77,648,147,3.7,16.2,2.97
Jaheim Bell,124225,TE,FLORIDA ST,12,7.9,12,75.0,50.0,3,6,0,9.3,4,23,167,0,57.4,74.0,74.1,51.8,76.8,43.3,123,0,49,8.1,23,284,1,39,85.6,243,43.7,124,117.7,52,2,10.6,30,503,315,8.1,12.9,2.07
