player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ryan Watts,129762,CB,TEXAS,10,8,0,69.0,0,0,311,0,0,66.9,68.3,24.8,53.9,79.9,83.0,0,1,0,0,55.0,2.9,1,3,2,114.7,20,0,0,52,316,243,376,1,0,0,1,0,5,375,3,130,2,9,26,1,29,1,1,304,66,15.2
Max Melton,129889,CB,RUTGERS,12,7,0,54.5,1,0,278,1,0,74.1,73.5,85.4,69.6,64.9,41.7,1,1,0,3,26.0,26.7,12,3,5,65.7,24,1,0,58,487,339,622,13,0,0,13,0,1,609,5,278,60,10,26,3,44,3,3,252,72,10.5
Quinyon Mitchell,130628,CB,TOLEDO,12,5,0,44.1,0,0,316,0,0,91.1,91.1,86.6,54.3,76.7,82.9,0,1,0,1,39.0,6.7,3,12,0,51.7,26,0,0,24,627,411,717,2,0,0,2,0,12,715,4,302,50,12,37,1,59,1,0,282,65,10.8
Chau Smith-Wade,131956,CB,WASH STATE,7,7,0,50.0,0,0,341,0,0,76.3,73.7,86.2,54.4,60.8,48.0,0,1,0,0,50.0,21.3,10,7,0,84.0,19,0,0,23,365,245,431,33,0,0,33,0,4,398,4,182,6,13,30,1,38,1,1,287,86,15.1
Nate Wiggins,144143,CB,CLEMSON,10,3,0,43.9,0,2,140,0,0,83.9,82.5,84.8,73.9,65.4,67.3,1,0,1,2,43.0,13.3,4,4,1,44.4,18,1,0,35,431,293,494,12,0,0,12,0,2,482,4,197,14,8,23,0,41,2,1,176,38,9.8
Cooper DeJean,144867,CB,IOWA,10,7,0,43.5,0,0,192,0,0,76.8,77.4,53.6,,78.6,76.6,0,0,0,2,42.0,12.2,5,4,3,37.8,20,0,0,23,630,388,705,28,0,0,28,0,1,677,0,317,23,10,29,2,46,0,0,194,44,9.7
Kalen King,145096,CB,PENN STATE,12,8,0,61.0,2,0,266,0,0,55.7,60.3,84.4,72.3,73.6,59.8,0,1,0,0,35.0,16.7,7,1,4,82.4,25,0,0,51,391,266,481,9,0,0,9,0,9,472,7,208,21,10,27,2,41,1,0,290,107,11.6
Khyree Jackson,146583,CB,OREGON,11,6,0,50.0,0,0,264,0,0,77.0,80.5,33.9,90.3,83.3,82.8,0,3,0,2,26.0,6.5,2,8,4,51.6,18,2,0,23,426,296,473,1,0,0,1,0,0,472,6,171,23,12,23,3,36,5,1,188,97,10.4
Kool-Aid McKinstry,146602,CB,ALABAMA,12,5,0,44.4,0,0,103,0,0,86.7,88.0,85.6,82.7,83.7,74.9,1,1,0,0,32.0,9.7,3,3,0,67.9,16,0,0,50,686,435,753,10,0,0,10,0,1,743,4,314,5,10,23,2,36,2,1,169,62,10.6
Terrion Arnold,146603,CB,ALABAMA,12,12,0,53.1,0,1,103,0,0,87.6,90.0,87.0,67.9,90.2,74.9,0,3,0,5,40.0,10.3,6,11,2,49.1,34,1,0,52,467,408,718,2,0,0,2,0,4,716,11,299,192,18,40,4,64,4,2,382,234,11.2
Kamari Lassiter,146727,CB,GEORGIA,12,10,0,38.9,0,0,173,0,0,86.4,85.4,85.1,62.0,72.2,84.2,0,0,0,0,36.0,7.5,3,5,1,48.3,14,1,0,46,524,366,614,1,0,0,1,0,0,613,4,244,43,11,27,3,36,1,0,119,35,8.5
Marcellas Dial,146902,CB,S CAROLINA,12,9,0,55.8,1,0,289,0,0,78.2,79.2,87.2,86.8,71.3,72.8,0,0,0,0,51.0,10.6,5,7,3,94.0,29,1,0,40,787,449,853,15,0,0,15,0,4,838,2,402,7,10,33,1,52,1,2,407,136,14.0
Kamal Hadden,146931,CB,TENNESSEE,7,6,0,36.4,0,0,307,0,0,90.4,85.7,83.0,60.0,49.0,57.0,1,0,1,3,19.0,17.2,5,6,2,7.0,12,0,0,28,267,184,311,8,0,0,8,0,0,303,1,126,8,5,18,0,33,1,0,96,55,8.0
