player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Layden Robinson,99057,G,TEXAS A&M,11,100.0,0,312,65.6,60.9,69.4,5,10,371,100.0,100.0,97.7,8,16,1,690,0,0,0,690,401,401,690,0,289,0
Jarrett Kingston,81933,G,USC,11,100.0,1,326,67.5,75.4,63.7,1,12,391,100.0,100.0,97.3,5,17,4,668,0,0,1,668,434,434,395,270,234,1
Trevor Keegan,101544,G,MICHIGAN,12,100.0,0,222,68.6,78.6,64.6,1,7,290,100.0,100.0,98.6,0,8,0,662,0,662,0,662,298,298,0,0,364,0
Tyler Guyton,123076,T,OKLAHOMA,10,99.8,0,261,63.7,72.9,60.5,3,9,335,99.7,99.7,98.2,5,12,0,662,0,0,1,663,355,356,0,661,307,0
Zak Zinter,129605,G,MICHIGAN,12,100.0,0,222,76.7,73.8,75.9,0,5,287,100.0,100.0,99.1,0,5,0,649,0,0,0,649,296,296,649,0,353,0
Kingsley Suamataia,146558,T,BYU,11,100.0,1,128,67.5,86.1,52.9,5,6,364,100.0,100.0,97.9,4,13,2,644,0,0,644,644,381,381,0,0,263,0
Caedan Wallace,98427,T,PENN STATE,12,100.0,2,266,68.3,72.5,66.8,0,11,329,100.0,100.0,98.0,6,12,1,644,0,1,0,644,346,346,0,642,298,1
Jacob Monk,98058,G,DUKE,12,100.0,0,154,63.1,63.2,62.8,3,10,310,100.0,100.0,97.6,4,14,1,633,270,18,0,633,340,340,345,0,293,0
Dylan McMahon,98044,C,NC STATE,10,100.0,0,248,66.3,69.7,67.7,1,9,327,100.0,100.0,98.2,5,11,1,621,621,0,0,621,345,345,0,0,276,0
Nick Samac,101570,C,MICH STATE,11,100.0,0,223,72.5,61.1,77.2,4,8,320,100.0,100.0,97.8,3,13,1,579,579,0,0,579,345,345,0,0,234,0
Graham Barton,122367,T,DUKE,9,100.0,1,154,75.9,78.2,71.2,0,9,233,100.0,100.0,97.2,6,11,2,496,0,0,492,496,258,258,0,0,238,4
LaDarius Henderson,98275,T,MICHIGAN,11,100.0,0,222,59.0,55.9,57.8,3,13,196,100.0,100.0,95.4,0,17,1,460,0,0,458,460,201,201,0,2,259,0
Christian Jones,146145,T,S DIEGO ST,7,100.0,0,284,52.1,65.9,45.4,0,10,202,100.0,100.0,94.6,2,16,6,393,0,0,392,393,209,209,0,0,184,0
Amarius Mims,146719,T,GEORGIA,6,100.0,0,173,75.5,80.7,68.5,0,1,148,100.0,100.0,99.7,0,1,0,286,0,0,0,286,161,161,0,286,125,0
Matt Goncalves,99680,T,PITTSBURGH,3,100.0,0,268,72.0,77.3,69.4,1,3,75,100.0,100.0,97.3,1,4,0,165,0,0,165,165,82,82,0,0,83,0
