player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Drake Maye,143969,QB,N CAROLINA,12,75.3,389,425,11.0,2.79,8,35,7.7,63.3,269,0,149,8.2,506,24,174,245,71.1,90.8,89.8,73.8,7,9,540,4,19.5,100.2,5.7,29,51,0,21,24,9,1.7,3608,8.5
Spencer Rattler,97408,QB,S CAROLINA,12,79.4,373,403,7.5,2.82,4,12,2.9,68.0,274,0,186,7.4,491,22,156,289,80.8,77.6,72.5,74.1,2,8,510,4,21.0,99.1,7.9,39,39,1,23,19,11,2.2,3183,7.9
Bo Nix,97790,QB,OREGON,12,85.9,391,398,6.9,2.44,0,17,4.1,78.4,312,0,63,7.1,426,24,176,264,74.5,92.9,92.7,68.2,2,2,447,2,9.5,135.9,1.4,6,17,0,5,37,4,0.9,3852,9.7
Caleb Williams,144622,QB,USC,12,77.5,360,394,9.2,3.16,6,27,6.2,68.0,268,0,151,3.9,455,11,169,326,26.9,90.3,84.6,82.6,0,5,500,3,23.2,117.4,7.7,35,24,4,24,30,18,3.6,3647,9.3
Devin Leary,77628,QB,KENTUCKY,12,68.9,312,343,11.0,2.67,17,16,4.4,56.0,192,0,117,10.7,372,23,123,202,57.1,73.9,71.1,72.6,4,10,393,2,17.9,88.6,5.6,21,8,0,10,23,20,5.1,2444,7.1
Jayden Daniels,97993,QB,LSU,12,79.6,318,332,10.5,2.91,3,29,8.4,71.1,236,0,104,6.7,408,17,189,211,70.8,94.7,92.0,92.4,2,4,425,1,20.2,143.7,5.1,21,55,4,5,40,7,1.6,3811,11.5
Jordan Travis,77615,QB,FLORIDA ST,11,72.2,313,325,10.0,2.81,2,20,5.7,63.7,207,0,99,8.4,358,19,128,167,60.9,87.8,83.5,75.2,3,2,381,1,14.1,108.4,3.9,14,19,0,7,20,8,2.1,2755,8.5
J.J. McCarthy,144918,QB,MICHIGAN,12,80.8,255,257,10.3,2.88,2,18,6.8,74.3,191,0,86,7.3,287,15,133,222,53.7,90.9,88.5,77.7,0,4,295,0,16.3,122.4,4.9,14,16,0,0,19,9,3.1,2483,9.7
Michael Pratt,123229,QB,TULANE,10,73.4,237,247,11.1,2.88,2,18,7.0,66.4,164,0,86,5.7,295,10,109,319,67.2,79.7,77.5,67.9,3,4,308,0,17.4,115.6,5.1,15,33,0,5,21,10,3.2,2167,8.8
